ID,left_forefemur,left_foretibia,left_ear,right_forefemur,right_foretibia,right_ear
ACGN,13.15,13.34,3.52,13.714,14.2,3.621
ACIU,12.161,12.496,2.745,12.151,12.527,3.045
AGNG,12.225,12.614,2.689,12.167,12.591,2.934
AIZJ,12.119,12.753,3.058,12.406,13.051,3.583
AKPI,13.863,14.159,2.714,12.877,13.876,3.064
AQZC,11.745,12.215,2.281,12.001,12.468,2.648
ASOK,12.169,12.996,2.566,12.3,13.144,3.162
ATEZ,12.07,12.821,2.753,12.019,12.731,3.063
AZJJ,11.261,12.455,2.712,11.016,12.292,2.698
BBRM,12.366,12.966,2.705,12.289,12.735,3.125
BCSB,11.93,12.763,2.874,12.04,12.778,3.187
BLLA,12.573,12.695,3.118,12.899,13.126,3.262
BYLH,12.856,13.384,3.476,12.821,13.09,3.411
BZCS,12.312,12.835,2.475,11.925,12.634,2.847
CAPF,14.107,14.575,3.108,13.955,14.595,3.584
CAXC,11.853,12.296,2.62,11.743,12.248,2.774
CBMA,11.877,12.855,3.384,11.853,12.761,3.475
CBRE,11.107,11.579,2.552,11.205,11.574,2.612
CCQV,12.461,14.03,3.05,12.613,13.44,3.266
CGRD,11.495,11.894,2.565,11.439,11.742,2.47
CHCF,12.835,13.063,2.975,12.001,12.543,2.854
CPWC,11.307,11.802,2.571,10.916,12.455,2.857
CTFK,14.314,14.55,3.589,14.315,14.758,3.67
CVHB,11.693,12.431,2.587,11.469,12.386,2.815
CVLU,9.467,10.207,2.114,9.415,10.765,2.568
CVQJ,11.758,11.925,2.676,11.293,11.852,2.953
CWPJ,14.005,14.053,3.452,13.8,13.921,3.482
CWRT,10.45,10.845,2.246,10.158,11.26,2.386
DESX,12.932,13.49,3.195,12.883,13.698,3.539
DFDF,12.565,12.929,2.53,12.782,13.22,2.851
DFME,11.088,12.134,2.976,10.965,11.946,2.689
DJFZ,15.157,14.827,3.629,14.841,14.998,3.898
DNHH,13.499,14.545,3.596,13.399,,
DOCI,12.471,13.104,2.927,12.329,13.026,3.228
DQAS,11.422,12.038,2.447,11.138,11.815,2.597
DQAV,11.189,12.067,2.378,11.297,12.14,2.803
DSPJ,,,,11.523,12.122,2.831
DUFU,12.641,13.387,2.917,12.757,13.423,3.253
DYFV,13.683,15.236,3.872,13.975,15.006,4.26
EAXA,13.416,13.723,3.126,13.433,13.84,3.223
EAXN,11.303,11.863,2.375,11.179,11.806,2.75
ECHF,13.006,13.353,2.989,13.009,13.436,3.421
ECJN,13.102,,3.276,13.438,13.561,3.353
ECOO,12.722,13.689,2.971,12.685,13.359,2.828
EDIK,11.199,11.589,2.499,11.17,11.779,2.64
EFLR,12.196,12.854,2.848,12.03,13.216,3.016
EJSA,12.244,12.952,3.011,12.183,13.045,3.233
EMIY,12.644,13.15,3.294,12.467,13.318,3.634
EMMR,14.1,14.836,3.384,14.306,15.358,3.691
EWKB,11.542,11.965,2.274,11.327,11.895,2.467
EXFC,10.126,10.838,2.191,9.969,10.803,2.357
FDUO,13.656,14.079,3.277,13.452,14.254,3.675
FFVD,12.209,13.165,2.516,12.086,12.794,3.035
FHEO,12.73,13.56,3.457,12.617,13.585,3.325
FJIV,12.521,13.027,2.984,12.323,12.836,2.482
FKWM,11.757,12.383,2.91,11.595,12.346,3.108
FLUS,13.069,13.85,3.257,12.693,13.359,3.608
FRAY,11.431,12.302,2.454,11.368,12.263,2.777
FRKH,12.545,12.977,2.691,12.295,13.024,2.993
FXZS,13.223,13.705,2.908,13.122,13.69,3.138
FYEF,13.451,14.497,4.321,13.292,14.791,4.292
FZRV,12.159,12.495,3.144,11.933,12.506,3.119
GDWH,13.784,14.201,3.466,13.565,14.111,3.522
GLXO,13.618,14.085,3.607,13.247,14.032,3.568
GMLX,11.903,12.306,2.708,11.718,12.457,2.866
GRAC,12.061,13.012,2.832,11.99,12.774,2.825
GRRD,13.711,14.077,2.829,13.46,14.029,2.853
GVKA,10.181,10.935,2.141,10.15,11.117,2.206
GWYL,11.021,11.533,2.274,10.807,11.814,2.463
GXQD,12.818,13.705,2.915,12.675,13.091,2.944
GYFU,12.457,12.805,2.789,12.108,12.608,3.076
HDAF,14.276,14.242,3.389,14.18,14.325,3.174
HDAI,13.328,13.508,3.099,13.151,13.68,3.509
HDZC,14.262,14.34,3.141,14.115,14.247,3.763
HEDP,11.745,12.218,2.358,11.74,12.054,2.386
HIHW,11.684,11.796,2.285,11.552,11.848,2.184
HKWK,10.228,11.275,2.223,10.002,11.302,2.109
HNNH,12.886,13.395,3.168,12.656,13.382,3.357
HNUV,10.552,11.368,2.36,10.433,11.596,2.567
HOHH,13.123,13.532,3.7,12.9,13.545,3.039
HRBI,11.132,12.007,2.446,10.587,11.71,2.529
HTCT,12.309,12.407,2.749,12.022,12.434,2.708
HZFK,10.963,11.902,2.302,10.696,11.848,2.313
IEAL,12.415,13.732,3.777,12.291,12.862,3.268
IEJY,12.361,12.468,2.919,12.04,12.429,2.814
IEPT,14.492,14.651,3.555,14.477,14.736,3.938
IJNE,11.953,12.934,2.642,11.966,13.081,3.209
ILNB,14.879,15.042,4.16,14.773,15.381,4.337
