ID,head_length,head_width,left_eye_length,right_eye_length
ACGN,13.957,8.778,2.505,2.555
ACIU,12.783,7.883,2.351,2.422
AGNG,12.019,7.477,2.666,2.685
AIZJ,11.714,7.889,2.45,2.571
AKPI,25.798,12.47,3.119,2.912
AQZC,18.409,9.902,2.483,2.556
ASOK,12.089,7.749,2.682,2.691
ATEZ,12.532,7.886,2.608,2.655
AZJJ,11.581,7.535,2.557,2.512
BBRM,20.034,10.194,2.915,2.953
BCSB,12.352,7.683,2.59,2.689
BLLA,20.491,10.363,2.473,2.609
BYLH,12.501,8.167,2.778,2.795
BZCS,19.498,9.905,2.843,2.988
CAPF,24.737,12.276,2.958,3.228
CAXC,16.148,8.853,2.399,2.427
CBMA,11.914,7.763,2.588,2.587
CBRE,16.408,8.671,2.516,2.561
CCQV,13.475,8.41,2.634,2.853
CGRD,17.017,9.461,2.648,2.739
CHCF,12.676,7.885,2.659,2.791
CPWC,11.588,7.5,2.296,2.063
CTFK,26.838,12.826,3.14,3.445
CVHB,11.795,7.468,2.452,2.352
CVLU,13.811,7.781,2.41,2.5
CVQJ,11.173,7.326,2.332,2.213
CWPJ,23.673,12.241,3.034,3.188
CWRT,13.646,8.33,2.319,2.414
DESX,13.772,8.405,2.671,2.928
DFDF,19.521,10.133,2.52,2.683
DFME,14.686,8.208,2.497,2.568
DJFZ,26.156,12.783,3.553,3.492
DNHH,24.24,11.685,2.839,3.036
DOCI,19.216,10.791,2.788,2.718
DQAS,15.589,8.733,2.357,2.49
DQAV,16.318,9.046,2.143,2.591
DSPJ,16.443,8.969,2.346,2.512
DUFU,22.16,11.341,2.938,3.132
DYFV,25.875,12.758,3.286,3.421
EAXA,23.399,11.795,3.01,3.158
EAXN,16.246,8.682,2.382,2.414
ECHF,20.794,10.833,2.963,2.868
ECJN,24.824,12.285,3.162,3.063
ECOO,22.248,11.687,2.973,3.096
EDIK,16.078,8.695,2.485,2.527
EFLR,20.882,10.93,2.989,2.959
EJSA,20.491,10.505,2.62,2.796
EMIY,13.405,8.482,2.739,2.782
EMMR,24.245,12.084,2.927,3.063
EWKB,18.923,10.094,2.589,2.641
EXFC,13.333,7.562,2.191,2.246
FDUO,13.03,8.436,2.815,2.958
FFVD,12.699,7.987,2.577,2.63
FHEO,13.173,8.244,2.583,2.515
FJIV,18.828,10.451,2.59,2.581
FKWM,15.281,8.863,2.615,2.511
FLUS,13.187,8.502,2.508,2.659
FRAY,11.458,7.223,2.672,2.521
FRKH,12.24,8.281,2.587,2.635
FXZS,23.797,11.911,2.867,2.955
FYEF,13.833,8.92,2.856,2.778
FZRV,11.517,7.77,2.644,2.695
GDWH,24.154,11.71,3.221,3.174
GLXO,13.411,8.499,2.893,2.757
GMLX,17.369,9.272,2.786,2.733
GRAC,18.594,9.852,2.669,2.769
GRRD,14.197,8.339,2.904,3.114
GVKA,13.478,7.521,2.398,2.301
GWYL,16.774,8.731,2.641,2.812
GXQD,18.852,9.86,2.545,2.561
GYFU,12.903,8.14,2.706,2.799
HDAF,26.841,13.06,3.107,3.415
HDAI,13.123,8.376,2.732,2.555
HDZC,26.317,12.597,3.241,3.374
HEDP,17.281,9.623,2.618,2.718
HIHW,17.722,9.652,2.793,2.84
HKWK,13.855,7.876,2.283,2.282
HNNH,12.877,8.501,2.714,2.709
HNUV,14.297,7.959,2.383,2.404
HOHH,19.834,10.69,2.935,3.003
HRBI,16.236,8.936,2.622,2.7
HTCT,19.441,10.022,2.769,2.942
HZFK,15.555,8.729,2.524,2.583
IEAL,12.35,7.855,2.447,2.571
IEJY,17.49,9.377,2.818,2.717
IEPT,26.643,13.137,3.227,3.22
IJNE,19.308,10.008,2.683,2.639
ILNB,28.721,13.475,3.432,3.451
INPV,13.432,8.742,2.659,2.778
IULK,21.772,11.028,2.982,2.808
IVIQ,11.831,7.485,2.306,2.356
IVMB,18.67,10.015,2.779,2.84
JDGM,13.539,8.465,2.699,2.601
JDYH,19.74,10.168,2.73,2.854
JHFO,12.886,8.017,2.649,2.689
JONV,23.156,11.785,2.813,2.974
JOYH,24.457,12.21,3.177,3.078
JOZD,16.209,9.412,2.776,2.795
JPJS,10.969,6.936,2.192,2.145
JPJT,13.111,8.49,2.906,2.923
JRYP,16.788,8.989,2.585,2.567
JUCL,19.717,10.705,2.739,2.749
JUGA,11.889,7.778,2.684,2.56
JUJH,22.524,11.538,2.918,2.974
JUYN,11.163,7.346,2.475,2.41
JXVQ,24.528,11.963,2.871,2.84
JZEI,19.836,10.188,2.587,2.666
JZJE,13.206,8.405,2.849,2.793
KAIL,20.802,10.235,2.737,2.832
KAOK,13.678,8.876,2.793,2.701
KDQD,13.123,8.707,2.519,2.655
KECL,13.375,8.381,2.568,2.548
KEHR,13.77,8.728,2.512,2.634
KEMO,24.995,12.657,2.923,3.048
KIIU,25.714,12.751,2.894,2.911
KORY,13.152,7.449,2.193,2.23
KPNC,11.288,7.282,2.439,2.359
KSLC,13.01,8.361,2.755,2.913
KTFS,19.238,10.176,2.575,2.569
KTNC,11.825,7.794,2.341,2.476
KVWU,13.519,8.519,2.506,2.566
KWNJ,13.072,8.163,2.616,2.732
KYRB,20.106,10.316,2.606,2.709
LAZJ,23.07,11.614,2.994,3.008
LEZS,17.353,9.359,2.354,2.383
LGMD,13.444,8.454,2.772,2.735
LHWT,26.757,12.899,3.109,3.058
LIHW,12.258,7.699,2.594,2.716
LJJN,27.681,13.043,3.513,3.579
LKHO,17.2,9.208,2.574,2.559
LLJC,27.183,13.245,3.221,3.353
LMMX,12.976,8.052,2.645,2.748
LNMX,11.632,7.499,2.434,2.555
LQLO,12.748,8.189,2.479,2.607
LRRL,25.553,12.528,3.205,3.181
LRSS,21.951,11.401,2.605,2.673
LTEN,13.47,8.255,2.49,2.635
LUXM,12.93,8.356,2.721,2.825
LYTH,12.545,7.675,2.432,2.419
MAKB,24.642,12.115,3,3.068
MEAE,11.746,7.406,2.524,2.569
MEMQ,15.978,8.865,2.503,2.444
MJSX,13.104,8.215,2.199,2.153
MKMF,21.856,10.745,2.583,2.63
MLES,12.805,8.17,2.569,2.659
MONY,18.497,9.554,2.601,2.611
MQFA,13.63,8.524,2.75,2.693
MTZI,12.001,7.452,2.622,2.697
MUVY,25.853,12.644,3.062,3.007
MVOV,13.219,8.007,2.273,2.274
MXAY,12.119,7.941,2.499,2.57
MYTW,13.536,8.881,2.827,2.955
NACP,19.432,9.991,2.59,2.577
NAPZ,19.13,9.955,2.688,2.681
NBFT,22.166,11.334,2.775,2.748
NDWV,22.145,11.591,2.786,2.761
NFQJ,13.722,8.71,2.613,2.601
NFZB,13.2,8.405,2.84,2.749
NLMH,13.532,8.443,2.59,2.502
NMCP,22.578,11.322,2.984,3.049
NRDG,15.594,8.86,2.582,2.506
NRVV,16.524,8.97,2.579,2.599
NSFR,21.072,10.902,2.808,2.811
NUDB,13.515,8.315,2.736,2.664
NVHP,17.934,9.571,2.687,2.76
OCGB,11.977,7.437,1.912,2.514
ODLJ,16.864,9.409,2.366,2.434
OHRS,13.107,8.015,2.808,2.734
OHZZ,17.619,9.462,2.415,2.504
OLFY,11.899,7.391,2.434,2.417
ONAU,11.382,7.124,2.274,2.376
OQDA,19.668,10.283,2.687,2.714
OTIL,12.984,8.18,2.818,2.835
OVOZ,11.577,7.088,2.206,2.276
OWAU,22.281,11.248,2.995,2.972
OZHE,10.994,7.082,2.282,2.287
PAQJ,18.731,9.473,2.621,2.601
PBXK,16.509,9.14,2.49,2.564
PFPR,15.255,8.383,2.505,2.469
PIKP,25.808,12.814,3,3.085
PMTK,14.922,8.338,2.382,2.413
PQXQ,12.589,8.092,2.678,2.747
PTRO,11.8,7.429,2.575,2.543
PVUO,20.205,10.555,2.939,2.899
PVXU,12.694,8.024,2.704,2.674
PWML,14.381,7.991,2.315,2.392
PXBQ,18.131,9.48,2.737,2.86
PXBW,16.881,9.384,2.655,2.784
PZFT,23.843,11.726,3.119,3.092
PZMO,14.349,8.032,2.404,2.309
PZWX,17.052,9.27,2.542,2.613
QDVU,12.175,8.015,2.236,2.35
QDXY,23.862,11.444,3.113,3.073
QIIV,14.201,8.016,2.236,2.232
QMKN,12.315,7.639,2.62,2.599
QOGZ,11.836,7.681,2.48,2.482
QQJU,20.466,10.728,2.682,2.651
QRKY,11.798,7.79,2.539,2.599
QSRM,22.9,11.347,2.784,2.789
QUAR,15.959,8.818,2.351,2.35
QXSG,12.745,8.075,2.886,2.75
QYFB,11.143,7.243,2.38,2.336
QZHA,16.89,9.094,2.401,2.498
RBAX,19.692,10.349,2.622,2.59
RBFY,13.667,8.625,2.739,2.681
RCMK,15.19,8.629,2.445,2.469
RDRL,17.552,9.405,2.701,2.83
RIJE,11.625,7.416,2.578,2.606
RIWP,19.517,10.604,2.658,2.699
RJGO,12.789,7.997,2.767,2.775
RJVU,12.109,7.685,2.747,2.622
RMQE,12.848,7.865,2.731,2.695
RNCJ,12.446,7.816,2.55,2.666
RNFD,13.689,8.711,2.698,2.676
RPNA,17.927,9.447,2.671,2.744
RQME,19.876,10.146,2.709,2.679
RSFE,26.64,13.488,3.339,3.418
RTXD,18.452,10.528,2.635,2.621
RWGW,15.679,8.506,2.615,2.666
SBJV,26.997,12.715,3.266,3.303
SBJVC,23.893,12.284,3.059,3.107
SCBI,26.219,13.339,3.429,3.403
SCXD,20.147,10.41,2.637,2.589
SDBA,20.561,10.144,2.933,2.962
SDVC,22.423,11.32,2.98,3.059
SEVZ,13.706,8.851,2.803,2.85
SFBL,13.091,8.133,2.698,2.741
SGBK,21.57,10.906,3.076,3.12
SMVB,18.044,9.605,2.892,2.618
SMXT,12.156,7.891,2.24,2.246
SNCY,13.165,8.55,2.873,2.771
SNDZ,19.541,10.706,2.546,2.556
SQCA,25.214,12.477,3.232,3.216
SSQG,25.91,12.393,2.896,2.954
SVLP,19.358,10.085,2.691,2.688
SXDN,11.905,7.706,2.595,2.581
SYKW,25.874,12.88,3.395,3.31
TABC,20.5,10.691,2.829,2.923
TART,13.129,8.195,2.603,2.492
TKBC,23.755,12.282,2.782,2.831
TKSH,21.423,11.301,3.068,3.162
TRCQ,12.377,7.845,2.559,2.484
TSNP,24.837,12.365,3.162,3.18
TSPY,10.461,6.892,2.388,2.486
TWQN,15.802,8.783,2.425,2.48
TYRB,16.907,9.596,2.57,2.513
UCYK,11.6,7.603,2.599,2.629
UHRS,18.62,10.853,2.919,2.935
UKOQ,26.978,12.939,3.094,3.319
ULBD,22.949,11.905,2.865,2.98
UMXA,13.39,8.565,2.653,2.635
UNBX,16.453,9.195,2.683,2.742
UPBJ,13.34,8.44,2.513,2.573
UQVJ,20.062,10.446,2.603,2.686
UWVR,12.629,7.934,2.417,2.475
UYSP,26.57,12.62,3.307,3.402
VDBS,12.905,8.43,2.589,2.639
VDVI,26,12.603,3.308,3.29
VECM,19.196,10.295,2.618,2.708
VFCQ,15.057,8.296,2.426,2.416
VFPH,24.147,12.393,3.084,3.024
VGLK,20.267,10.42,2.745,2.772
VHBT,26.878,13.09,3.238,3.334
VJOC,13.024,8.601,2.477,2.461
VJTT,12.758,8.164,2.524,2.556
VNSP,18.458,9.43,2.814,2.734
VNVH,13.483,8.593,2.681,2.673
VUNA,12.812,8.414,2.763,2.736
WDBI,19.023,10.36,2.625,2.642
WHQS,12.007,7.561,2.496,2.571
WHVM,25.282,12.289,3.119,3.055
WJST,12.557,7.809,2.882,2.776
WKXK,23.899,11.507,2.82,2.84
WNVZ,19.242,10.117,2.681,2.589
WQOI,23.9,12.061,3.06,3.063
WQRK,20.953,10.415,2.798,2.916
WSXA,14.539,8.082,2.24,2.231
WWFJ,15.47,8.732,2.358,2.37
WYMS,17.471,9.43,2.528,2.548
XDBU,12.481,7.828,2.367,2.451
XKES,14.226,8.891,2.631,2.676
XMEN,15.675,8.762,2.387,2.42
XNIH,11.436,7.453,2.437,2.514
XOAF,19.1,10.228,2.686,2.725
XQBJ,25.668,12.88,3.067,3.128
XQHC,18.516,9.762,2.714,2.8
XRPL,18.377,10.717,2.639,2.629
XVQB,20.394,10.841,2.539,2.606
XWCJ,16.224,8.741,2.44,2.437
YAKT,13.189,7.468,2.245,2.262
YBYC,21.106,10.603,2.464,2.341
YCTD,14.576,7.82,2.3,2.307
YFAT,13.88,8.873,2.697,2.751
YGFO,17.202,9.184,2.789,2.761
YMRF,16.32,8.967,2.558,2.603
YNBA,19.932,11.51,3.17,3.157
YNFN,12.978,8.206,2.712,2.63
YNZS,13.901,8.793,2.752,2.64
YRUA,12.633,7.675,2.509,2.58
YRUH,12.915,8.12,2.559,2.664
YSQQ,14.376,8.27,2.189,2.196
YUWR,16.218,8.652,2.396,2.429
YYNS,12.992,8.16,2.521,2.491
YZUH,15.195,8.306,2.418,2.403
ZAQJ,13.583,7.527,2.225,2.298
ZAVH,15.115,8.541,2.342,2.359
ZFKD,16.372,8.969,2.515,2.453
ZFXN,21.004,10.869,2.568,2.7
ZIER,26.584,12.816,3.269,3.226
ZRDE,24.105,11.822,3.036,3.086
ZSUF,15.317,8.304,2.637,2.721
ZVNV,23.168,11.715,2.959,3.162
ZWYP,12.946,8.203,2.822,2.937
