ID,left_hindfemur,left_hindtibia,right_hindfemur,right_hindtibia
ACGN,21.439,23.878,21.513,23.478
ACIU,19.691,20.55,19.73,20.576
AGNG,19.469,20.018,19.465,20.391
AIZJ,19.416,20.89,19.494,20.444
AKPI,20.274,21.476,19.96,21.515
AQZC,17.714,18.423,17.867,18.307
ASOK,20.812,22.201,20.612,22.305
ATEZ,20.516,22.475,20.6,22.735
AZJJ,19.098,21.931,19.011,21.373
BBRM,18.129,18.983,18.445,18.782
BCSB,19.777,21.021,19.67,20.89
BLLA,17.899,19.344,17.693,18.856
BYLH,20.735,21.863,20.893,21.133
BZCS,18.604,19.21,18.541,19.183
CAPF,20.437,22.824,20.085,22.393
CAXC,17.427,17.96,16.943,17.678
CBMA,19.827,21.036,19.892,21.063
CBRE,16.921,17.613,16.729,17.566
CCQV,20.817,22.573,21.185,23.414
CGRD,17.231,18.765,17.403,18.933
CHCF,21.159,22.67,20.57,22.259
CPWC,18.638,19.893,17.877,19.716
CTFK,20.76,22.435,20.635,22.315
CVHB,19.269,20.678,19.125,20.546
CVLU,15.354,16.213,15.472,16.15
CVQJ,19.122,20.406,18.532,
CWPJ,20.579,21.385,20.028,21.456
CWRT,14.723,16.53,14.765,16.818
DESX,20.819,24.069,21.464,24.098
DFDF,17.304,,18.393,19.395
DFME,17.079,16.802,17.308,16.335
DJFZ,21.138,23.274,20.463,22.613
DNHH,18.892,21.069,18.75,21.119
DOCI,17.781,20.925,18.52,21.337
DQAS,16.992,17.324,16.829,17.383
DQAV,16.844,17.881,17.35,18.026
DSPJ,16.756,17.243,17.285,17.162
DUFU,18.081,19.06,18.46,20.352
DYFV,20.56,22.384,20.69,22.466
EAXA,18.649,20.908,18.995,20.695
EAXN,16.608,17.528,16.651,17.236
ECHF,18.404,19.868,18.52,19.719
ECJN,20.013,20.884,19.382,21.046
ECOO,18.644,20.609,18.205,20.602
EDIK,15.846,18.425,15.933,18.155
EFLR,17.68,19.457,17.604,19.224
EJSA,18.568,19.754,18.413,19.424
EMIY,21.255,22.311,20.656,22.016
EMMR,20.411,21.952,19.937,22.039
EWKB,17.368,18.032,17.152,17.884
EXFC,14.798,16.396,15.07,16.235
FDUO,22.737,23.875,23.32,24.328
FFVD,20.861,22.291,21.575,22.526
FHEO,,,21.112,22.329
FJIV,18.155,19.678,18.155,19.797
FKWM,16.629,18.368,16.251,17.708
FLUS,21.38,,21.401,23.402
FRAY,17.168,19.461,18.603,19.916
FRKH,20.433,21.166,20.137,20.946
FXZS,19.43,20.724,19.538,20.438
FYEF,22.489,25.555,22.328,25.591
FZRV,20.48,21.463,20.503,21.013
GDWH,19.278,20.266,19.543,20.363
GLXO,22.145,23.957,22.36,23.776
GMLX,16.686,18.179,16.998,18.63
GRAC,17.108,18.76,16.894,18.831
GRRD,22.903,24.233,22.666,24.399
GVKA,15.006,16.495,15.26,16.253
GWYL,16.393,18.194,16.368,18.308
GXQD,18.482,19.873,18.489,19.976
GYFU,20.605,22.071,20.373,22.109
HDAF,20.364,22.347,20.407,22.562
HDAI,21.61,21.992,20.847,22.469
HDZC,18.829,21.412,19.603,21.952
HEDP,16.858,18.219,17.514,17.823
HIHW,17.182,17.989,18.29,16.847
HKWK,14.981,16.754,14.765,16.514
HNNH,19.902,22.162,20.565,22.628
HNUV,15.438,16.669,15.362,17.014
HOHH,19.328,20.723,19.158,21.147
HRBI,16.112,16.74,15.94,16.916
HTCT,17.093,18.922,17.689,19.166
HZFK,16.666,18.526,16.378,18.534
IEAL,20.316,22.136,20.761,22.301
IEJY,18.088,20.086,17.915,19.291
IEPT,20.938,22.079,20.423,21.521
IJNE,17.571,19.601,17.834,19.15
ILNB,21.695,23.402,21.891,23.006
INPV,21.894,24.715,21.498,24.671
IULK,19.001,20.69,18.637,20.475
IVIQ,18.703,20.853,18.808,20.701
IVMB,17.666,19.232,17.446,19.486
JDGM,21.864,23.624,21.071,23.57
JDYH,17.813,19.058,17.29,18.927
JHFO,21.389,23.071,21.076,22.806
JONV,19.729,20.692,19.033,20.698
JOYH,19.803,20.965,19.221,21.057
JOZD,17.243,17.939,16.871,17.912
JPJS,17.63,19.595,17.653,17.508
JPJT,21.271,23.019,21.101,22.773
JRYP,16.256,17.404,16.808,17.784
JUCL,18.537,20.177,18.785,19.604
JUGA,19.555,21.516,18.754,20.708
JUJH,18.667,20.797,19.226,21.009
JUYN,19.028,19.671,19.032,19.763
JXVQ,18.618,21.098,18.401,20.742
JZEI,17.406,18.448,17.035,18.4
JZJE,20.654,21.763,20.48,21.123
KAIL,17.991,18.59,17.848,19.096
KAOK,20.763,20.827,20.519,21.913
KDQD,21.212,24.011,22.173,23.677
KECL,21.796,23.366,21.201,22.91
KEHR,21.042,23.835,20.52,23.02
KEMO,19.698,21.115,19.636,21.219
KIIU,19.725,21.398,19.858,21.367
KORY,14.991,16.749,14.612,16.847
KPNC,18.105,20.466,17.946,20.241
KSLC,20.634,22.912,20.684,22.152
KTFS,18.034,20.513,17.827,20.143
KTNC,19.728,21.099,19.559,21.156
KVWU,21.283,23.027,22.288,23.095
KWNJ,20.33,21.43,20.367,21.244
KYRB,19.478,20.439,18.245,19.806
LAZJ,18.885,20.194,18.584,
LEZS,18.168,19.682,17.613,18.721
LGMD,21.663,22.403,21.726,21.976
LHWT,20.685,22.224,21.05,22.233
LIHW,19.574,21.139,20.356,20.879
LJJN,19.846,22.488,20.13,22.136
LKHO,17.439,18.941,16.967,19.21
LLJC,,21.455,19.615,21.899
LMMX,20.604,22.189,20.519,22.035
LNMX,20.086,21.826,19.708,
LQLO,21.081,22.103,21.069,22.437
LRRL,19.739,20.35,19.346,20.585
LRSS,20.853,20.946,19.512,21.853
LTEN,20.368,21.451,20.273,21.483
LUXM,19.956,22.637,20.202,22.191
LYTH,20.394,21.721,20.847,22.328
MAKB,19.782,21.257,19.204,21.158
MEAE,20.087,20.258,19.882,20.127
MEMQ,16.435,17.324,16.683,17.916
MJSX,16.319,,16.302,17.945
MKMF,18.874,21.137,19.236,21.251
MLES,20.197,21.894,20.44,22.013
MONY,18.528,19.956,18.398,19.255
MQFA,21.712,23.517,22.287,24.067
MTZI,19.288,20.171,19.687,19.852
MUVY,19.667,22.003,19.748,22.254
MVOV,14.939,16.355,15.386,16.03
MXAY,20.65,23.095,20.602,23.593
MYTW,21.763,,21.177,22.64
NACP,17.898,19.361,18.449,19.476
NAPZ,17.142,19.362,17.875,18.88
NBFT,18.608,20.477,18.173,20.076
NDWV,18.079,20.384,18.192,20.767
NFQJ,20.487,22.05,20.585,21.987
NFZB,20.426,21.258,20.679,21.473
NLMH,20.907,23.3,21.225,23.416
NMCP,18.799,20.421,19.211,20.436
NRDG,16.379,18.078,16.357,18.158
NRVV,16.705,18.389,16.944,18.582
NSFR,18.096,19.703,18.46,19.648
NUDB,21.421,24.028,21.929,24.203
NVHP,16.895,18.86,16.625,18.703
OCGB,19.66,21.037,19.011,20.75
ODLJ,17.636,18.485,17.206,19.233
OHRS,21.163,22.408,21.03,22.354
OHZZ,17.46,18.515,,17.95
OLFY,19.339,21.064,20.967,19.702
ONAU,19.174,20.636,19.128,20.506
OQDA,18.048,19.271,18.526,19.213
OTIL,21.825,23.653,21.689,22.962
OVOZ,18.286,20.063,18.328,
OWAU,19.32,20.766,18.868,20.608
OZHE,18.298,19.433,18.13,19.132
PAQJ,16.563,18.506,16.734,18.275
PBXK,16.629,17.707,16.483,17.808
PFPR,15.93,16.869,15.707,16.867
PIKP,18.928,21.948,19.396,21.577
PMTK,15.139,17.452,15.357,17.019
PQXQ,19.59,21.305,20.292,21.827
PTRO,19.054,19.735,18.844,19.821
PVUO,19.01,20.435,18.802,19.678
PVXU,20.837,22.164,20.886,22.236
PWML,14.747,16.599,14.912,16.492
PXBQ,16.746,18.828,16.761,19.322
PXBW,17.294,17.879,17.434,17.832
PZFT,19.642,21.232,19.484,20.738
PZMO,15.954,16.965,15.211,16.379
PZWX,17.571,18.643,18.381,18.625
QDVU,19.598,22.067,19.364,21.122
QDXY,19.864,21.536,19.554,20.908
QIIV,15.208,17.043,15.863,17.002
QMKN,21.064,23.016,21.269,22.665
QOGZ,19.403,20.531,19.271,19.878
QQJU,17.441,19.508,17.537,19.332
QRKY,20.069,20.558,20.607,20.448
QSRM,17.514,20.258,18.071,20.408
QXSG,21.018,23.534,21.332,23.482
QYFB,17.792,18.768,18.045,18.634
QZHA,17.047,17.694,16.576,17.659
RBAX,17.605,20.688,17.452,21.248
RBFY,20.895,22.576,20.541,22.066
RCMK,16.768,17.673,16.684,17.477
RDRL,17.387,17.451,17.462,17.396
RIJE,18.091,19.755,18.987,19.536
RIWP,18.823,20.797,18.326,20.202
RJGO,19.779,21.691,19.542,21.725
RJVU,19.357,20.674,19.385,20.421
RMQE,20.838,21.79,20.011,20.861
RNCJ,19.407,20.176,19.006,19.991
RNFD,22.105,23.704,22.383,23.976
RPNA,16.556,18.058,16.836,18.292
RQME,17.684,19.635,18.157,19.572
RSFE,21.503,22.407,20.496,21.941
RTXD,18.441,20.313,18.729,20.278
RWGW,16.277,17.494,16.095,17.377
SBJV,18.863,20.608,19.496,20.848
SBJVC,19.42,21.221,18.94,21.277
SCBI,19.649,22.131,19.463,21.946
SCXD,17.261,18.091,17.69,18.426
SDBA,18.536,19.846,18.587,19.431
SDVC,19.62,21.594,19.979,21.704
SEVZ,21.585,24.393,21.436,24.646
SFBL,20.864,23.204,20.938,22.783
SGBK,19.243,20.535,19.202,20.514
SMVB,15.811,16.378,15.239,16.248
SMXT,15.566,16.372,15.3,15.818
SNCY,21.163,23.086,21.374,23.36
SNDZ,18.617,21.502,18.658,21.215
SQCA,19.977,21.431,19.682,21.814
SSQG,19.884,21.978,19.725,21.444
SVLP,18.028,20.443,18.099,20.42
SXDN,19.564,20.886,19.666,21.393
SYKW,19.842,22.464,19.677,21.987
TABC,18.331,20.428,18.26,20.492
TART,20.55,24.005,21.125,23.737
TKBC,19.164,21.134,19.108,21.024
TKSH,19.697,22.329,19.504,22.386
TRCQ,20.284,21.556,19.765,21.598
TSNP,19.577,21.379,18.54,20.948
TSPY,18.399,19.821,17.741,19.657
TWQN,16.979,,,
TYRB,18.083,18.607,18.407,18.789
UCYK,18.703,21.016,18.652,20.505
UHRS,18.644,20.612,18.8,20.012
UKOQ,19.607,21.563,19.495,21.746
ULBD,19.454,21.381,19.295,21.378
UMXA,19.712,21.985,19.907,21.593
UNBX,16.35,18.445,16.609,18.036
UPBJ,20.337,21.731,20.824,21.671
UQVJ,17.518,19.716,17.176,19.245
UWVR,19.297,21.114,19.361,21.315
UYSP,19.131,21.081,20.267,20.779
VDBS,20.917,22.908,20.723,23.167
VDVI,20.696,22.325,20.919,22.001
VECM,17.95,19.607,18.029,19.071
VFCQ,16.085,16.851,16.482,17.242
VFPH,19.66,20.681,20.492,20.95
VGLK,18.742,20.91,18.369,20.382
VHBT,20.377,23.725,20.262,23.215
VJOC,20.691,22.89,21.333,22.283
VJTT,19.059,21.599,20,22.094
VNSP,16.469,19.478,16.84,18.831
VNVH,19.846,21.699,18.892,21.808
VUNA,19.931,22.8,20.238,23.239
WDBI,18.243,18.992,18.133,19.352
WHQS,19.679,,19.193,21.57
WHVM,18.992,20.099,18.702,19.69
WJST,20.466,21.868,19.561,21.542
WKXK,19.306,20.783,18.692,20.307
WNVZ,17.061,18.279,17.176,18.259
WQOI,19.702,21.954,20.235,22.281
WQRK,17.647,,17.474,20.431
WSXA,16.267,17.915,16.887,17.648
WWFJ,16.078,,16.534,17.351
WYMS,16.184,,16.093,17.2
XDBU,19.798,21.44,20.591,21.565
XKES,21.924,24.15,21.282,24.317
XMEN,16.627,18.193,16.658,17.945
XNIH,19.005,,18.64,20.542
XOAF,18.013,19.633,17.972,20.277
XQBJ,20.211,21.464,20.964,21.423
XQHC,17.788,19.24,17.898,19.534
XRPL,18.895,20.051,17.968,19.364
XVQB,17.161,19.231,17.023,19.181
XWCJ,16.887,17.969,15.998,17.133
YAKT,16.967,19.064,16.815,18.975
YBYC,17.831,19.884,17.65,19.293
YCTD,16.204,16.139,,16.301
YFAT,22.671,23.995,21.966,23.61
YGFO,16.83,18.815,17.141,18.507
YMRF,16.681,17.965,16.549,17.733
YNBA,19.414,19.093,19.544,18.947
YNFN,19.176,21.903,19.108,21.552
YNZS,20.886,23.31,20.748,23.099
YRUA,19.121,20.803,19.486,21.207
YRUH,20.648,22.606,20.526,23.055
YSQQ,15.297,16.515,14.691,15.919
YUWR,16.989,18.316,16.225,18.457
YYNS,,,19.992,
YZUH,16.227,16.921,16.748,
ZAQJ,14.526,16.433,14.806,15.994
ZAVH,16.493,17.092,16.3,17.416
ZFKD,,,15.452,17.231
ZFXN,18.515,21.5,18.273,20.252
ZIER,20.057,21.329,19.835,21.252
ZRDE,19.458,21.386,19.037,21.267
ZSUF,15.691,16.99,15.972,17.109
ZVNV,19.423,21.07,20.168,20.68
ZWYP,20.719,,21.666,22.411
