ID,sex
ACGN,f
ACIU,f
AGNG,f
AIZJ,f
AKPI,m
AQZC,m
ASOK,f
ATEZ,f
AZJJ,f
BBRM,m
BCSB,f
BLLA,m
BYLH,f
BZCS,m
CAPF,m
CAXC,m
CBMA,f
CBRE,m
CCQV,f
CGRD,m
CHCF,f
CPWC,f
CTFK,m
CVHB,f
CVLU,m
CVQJ,f
CWPJ,m
CWRT,m
DESX,f
DFDF,m
DFME,m
DJFZ,m
DNHH,m
DOCI,m
DQAS,m
DQAV,m
DSPJ,m
DUFU,m
DYFV,m
EAXA,m
EAXN,m
ECHF,m
ECJN,m
ECOO,m
EDIK,m
EFLR,m
EJSA,m
EMIY,f
EMMR,m
EWKB,m
EXFC,m
FDUO,f
FFVD,f
FHEO,f
FJIV,m
FKWM,m
FLUS,f
FRAY,f
FRKH,f
FXZS,m
FYEF,f
FZRV,f
GDWH,m
GLXO,f
GMLX,m
GRAC,m
GRRD,f
GVKA,m
GWYL,m
GXQD,m
GYFU,f
HDAF,m
HDAI,f
HDZC,m
HEDP,m
HIHW,m
HKWK,m
HNNH,f
HNUV,m
HOHH,m
HRBI,m
HTCT,m
HZFK,m
IEAL,f
IEJY,m
IEPT,m
IJNE,m
ILNB,m
INPV,f
IULK,m
IVIQ,f
IVMB,m
JDGM,f
JDYH,m
JHFO,f
JONV,m
JOYH,m
JOZD,m
JPJS,f
JPJT,f
JRYP,m
JUCL,m
JUGA,f
JUJH,m
JUYN,f
JXVQ,m
JZEI,m
JZJE,f
KAIL,m
KAOK,f
KDQD,f
KECL,f
KEHR,f
KEMO,m
KIIU,m
KORY,m
KPNC,f
KSLC,f
KTFS,m
KTNC,f
KVWU,f
KWNJ,f
KYRB,m
LAZJ,m
LEZS,m
LGMD,f
LHWT,m
LIHW,f
LJJN,m
LKHO,m
LLJC,m
LMMX,f
LNMX,f
LQLO,f
LRRL,m
LRSS,m
LTEN,f
LUXM,f
LYTH,f
MAKB,m
MEAE,f
MEMQ,m
MJSX,m
MKMF,m
MLES,f
MONY,m
MQFA,f
MTZI,f
MUVY,m
MVOV,m
MXAY,f
MYTW,f
NACP,m
NAPZ,m
NBFT,m
NDWV,m
NFQJ,f
NFZB,f
NLMH,f
NMCP,m
NRDG,m
NRVV,m
NSFR,m
NUDB,f
NVHP,m
OCGB,f
ODLJ,m
OHRS,f
OHZZ,m
OLFY,f
ONAU,f
OQDA,m
OTIL,f
OVOZ,f
OWAU,m
OZHE,f
PAQJ,m
PBXK,m
PFPR,m
PIKP,m
PMTK,m
PQXQ,f
PTRO,f
PVUO,m
PVXU,f
PWML,m
PXBQ,m
PXBW,m
PZFT,m
PZMO,m
PZWX,m
QDVU,f
QDXY,m
QIIV,m
QMKN,f
QOGZ,f
QQJU,m
QRKY,f
QSRM,m
QUAR,m
QXSG,f
QYFB,f
RBAX,m
RBFY,f
RCMK,m
RDRL,m
RIJE,f
RIWP,m
RJGO,f
RJVU,f
RMQE,f
RNCJ,f
RNFD,f
RPNA,m
RQME,m
RSFE,m
RTXD,m
RWGW,m
SBJV,m
SBJVC,m
SCBI,m
SCXD,m
SDBA,m
SDVC,m
SEVZ,f
SFBL,f
SGBK,m
SMVB,m
SMXT,m
SNCY,f
SNDZ,m
SQCA,m
SSQG,m
SVLP,m
SXDN,f
SYKW,m
TABC,m
TART,f
TKBC,m
TKSH,m
TRCQ,f
TSPY,f
TWQN,m
TYRB,m
UCYK,f
UHRS,m
UKOQ,m
ULBD,m
UMXA,f
UNBX,m
UPBJ,f
UQVJ,m
UWVR,f
UYSP,m
VDBS,f
VDVI,m
VECM,m
VFCQ,m
VFPH,m
VGLK,m
VHBT,m
VJOC,f
VJTT,f
VNSP,m
VNVH,f
VUNA,f
WDBI,m
WHQS,f
WHVM,m
WJST,f
WKXK,m
WNVZ,m
WQOI,m
WQRK,m
WSXA,m
WWFJ,m
WYMS,m
XDBU,f
XKES,f
XMEN,m
XNIH,f
XOAF,m
XQBJ,m
XQHC,m
XRPL,m
XVQB,m
XWCJ,m
YAKT,m
YBYC,m
YCTD,m
YFAT,f
YGFO,m
YMRF,m
YNFN,f
YNZS,f
YRUA,f
YRUH,f
YSQQ,m
YUWR,m
YYNS,f
YZUH,m
ZAQJ,m
ZAVH,m
ZFKD,m
ZFXN,m
ZIER,m
ZRDE,m
ZSUF,m
ZVNV,m
ZWYP,f
QZHA,m
TSNP,m
YNBA,m
