ID,left_midfemur,left_midtibia,right_midfemur,right_midtibia
ACGN,,,12.632,13.88
ACIU,11.651,12.521,11.836,12.611
AGNG,11.847,12.283,11.761,12.115
AIZJ,11.908,12.806,11.677,12.79
AKPI,12.889,13.926,12.668,13.695
AQZC,11.132,11.998,10.931,11.789
ASOK,11.961,13.07,12.053,13.084
ATEZ,11.833,13.228,12.041,13.199
AZJJ,11.175,11.916,11.181,12.285
BBRM,11.068,12.004,11.178,12.291
BCSB,11.855,12.838,11.92,12.838
BLLA,11.5,12.649,11.421,12.473
BYLH,12.167,13.098,12.212,13.379
BZCS,11.258,12.336,11.162,12.436
CAPF,12.912,14.656,12.73,14.619
CAXC,10.944,11.872,10.547,12.029
CBMA,11.247,12.297,11.691,12.422
CBRE,10.491,11.029,10.311,11.059
CCQV,12.116,13.816,12.406,13.694
CGRD,10.651,11.525,10.707,12.187
CHCF,12.441,13.23,12.437,13.26
CPWC,11.024,11.743,10.92,11.652
CTFK,13.144,14.606,13.179,14.386
CVHB,11.074,12.111,11.054,11.922
CVLU,9.001,10.501,9.186,10.536
CVQJ,11.363,11.976,10.883,12.542
CWPJ,12.723,13.845,12.695,13.982
CWRT,9.502,11.055,9.393,11.033
DESX,13.023,13.8,12.957,13.729
DFDF,11.672,12.531,11.683,12.471
DFME,10.436,11.647,10.367,11.531
DJFZ,13.426,14.635,13.383,14.794
DNHH,12.238,14.028,12.158,14.073
DOCI,11.434,12.634,11.598,12.88
DQAS,10.329,11.709,10.467,11.649
DQAV,10.488,11.768,10.49,11.919
DSPJ,10.782,12.069,10.893,11.513
DUFU,11.626,13.305,11.745,12.862
DYFV,12.852,14.716,12.822,14.603
EAXA,12.638,13.466,12.257,13.25
EAXN,10.824,12.193,10.492,11.744
ECHF,11.684,13.044,11.784,12.973
ECJN,12.209,13.321,12.317,13.158
ECOO,11.57,13.66,,
EDIK,10.4,11.77,10.414,11.918
EFLR,11.561,12.682,11.491,12.772
EJSA,11.474,12.533,11.309,11.909
EMIY,12.435,13.211,12.448,13.437
EMMR,12.819,14.46,12.79,14.251
EWKB,10.499,11.254,10.539,11.276
EXFC,9.439,10.799,9.697,10.527
FDUO,12.909,13.637,12.834,13.778
FFVD,11.968,12.939,12.092,13.236
FHEO,12.029,13.115,12.418,13.539
FJIV,11.316,12.48,12.16,12.649
FKWM,10.779,11.58,10.825,11.883
FLUS,12.508,13.762,12.648,
FRAY,11.094,12.391,11.034,12.355
FRKH,11.999,12.916,,
FXZS,12.391,13.86,11.903,13.823
FYEF,12.851,14.149,12.721,14.447
FZRV,11.823,12.566,11.53,12.505
GDWH,12.302,13.584,12.27,13.435
GLXO,12.76,13.793,12.424,13.715
GMLX,10.594,11.997,10.806,12.148
GRAC,10.913,12.436,10.703,12.159
GRRD,13.098,14.211,13.144,14.306
GVKA,,,9.719,10.623
GWYL,10.203,11.834,10.443,11.668
GXQD,11.475,12.53,11.322,12.568
GYFU,11.992,12.638,11.972,12.678
HDAF,13.025,13.937,,
HDAI,12.367,13.58,12.586,13.79
HDZC,12.623,13.861,12.758,14.083
HEDP,10.807,12.361,10.811,12.335
HIHW,10.38,11.25,10.444,11.26
HKWK,9.46,10.614,9.523,10.869
HNNH,12.309,13.511,12.264,13.526
HNUV,9.759,11.055,9.668,10.919
HOHH,12.051,13.228,11.771,13.168
HRBI,10.152,11.217,9.98,11.486
HTCT,11.034,11.435,11.088,12.25
HZFK,10.239,11.153,10.286,11.255
IEAL,12.101,13.236,12.031,13.24
IEJY,10.63,,11.098,12.065
IEPT,13.094,14.544,13.045,14.522
IJNE,11.012,12.317,11.078,12.239
ILNB,13.376,14.874,13.438,14.987
INPV,12.534,13.696,12.589,13.784
IULK,12.361,13.502,12.46,13.495
IVIQ,11.143,11.885,,
IVMB,11.458,12.684,,
JDGM,12.641,13.276,12.576,13.36
JDYH,10.838,12.204,10.842,12.288
JHFO,11.975,13.088,12.37,13.232
JONV,12.363,13.564,12.417,13.488
JOYH,12.119,13.295,12.126,13.286
JOZD,10.092,11.563,10.563,11.264
JPJS,10.589,11.783,10.575,11.432
JPJT,11.919,13.193,12.222,12.919
JRYP,10.708,11.554,10.187,11.485
JUCL,11.813,12.665,11.771,12.278
JUGA,11.296,12.671,10.797,12.188
JUJH,11.757,13.236,12.053,13.422
JUYN,11.104,11.898,11.27,11.943
JXVQ,12.138,13.761,12.037,13.57
JZEI,10.648,11.807,10.687,11.855
JZJE,11.881,13.093,11.972,13.012
KAIL,11.282,11.952,11.381,11.995
KAOK,11.781,12.867,11.936,12.973
KDQD,12.918,13.324,13.089,13.496
