ID,pronotum
ACGN,8.33
ACIU,7.704
AGNG,7.405
AIZJ,7.804
AKPI,7.192
AQZC,6.749
ASOK,7.599
ATEZ,7.501
AZJJ,7.592
BBRM,6.903
BCSB,7.552
BLLA,6.691
BYLH,8.071
BZCS,6.869
CAPF,7.266
CAXC,6.473
CBMA,7.5
CBRE,6.46
CCQV,8.37
CGRD,6.328
CHCF,8.282
CPWC,7.108
CTFK,7.113
CVHB,7.476
CVLU,5.88
CVQJ,7.115
CWPJ,7.733
CWRT,5.992
DESX,7.89
DFDF,6.84
DFME,5.926
DJFZ,7.643
DNHH,7.28
DOCI,6.725
DQAS,6.335
DQAV,6.565
DSPJ,6.187
DUFU,7.234
DYFV,7.603
EAXA,6.94
EAXN,6.406
ECHF,7.1
ECJN,7.26
ECOO,6.688
EDIK,6.288
EFLR,6.666
EJSA,6.864
EMIY,8.53
EMMR,7.644
EWKB,6.396
EXFC,5.954
FDUO,8.232
FFVD,7.783
FHEO,8.121
FJIV,6.812
FKWM,6.233
FLUS,8.197
FRAY,7.418
FRKH,8.184
FXZS,7.374
FYEF,8.19
FZRV,7.8
GDWH,7.377
GLXO,8.316
GMLX,6.801
GRAC,6.279
GRRD,8.442
GVKA,5.872
GWYL,5.92
GXQD,6.927
GYFU,7.837
HDAF,7.531
HDAI,8.598
HDZC,7.016
HEDP,6.63
HIHW,6.642
HKWK,5.941
HNNH,7.932
HNUV,6.209
HOHH,6.835
HRBI,6.366
HTCT,6.883
HZFK,6.394
IEAL,8.07
IEJY,6.773
IEPT,8.315
IJNE,6.424
ILNB,7.986
INPV,8.313
IULK,7.44
IVIQ,7.136
IVMB,6.781
JDGM,8.406
JDYH,6.774
JHFO,7.013
JONV,7.342
JOYH,7.414
JOZD,7.288
JPJS,6.995
JPJT,7.835
JRYP,6.363
JUCL,6.851
JUGA,8.045
JUJH,6.96
JUYN,7.093
JXVQ,7.569
JZEI,6.3
JZJE,7.86
KAIL,6.203
KAOK,8.294
KDQD,8.386
KECL,7.976
KEHR,8.418
KEMO,6.988
KIIU,7.58
KORY,5.808
KPNC,7.211
KSLC,8.268
KTFS,6.697
KTNC,7.763
KVWU,8.087
KWNJ,7.611
KYRB,6.86
LAZJ,6.897
LEZS,6.478
LGMD,8.013
LHWT,7.689
LIHW,7.769
LJJN,7.873
LKHO,6.561
LLJC,7.639
LMMX,7.522
LNMX,7.902
LQLO,7.954
LRRL,7.505
LRSS,7.33
LTEN,7.65
LUXM,8.022
LYTH,7.491
MAKB,7.277
MEAE,7.273
MEMQ,6.196
MJSX,6.586
MKMF,6.892
MLES,8.022
MONY,6.874
MQFA,8.529
MTZI,7.343
MUVY,7.374
MVOV,6.187
MXAY,7.548
MYTW,8.093
NACP,6.378
NAPZ,6.444
NBFT,7.232
NDWV,6.768
NFQJ,8.18
NFZB,8.037
NLMH,7.911
NMCP,7.237
NRDG,6.364
NRVV,6.223
NSFR,6.882
NUDB,8.325
NVHP,6.63
OCGB,7.318
ODLJ,6.399
OHRS,7.854
OHZZ,6.78
OLFY,7.604
ONAU,7.438
OQDA,7.01
OTIL,7.725
OVOZ,6.859
OWAU,6.859
OZHE,7.074
PAQJ,6.322
PBXK,7.05
PFPR,6.048
PIKP,7.657
PMTK,6.097
PQXQ,7.399
PTRO,7.38
PVUO,6.915
PVXU,7.726
PWML,5.861
PXBQ,6.598
PXBW,6.693
PZFT,6.962
PZMO,5.991
PZWX,6.873
QDVU,7.674
QDXY,7.613
QIIV,5.947
QMKN,7.647
QOGZ,7.437
QQJU,7.124
QRKY,7.762
QSRM,7.046
QUAR,6.495
QXSG,6.015
QYFB,7.126
QZHA,6.662
RBAX,6.677
RBFY,8.371
RCMK,6.334
RDRL,6.74
RIJE,7.69
RIWP,6.941
RJGO,7.657
RJVU,7.683
RMQE,8.094
RNCJ,7.555
RNFD,8.219
RPNA,6.39
RQME,6.735
RSFE,7.484
RTXD,6.976
RWGW,6.105
SBJV,7.486
SBJVC,6.497
SCBI,8.018
SCXD,7.215
SDBA,6.925
SDVC,7.158
SEVZ,8.389
SFBL,8.098
SGBK,6.929
SMVB,6.867
SMXT,5.744
SNCY,8.379
SNDZ,7.488
SQCA,7.59
SSQG,7.689
SVLP,6.834
SXDN,7.555
SYKW,7.078
TABC,7.063
TART,7.81
TKBC,7.242
TKSH,7.189
TRCQ,7.792
TSNP,7.302
TSPY,7.082
TWQN,6.038
TYRB,7.488
UCYK,7.358
UHRS,7.047
UKOQ,7.438
ULBD,7.331
UMXA,8.342
UNBX,6.437
UPBJ,7.773
UQVJ,6.663
UWVR,7.505
UYSP,7.95
VDBS,7.984
VDVI,7.624
VECM,7.074
VFCQ,5.713
VFPH,7.425
VGLK,6.791
VHBT,8.111
VJOC,8.117
VJTT,8.134
VNSP,6.392
VNVH,7.883
VUNA,7.965
WDBI,6.52
WHQS,7.482
WHVM,7.382
WJST,8.133
WKXK,7.255
WNVZ,7.017
WQOI,7.152
WQRK,7.222
WSXA,6.222
WWFJ,6.773
WYMS,6.189
XDBU,7.463
XKES,8.183
XMEN,6.713
XNIH,7.144
XOAF,6.989
XQBJ,7.139
XQHC,6.576
XRPL,7.164
XVQB,6.811
XWCJ,6.176
YAKT,5.852
YBYC,6.919
YCTD,6.04
YFAT,8.576
YGFO,6.708
YMRF,6.313
YNBA,7.613
YNFN,7.681
YNZS,7.828
YRUA,7.401
YRUH,8.094
YSQQ,5.778
YUWR,6.409
YYNS,7.254
YZUH,6.293
ZAQJ,6.09
ZAVH,6.355
ZFKD,6.225
ZFXN,7.041
ZIER,7.789
ZRDE,7.122
ZSUF,6.048
ZVNV,6.967
ZWYP,8.046
