ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye
ACGN,f,female,8.33,13.957,8.778,13.432,13.77,12.632,13.88,21.476,23.678,3.5705,2.5300000000000002
ACIU,f,female,7.704,12.783,7.883,12.155999999999999,12.5115,11.743500000000001,12.566,19.7105,20.563000000000002,2.895,2.3865
AGNG,f,female,7.405,12.019,7.477,12.196,12.6025,11.803999999999998,12.199,19.467,20.2045,2.8115,2.6755
AIZJ,f,female,7.804,11.714,7.889,12.2625,12.902000000000001,11.7925,12.797999999999998,19.455,20.667,3.3205,2.5105000000000004
AKPI,m,tenth,7.192,25.798,12.47,13.370000000000001,14.0175,12.7785,13.810500000000001,20.117,21.4955,2.8890000000000002,3.0155000000000003
AQZC,m,eighth,6.749,18.409,9.902,11.873,12.3415,11.0315,11.8935,17.7905,18.365,2.4645,2.5195
ASOK,f,female,7.599,12.089,7.749,12.2345,13.07,12.007000000000001,13.077,20.712,22.253,2.864,2.6864999999999997
ATEZ,f,female,7.501,12.532,7.886,12.0445,12.776,11.937000000000001,13.2135,20.558,22.605,2.9080000000000004,2.6315
AZJJ,f,female,7.592,11.581,7.535,11.1385,12.3735,11.178,12.1005,19.054499999999997,21.652,2.705,2.5345
BBRM,m,ninth,6.903,20.034,10.194,12.3275,12.8505,11.123000000000001,12.1475,18.287,18.8825,2.915,2.934
BCSB,f,female,7.552,12.352,7.683,11.985,12.7705,11.8875,12.838,19.7235,20.9555,3.0305,2.6395
BLLA,m,ninth,6.691,20.491,10.363,12.736,12.910499999999999,11.4605,12.561,17.796,19.1,3.19,2.541
BYLH,f,female,8.071,12.501,8.167,12.8385,13.237,12.189499999999999,13.2385,20.814,21.497999999999998,3.4435000000000002,2.7865
BZCS,m,ninth,6.869,19.498,9.905,12.118500000000001,12.7345,11.21,12.386,18.572499999999998,19.1965,2.661,2.9154999999999998
CAPF,m,tenth,7.266,24.737,12.276,14.030999999999999,14.585,12.821000000000002,14.6375,20.261000000000003,22.6085,3.346,3.093
CAXC,m,eighth,6.473,16.148,8.853,11.798,12.271999999999998,10.7455,11.9505,17.185000000000002,17.819000000000003,2.697,2.4130000000000003
CBMA,f,female,7.5,11.914,7.763,11.865,12.808,11.469000000000001,12.3595,19.8595,21.049500000000002,3.4295,2.5875000000000004
CBRE,m,eighth,6.46,16.408,8.671,11.155999999999999,11.5765,10.401,11.044,16.825,17.5895,2.582,2.5385
CCQV,f,female,8.37,13.475,8.41,12.536999999999999,13.735,12.261,13.755,21.000999999999998,22.9935,3.158,2.7435
CGRD,m,eighth,6.328,17.017,9.461,11.466999999999999,11.818000000000001,10.679,11.856,17.317,18.849,2.5175,2.6935000000000002
CHCF,f,female,8.282,12.676,7.885,12.418,12.803,12.439,13.245000000000001,20.8645,22.4645,2.9145000000000003,2.7249999999999996
CPWC,f,female,7.108,11.588,7.5,11.1115,12.128499999999999,10.972,11.6975,18.2575,19.8045,2.7140000000000004,2.1795
CTFK,m,tenth,7.122,26.838,12.826,14.314499999999999,14.654,13.1615,14.495999999999999,20.6975,22.375,3.6295,3.2925
CVHB,f,female,7.476,11.795,7.468,11.581,12.4085,11.064,12.0165,19.197,20.612000000000002,2.701,2.402
CVLU,m,eighth,5.88,13.811,7.781,9.4925,10.5685,9.093499999999999,10.5185,15.413,16.1815,2.341,2.455
CVQJ,f,female,7.115,11.173,7.326,11.5255,11.8885,11.123,12.259,18.826999999999998,20.406,2.8145,2.2725
CWPJ,m,ninth,7.733,23.673,12.241,13.9025,13.987,12.709,13.913499999999999,20.3035,21.4205,3.467,3.1109999999999998
CWRT,m,eighth,5.992,13.646,8.33,10.303999999999998,11.0525,9.447500000000002,11.044,14.744,16.674,2.316,2.3665000000000003
DESX,f,female,7.89,13.772,8.405,12.907499999999999,13.594000000000001,12.99,13.7645,21.1415,24.0835,3.367,2.7995
DFDF,m,ninth,6.84,19.521,10.133,12.6735,13.0745,11.6775,12.501000000000001,17.8485,19.395,2.6905,2.6014999999999997
DFME,m,eighth,5.926,14.686,8.208,11.026499999999999,12.04,10.4015,11.589,17.1935,16.5685,2.8325,2.5324999999999998
DJFZ,m,tenth,7.643,26.156,12.783,14.998999999999999,14.9125,13.404499999999999,14.714500000000001,20.8005,22.9435,3.7635,3.5225
DNHH,m,tenth,7.28,24.24,11.685,13.449,14.545,12.198,14.0505,18.820999999999998,21.094,3.596,2.9375
DOCI,m,ninth,6.725,19.216,10.791,12.4,13.065,11.516,12.757000000000001,18.1505,21.131,3.0775,2.753
DQAS,m,eighth,6.335,15.589,8.733,11.280000000000001,11.9265,10.398,11.678999999999998,16.9105,17.3535,2.5220000000000002,2.4235
