 ,Label,Area,Length
1,NACP-1st leg-left.jpg:1907-3461,0.064,12.218
2,NACP-1st leg-left.jpg:1383-3266,0.066,12.558
3,NACP-1st leg-left.jpg:1416-3798,2.658,0
4,NAPZ-1st leg-left.jpg:1050-1584,0.061,11.555
5,NAPZ-1st leg-left.jpg:1572-1590,0.067,12.69
6,NAPZ-1st leg-left.jpg:1302-1119,2.655,0
7,NBFT-1st leg-left.jpg:1149-2289,0.071,13.542
8,NBFT-1st leg-left.jpg:1695-2228,0.074,14.187
9,NBFT-1st leg-left.jpg:1416-1702,2.99,0
10,NDWV-1st leg-left.jpg:1547-2069,0.066,12.534
11,NDWV-1st leg-left.jpg:2060-2087,0.068,12.962
12,NDWV-1st leg-left.jpg:1882-1582,2.748,0
13,NFQJ-1st leg-left.jpg:1370-2186,0.067,12.596
14,NFQJ-1st leg-left.jpg:1916-2102,0.069,13.112
15,NFQJ-1st leg-left.jpg:1683-1650,2.579,0
16,NFZB-1st leg-left.jpg:1086-2417,0.065,12.322
17,NFZB-1st leg-left.jpg:1604-2322,0.068,12.895
18,NFZB-1st leg-left.jpg:1348-1908,3.193,0
19,NLMH-1st leg-left.jpg:1805-3071,0.066,12.579
20,NLMH-1st leg-left.jpg:1458-2712,0.067,12.701
21,NLMH-1st leg-left.jpg:1228-3094,3.445,0
22,NMCP-1st leg-left.jpg:1359-1511,0.07,13.3
23,NMCP-1st leg-left.jpg:1998-1709,0.072,13.761
24,NMCP-1st leg-left.jpg:1927-1182,3.112,0
25,NRDG-1st leg-left.jpg:1587-2327,0.061,11.583
26,NRDG-1st leg-left.jpg:2132-2564,0.064,12.128
27,NRDG-1st leg-left.jpg:2130-2082,2.587,0
28,NRVV-1st leg-left.jpg:1019-2552,0.059,11.344
29,NRVV-1st leg-left.jpg:1524-2324,0.063,11.967
30,NRVV-1st leg-left.jpg:1093-2002,2.445,0
31,NUDB-1st leg-left.jpg:0906-2177,0.067,12.769
32,NUDB-1st leg-left.jpg:1479-1998,0.069,13.164
33,NUDB-1st leg-left.jpg:1089-1581,2.728,0
34,NSFR-1st leg-left.jpg:1089-1974,0.065,12.488
35,NSFR-1st leg-left.jpg:1673-1971,0.068,12.974
36,NSFR-1st leg-left.jpg:1444-1474,2.713,0
37,NVHP-1st leg-left.jpg:1124-1641,0.064,12.146
38,NVHP-1st leg-left.jpg:1782-1448,0.066,12.602
39,NVHP-1st leg-left.jpg:1464-1024,2.633,0
40,OCGB-1st leg-left.jpg:1361-2057,0.061,11.554
41,OCGB-1st leg-left.jpg:1853-1919,0.066,12.653
42,OCGB-1st leg-left.jpg:1533-1557,2.821,0
43,ODLJ-1st leg-left.jpg:1730-1785,0.062,11.824
44,ODLJ-1st leg-left.jpg:2184-1881,0.065,12.473
45,ODLJ-1st leg-left.jpg:2088-1380,2.952,0
46,OHRS-1st leg-left.jpg:0440-2166,0.066,12.505
47,OHRS-1st leg-left.jpg:1722-1883,0.072,13.645
48,OHRS-1st leg-left.jpg:1432-1486,3.269,0
49,OHZZ-1st leg-left.jpg:1935-2952,0.064,12.217
50,OHZZ-1st leg-left.jpg:1329-2981,0.066,12.62
51,OHZZ-1st leg-left.jpg:1566-3453,2.972,0
52,OLFY-1st leg-left.jpg:1581-2196,0.064,12.162
53,OLFY-1st leg-left.jpg:2085-2138,0.067,12.694
54,OLFY-1st leg-left.jpg:1876-1711,2.893,0
55,ONAU-1st leg-left.jpg:1221-2003,0.061,11.715
56,ONAU-1st leg-left.jpg:1700-2030,0.066,12.636
57,ONAU-1st leg-left.jpg:1503-1563,2.963,0
58,OQDA-1st leg-left.jpg:1755-2960,0.064,12.287
59,OQDA-1st leg-left.jpg:1221-2783,0.065,12.464
60,OQDA-1st leg-left.jpg:1234-3270,2.721,0
61,OTIL-1st leg-left.jpg:1199-1773,0.069,13.246
62,OTIL-1st leg-left.jpg:1803-1739,0.072,13.743
63,OTIL-1st leg-left.jpg:1551-1237,3.057,0
64,OVOZ-1st leg-left.jpg:1361-2129,0.061,11.541
65,OVOZ-1st leg-left.jpg:1785-1916,0.067,12.72
66,OVOZ-1st leg-left.jpg:1477-1587,2.932,0
67,OWAU-1st leg-left.jpg:1463-1895,0.069,13.124
68,OWAU-1st leg-left.jpg:1983-1845,0.067,12.768
69,OWAU-1st leg-left.jpg:1779-1351,2.338,0
70,OZHE-1st leg-left.jpg:1889-2628,0.059,11.262
71,OZHE-1st leg-left.jpg:1107-2664,0.061,11.691
72,OZHE-1st leg-left.jpg:1311-3081,2.761,0
73,PAQJ-1st leg-left.jpg:1977-3116,0.059,11.268
74,PAQJ-1st leg-left.jpg:1416-3134,0.062,11.739
75,PAQJ-1st leg-left.jpg:1650-3541,2.205,0
76,PBXK-1st leg-left.jpg:1479-1532,0.059,11.119
77,PBXK-1st leg-left.jpg:1982-1446,0.062,11.879
78,PBXK-1st leg-left.jpg:1708-1062,2.387,0
79,PFPR-1st leg-left.jpg:1350-2355,0.057,10.798
80,PFPR-1st leg-left.jpg:1844-2318,0.06,11.384
81,PFPR-1st leg-left.jpg:1659-1912,2.419,0
82,PIKP-1st leg-left.jpg:2544-2508,0.072,13.649
83,PIKP-1st leg-left.jpg:1469-2921,0.075,14.252
84,PIKP-1st leg-left.jpg:1891-3280,3.11,0
85,PMTK-1st leg-left.jpg:1401-2300,0.055,10.537
86,PMTK-1st leg-left.jpg:1842-2111,0.058,11.017
87,PMTK-1st leg-left.jpg:1521-1816,2.339,0
88,PQXQ-1st leg-left.jpg:2157-3003,0.063,12.066
89,PQXQ-1st leg-left.jpg:1521-2874,0.068,12.92
90,PQXQ-1st leg-left.jpg:1663-3378,3.01,0
91,PTRO-1st leg-left.jpg:1487-1538,0.062,11.835
92,PTRO-1st leg-left.jpg:1971-1409,0.063,11.945
93,PTRO-1st leg-left.jpg:1705-1027,2.555,0
94,PVUO-1st leg-left.jpg:2276-3210,0.065,12.461
95,PVUO-1st leg-left.jpg:1695-2963,0.072,13.732
96,PVUO-1st leg-left.jpg:1813-3516,3.383,0
97,PVXU-1st leg-left.jpg:1167-2232,0.066,12.643
98,PVXU-1st leg-left.jpg:2000-2045,0.067,12.861
99,PVXU-1st leg-left.jpg:1714-1630,3.056,0
100,PWML-1st leg-left.jpg:1395-2036,0.053,10.058
101,PWML-1st leg-left.jpg:1845-2034,0.058,11.11
102,PWML-1st leg-left.jpg:1633-1624,1.935,0
103,PXBQ-1st leg-left.jpg:1484-1923,0.062,11.879
104,PXBQ-1st leg-left.jpg:1991-1877,0.065,12.426
105,PXBQ-1st leg-left.jpg:1738-1416,2.371,0
106,PXBW-1st leg-left.jpg:2036-2174,0.061,11.576
107,PXBW-1st leg-left.jpg:2676-2751,0.063,11.978
108,PXBW-1st leg-left.jpg:2836-2287,2.724,0
109,PZFT-1st leg-left.jpg:1305-2168,0.071,13.491
110,PZFT-1st leg-left.jpg:1944-2109,0.073,13.855
111,PZFT-1st leg-left.jpg:1660-1624,3.441,0
112,PZMO-1st leg-left.jpg:1122-1706,0.055,10.436
113,PZMO-1st leg-left.jpg:1953-1695,0.059,11.336
114,PZMO-1st leg-left.jpg:1797-1288,2.281,0
115,QDVU-1st leg-left.jpg:1472-1913,0.063,12.089
116,QDVU-1st leg-left.jpg:2046-1806,0.068,12.881
117,QDVU-1st leg-left.jpg:1768-1416,3.014,0
118,QDXY-1st leg-left.jpg:2112-2937,0.073,13.884
119,QDXY-1st leg-left.jpg:1499-3141,0.074,14.056
120,QDXY-1st leg-left.jpg:1822-3586,2.98,0
121,QIIV-1st leg-left.jpg:1112-1494,0.056,10.745
122,QIIV-1st leg-left.jpg:1893-1413,0.061,11.601
123,QIIV-1st leg-left.jpg:1662-1011,2.218,0
