 ,Label,Area,Length
1,NRVV-1st leg-right.jpg:1841-3464,0.057,11.055
2,NRVV-1st leg-right.jpg:2178-3135,0.06,11.673
3,NRVV-1st leg-right.jpg:2355-3642,2.506,0
4,NSFR-1st leg-right.jpg:1530-1695,0.063,12.152
5,NSFR-1st leg-right.jpg:1137-2097,0.066,12.805
6,NSFR-1st leg-right.jpg:0963-1561,2.677,0
7,NUDB-1st leg-right.jpg:1599-1292,0.063,12.248
8,NUDB-1st leg-right.jpg:1152-1614,0.068,13.188
9,NUDB-1st leg-right.jpg:1065-1051,2.892,0
10,NVHP-1st leg-right.jpg:1406-2228,0.062,11.981
11,NVHP-1st leg-right.jpg:1065-2532,0.064,12.366
12,NVHP-1st leg-right.jpg:0874-2047,2.365,0
13,OCGB-1st leg-right.jpg:1689-2177,0.061,11.899
14,OCGB-1st leg-right.jpg:1299-2444,0.065,12.605
15,OCGB-1st leg-right.jpg:1179-1959,2.867,0
16,ODLJ-1st leg-right.jpg:1311-1776,0.058,11.214
17,ODLJ-1st leg-right.jpg:0950-2472,0.064,12.467
18,ODLJ-1st leg-right.jpg:0612-2076,2.919,0
19,OHZZ-1st leg-right.jpg:2118-3477,0.06,11.636
20,OHZZ-1st leg-right.jpg:2496-2552,0.064,12.445
21,OHZZ-1st leg-right.jpg:2910-2866,2.745,0
22,OLFY-1st leg-right.jpg:1947-1697,0.06,11.631
23,OLFY-1st leg-right.jpg:1575-1877,0.064,12.52
24,OLFY-1st leg-right.jpg:1527-1393,3.029,0
25,ONAU-1st leg-right.jpg:1764-2067,0.057,11.084
26,ONAU-1st leg-right.jpg:0902-2733,0.064,12.493
27,ONAU-1st leg-right.jpg:0777-2218,3.069,0
28,OQDA-1st leg-right.jpg:1536-2972,0.061,11.856
29,OQDA-1st leg-right.jpg:2399-2921,0.064,12.493
30,OQDA-1st leg-right.jpg:2296-3376,2.623,0
31,OTIL-1st leg-right.jpg:1455-2039,0.065,12.574
32,OTIL-1st leg-right.jpg:1130-2403,0.07,13.698
33,OTIL-1st leg-right.jpg:0883-1911,3.224,0
34,OVOZ-1st leg-right.jpg:1353-2978,0.058,11.19
35,OVOZ-1st leg-right.jpg:1934-2867,0.063,12.265
36,OVOZ-1st leg-right.jpg:2295-3148,2.985,0
37,OWAU-1st leg-right.jpg:1800-2904,0.062,12.317
38,OWAU-1st leg-right.jpg:2189-2714,0.063,12.987
39,OWAU-1st leg-right.jpg:2212-3210,2.881,0
40,OZHE-1st leg-right.jpg:1794-1760,0.056,10.976
41,OZHE-1st leg-right.jpg:1562-2787,0.061,11.935
42,OZHE-1st leg-right.jpg:1200-2547,2.987,0
43,PAQJ-1st leg-right.jpg:1557-2238,0.054,10.588
44,PAQJ-1st leg-right.jpg:1985-2390,0.06,11.701
45,PAQJ-1st leg-right.jpg:1687-2736,2.268,0
46,PBXK-1st leg-right.jpg:1424-1530,0.055,10.64
47,PBXK-1st leg-right.jpg:1128-1976,0.059,11.553
48,PBXK-1st leg-right.jpg:0873-1569,2.562,0
49,PFPR-1st leg-right.jpg:1829-1929,0.053,10.377
50,PFPR-1st leg-right.jpg:0849-2453,0.057,11.042
51,PFPR-1st leg-right.jpg:0822-1996,2.298,0
52,PIKP-1st leg-right.jpg:1809-3155,0.068,13.225
53,PIKP-1st leg-right.jpg:2598-2621,0.074,14.31
54,PIKP-1st leg-right.jpg:2715-3160,2.689,0
55,PMTK-1st leg-right.jpg:1956-1856,0.052,10.14
56,PMTK-1st leg-right.jpg:1445-2186,0.058,11.297
57,PMTK-1st leg-right.jpg:1356-1711,2.473,0
58,PQXQ-1st leg-right.jpg:1949-2766,0.059,11.547
59,PQXQ-1st leg-right.jpg:2216-2265,0.066,12.803
60,PQXQ-1st leg-right.jpg:2541-2625,2.682,0
61,PTRO-1st leg-right.jpg:1661-1751,0.06,11.675
62,PTRO-1st leg-right.jpg:1223-1956,0.062,12.025
63,PTRO-1st leg-right.jpg:1158-1497,2.867,0
64,PVUO-1st leg-right.jpg:1794-3203,0.065,12.656
65,PVUO-1st leg-right.jpg:1181-3108,0.067,13.024
66,PVUO-1st leg-right.jpg:1327-3664,2.76,0
67,PVXU-1st leg-right.jpg:1545-1947,0.065,12.558
68,PVXU-1st leg-right.jpg:1140-2144,0.065,12.706
69,PVXU-1st leg-right.jpg:1026-1674,3.178,0
70,PWML-1st leg-right.jpg:1946-1796,0.052,10.088
71,PWML-1st leg-right.jpg:1665-2040,0.056,10.915
72,PWML-1st leg-right.jpg:1527-1603,2.069,0
73,PXBQ-1st leg-right.jpg:1724-1881,0.059,11.473
74,PXBQ-1st leg-right.jpg:1253-2192,0.063,12.201
75,PXBQ-1st leg-right.jpg:1128-1705,2.698,0
76,PXBW-1st leg-right.jpg:2162-2559,0.058,11.203
77,PXBW-1st leg-right.jpg:1743-2454,0.06,11.666
78,PXBW-1st leg-right.jpg:1989-2038,2.352,0
79,PZFT-1st leg-right.jpg:1619-2036,0.067,13.104
80,PZFT-1st leg-right.jpg:1095-2336,0.07,13.69
81,PZFT-1st leg-right.jpg:1002-1797,3.676,0
82,PZMO-1st leg-right.jpg:1215-2999,0.052,10.137
83,PZMO-1st leg-right.jpg:0975-3300,0.056,10.849
84,PZMO-1st leg-right.jpg:0754-2902,2.105,0
85,PZWX-1st leg-right.jpg:1701-1355,0.061,11.815
86,PZWX-1st leg-right.jpg:1308-1569,0.064,12.4
87,PZWX-1st leg-right.jpg:1215-1056,2.617,0
88,QDVU-1st leg-right.jpg:1925-2156,0.061,11.804
89,QDVU-1st leg-right.jpg:1559-2520,0.066,12.869
90,QDVU-1st leg-right.jpg:1369-2065,2.869,0
91,QDXY-1st leg-right.jpg:1755-1601,0.069,13.327
92,QDXY-1st leg-right.jpg:1295-1881,0.07,13.673
93,QDXY-1st leg-right.jpg:1152-1339,2.78,0
94,QIIV-1st leg-right.jpg:1101-1991,0.054,10.403
95,QIIV-1st leg-right.jpg:0870-2349,0.057,11.07
96,QIIV-1st leg-right.jpg:0619-1929,1.926,0
97,QMKN-1st leg-right.jpg:1542-2441,0.061,11.932
98,QMKN-1st leg-right.jpg:1043-2796,0.065,12.595
99,QMKN-1st leg-right.jpg:0868-2355,3.235,0
100,QOGZ-1st leg-right.jpg:2139-2808,0.063,12.202
101,QOGZ-1st leg-right.jpg:2373-2382,0.064,12.386
102,QOGZ-1st leg-right.jpg:2703-2712,2.977,0
103,QQJU-1st leg-right.jpg:1946-3203,0.055,10.674
104,QQJU-1st leg-right.jpg:1340-3132,0.066,12.736
105,QQJU-1st leg-right.jpg:1594-3571,3.178,0
106,QRKY-1st leg-right.jpg:1536-2127,0.057,11.043
107,QRKY-1st leg-right.jpg:1409-2708,0.06,11.67
108,QRKY-1st leg-right.jpg:1029-2442,2.634,0
109,QSRM-1st leg-right.jpg:1875-1802,0.065,12.712
110,QSRM-1st leg-right.jpg:1379-2027,0.067,12.948
111,QSRM-1st leg-right.jpg:1332-1483,3.019,0
112,QUAR-1st leg-right.jpg:1713-2189,0.056,10.925
113,QUAR-1st leg-right.jpg:1373-2469,0.058,11.222
114,QUAR-1st leg-right.jpg:1155-2068,2.495,0
115,QXSG-1st leg-right.jpg:1434-2333,0.06,11.648
116,QXSG-1st leg-right.jpg:1091-2673,0.064,12.488
117,QXSG-1st leg-right.jpg:0888-2209,2.674,0
118,QYFB-1st leg-right.jpg:1815-2034,0.054,10.411
119,QYFB-1st leg-right.jpg:1419-2232,0.057,11.059
120,QYFB-1st leg-right.jpg:1356-1809,2.552,0
121,QZHA-1st leg-right.jpg:1478-1763,0.057,11.139
122,QZHA-1st leg-right.jpg:1058-2108,0.062,12.031
123,QZHA-1st leg-right.jpg:0831-1713,2.754,0
124,RBAX-1st leg-right.jpg:1665-2390,0.063,12.284
125,RBAX-1st leg-right.jpg:1173-2639,0.066,12.822
126,RBAX-1st leg-right.jpg:1156-2124,2.931,0
127,RBFY-1st leg-right.jpg:1664-2777,0.066,12.888
128,RBFY-1st leg-right.jpg:2117-2655,0.07,13.6
129,RBFY-1st leg-right.jpg:2095-3202,3.336,0
130,RCMK-1st leg-right.jpg:0533-1664,,
131,RCMK-1st leg-right.jpg:0470-1722,,
132,RCMK-1st leg-right.jpg:0461-1815,,
133,RDRL-1st leg-right.jpg:2211-1658,0.06,11.724
134,RDRL-1st leg-right.jpg:1068-1640,0.062,12.088
135,RDRL-1st leg-right.jpg:1291-1203,2.258,0
136,RIJE-1st leg-right.jpg:1988-2159,0.057,11.052
137,RIJE-1st leg-right.jpg:1488-2400,0.06,11.613
138,RIJE-1st leg-right.jpg:1473-1926,2.358,0
139,RIWP-1st leg-right.jpg:2064-3077,0.062,12.047
140,RIWP-1st leg-right.jpg:1599-3018,0.069,13.447
141,RIWP-1st leg-right.jpg:1803-3528,3.491,0
142,RJGO-1st leg-right.jpg:1593-3213,0.061,11.933
143,RJGO-1st leg-right.jpg:1940-3416,0.065,12.714
144,RJGO-1st leg-right.jpg:1575-3778,2.724,0
145,RJVU-1st leg-right.jpg:1722-2043,0.059,11.493
146,RJVU-1st leg-right.jpg:1347-2268,0.062,12.071
147,RJVU-1st leg-right.jpg:1237-1809,2.906,0
148,RMQE-1st leg-right.jpg:2081-3192,0.061,11.807
149,RMQE-1st leg-right.jpg:2444-2624,0.066,12.896
150,RMQE-1st leg-right.jpg:2781-3000,3.066,0
