 ,Label,Area,Angle,Length
1,CVQJ-1st leg-left.jpg:1406-2279,0.060,-7.953,11.478
2,CVQJ-1st leg-left.jpg:1977-2273,0.062,-23.389,11.803
3,CVQJ-1st leg-left.jpg:1804-1834,2.630,0.000,0.000
4,CVQJ-1st leg-right.jpg:1664-1398,0.059,-21.101,11.224
5,CVQJ-1st leg-right.jpg:1262-1571,0.062,-0.687,11.809
6,CVQJ-1st leg-right.jpg:1225-1119,2.882,0.000,0.000
7,DOCI-1st leg-left.jpg:1899-3563,0.064,-1.478,12.190
8,DOCI-1st leg-left.jpg:1323-3419,0.068,-13.918,12.943
9,DOCI-1st leg-left.jpg:1423-3952,2.863,0.000,0.000
10,DOCI-1st leg-right.jpg:1364-1638,0.063,-38.718,12.091
11,DOCI-1st leg-right.jpg:1035-1940,0.068,-19.247,12.974
12,DOCI-1st leg-right.jpg:0813-1476,2.994,0.000,0.000
13,DYFV-1st leg-left.jpg:2066-1679,0.074,-40.664,14.116
14,DYFV-1st leg-left.jpg:1815-3755,0.078,49.352,14.796
15,DYFV-1st leg-left.jpg:2259-3399,4.054,0.000,0.000
16,DYFV-1st leg-right.jpg:2010-1592,0.072,-54.591,13.813
17,DYFV-1st leg-right.jpg:1377-2184,0.078,-18.282,14.936
18,DYFV-1st leg-right.jpg:1173-1663,4.180,0.000,0.000
19,ECJN-1st leg-left.jpg:1587-1695,0.068,-35.668,12.890
20,ECJN-1st leg-left.jpg:1386-2368,3.495,0.000,0.000
21,ECJN-1st leg-right.jpg:1811-2267,0.070,-40.213,13.321
22,ECJN-1st leg-right.jpg:1346-2595,0.071,-16.559,13.516
23,ECJN-1st leg-right.jpg:1168-2086,3.440,0.000,0.000
24,EWKB-1st leg-left.jpg:1899-3065,0.060,26.248,11.448
25,EWKB-1st leg-left.jpg:1029-2790,0.062,-7.916,11.874
26,EWKB-1st leg-left.jpg:1060-3270,2.183,0.000,0.000
27,EWKB-1st leg-right.jpg:0792-3077,0.059,-5.101,11.318
28,EWKB-1st leg-right.jpg:1838-3339,0.062,-135.485,11.819
29,EWKB-1st leg-right.jpg:1575-3691,2.475,0.000,0.000
30,GLXO-1st leg-left.jpg:1268-3275,0.070,-6.784,13.443
31,GLXO-1st leg-left.jpg:1829-3092,0.074,4.546,14.085
32,GLXO-1st leg-left.jpg:1833-3640,3.434,0.000,0.000
33,GLXO-1st leg-right.jpg:1323-2487,0.069,-29.373,13.207
34,GLXO-1st leg-right.jpg:1899-2276,0.073,-41.944,13.973
35,GLXO-1st leg-right.jpg:1581-1849,3.491,0.000,0.000
36,GWYL-1st leg-left.jpg:1199-1704,0.057,-17.109,10.956
37,GWYL-1st leg-left.jpg:1767-1595,0.060,-35.529,11.418
38,GWYL-1st leg-left.jpg:1531-1204,2.243,0.000,0.000
39,GWYL-1st leg-right.jpg:1407-1511,0.057,-35.917,10.775
40,GWYL-1st leg-right.jpg:1001-1833,0.062,-11.656,11.752
41,GWYL-1st leg-right.jpg:0882-1360,2.407,0.000,0.000
42,HDZC-1st leg-left.jpg:1185-2253,0.074,-17.989,14.052
43,HDZC-1st leg-left.jpg:1869-2087,0.075,-34.460,14.283
44,HDZC-1st leg-left.jpg:1533-1626,3.171,0.000,0.000
45,HDZC-1st leg-right.jpg:1590-2168,0.074,-27.219,14.163
46,HDZC-1st leg-right.jpg:1092-2441,0.074,-9.201,14.160
47,HDZC-1st leg-right.jpg:1000-1900,3.389,0.000,0.000
48,HNUV-1st leg-left.jpg:1949-2063,0.054,18.875,10.352
49,HNUV-1st leg-left.jpg:1010-1985,0.058,-23.199,11.136
50,HNUV-1st leg-left.jpg:1137-2403,2.354,0.000,0.000
51,HNUV-1st leg-right.jpg:1937-2132,0.054,-50.919,10.350
52,HNUV-1st leg-right.jpg:1484-2541,0.059,-17.546,11.213
53,HNUV-1st leg-right.jpg:1306-2131,2.545,0.000,0.000
54,ILNB-1st leg-left.jpg:1476-3230,0.078,44.097,14.822
55,ILNB-1st leg-left.jpg:0938-2631,0.079,27.370,15.014
56,ILNB-1st leg-left.jpg:0660-3184,3.913,0.000,0.000
57,ILNB-1st leg-right.jpg:1445-2822,0.078,-26.159,14.872
58,ILNB-1st leg-right.jpg:2469-2504,0.080,5.763,15.345
59,ILNB-1st leg-right.jpg:2454-3069,4.229,0.000,0.000
60,JDYH-1st leg-left.jpg:1274-1907,0.063,-15.873,12.015
61,JDYH-1st leg-left.jpg:1869-1788,0.067,-32.947,12.778
62,JDYH-1st leg-left.jpg:1642-1356,2.939,0.000,0.000
63,JDYH-1st leg-right.jpg:1668-1935,0.060,-36.304,11.472
64,JDYH-1st leg-right.jpg:1211-2387,0.067,-18.033,12.749
65,JDYH-1st leg-right.jpg:1017-1932,2.743,0.000,0.000
66,JUCL-1st leg-left.jpg:1155-1679,0.064,-10.174,12.284
67,JUCL-1st leg-left.jpg:2111-1238,0.065,-50.129,12.435
68,JUCL-1st leg-left.jpg:1731-0883,3.081,0.000,0.000
69,JUCL-1st leg-right.jpg:0857-2214,0.066,30.433,12.510
70,JUCL-1st leg-right.jpg:1469-3719,0.067,-70.894,12.729
71,JUCL-1st leg-right.jpg:1009-3601,3.219,0.000,0.000
72,JUJH-1st leg-left.jpg:2024-2729,0.069,-2.543,13.110
73,JUJH-1st leg-left.jpg:1469-2772,0.071,19.502,13.611
74,JUJH-1st leg-left.jpg:1651-2269,3.095,0.000,0.000
75,JUJH-1st leg-right.jpg:2063-2150,0.065,-7.513,12.386
76,JUJH-1st leg-right.jpg:1520-2297,0.074,15.255,14.162
77,JUJH-1st leg-right.jpg:1662-1795,3.825,0.000,0.000
78,JXVQ-1st leg-left.jpg:1487-1859,0.068,-7.151,13.010
79,JXVQ-1st leg-left.jpg:2183-1890,0.073,-23.156,13.954
80,JXVQ-1st leg-left.jpg:1966-1371,2.977,0.000,0.000
81,JXVQ-1st leg-right.jpg:1658-2207,0.068,-27.534,12.891
82,JXVQ-1st leg-right.jpg:1259-2505,0.074,-8.411,14.082
83,JXVQ-1st leg-right.jpg:1135-1951,2.884,0.000,0.000
84,LAZJ-1st leg-left.jpg:1218-1907,0.064,-22.432,12.196
85,LAZJ-1st leg-left.jpg:1803-1785,0.066,-35.121,12.572
86,LAZJ-1st leg-left.jpg:1531-1339,2.767,0.000,0.000
87,LAZJ-1st leg-right.jpg:1379-2165,0.064,-32.279,12.218
88,LAZJ-1st leg-right.jpg:1065-2438,0.065,-14.755,12.471
89,LAZJ-1st leg-right.jpg:0909-1939,2.348,0.000,0.000
90,LLJC-1st leg-left.jpg:1479-3111,0.071,10.579,13.532
91,LLJC-1st leg-left.jpg:2076-3071,0.077,22.097,14.713
92,LLJC-1st leg-left.jpg:1932-3588,3.972,0.000,0.000
93,LLJC-1st leg-right.jpg:1935-3329,0.071,-2.648,13.615
94,LLJC-1st leg-right.jpg:1397-3221,0.077,-16.835,14.604
95,LLJC-1st leg-right.jpg:1476-3732,3.824,0.000,0.000
96,LRSS-1st leg-left.jpg:0938-2147,0.070,-4.826,13.270
97,LRSS-1st leg-left.jpg:1847-1962,0.071,-34.817,13.521
98,LRSS-1st leg-left.jpg:1515-1540,3.196,0.000,0.000
99,LRSS-1st leg-right.jpg:1485-1850,0.069,-41.871,13.239
100,LRSS-1st leg-right.jpg:1083-2295,0.072,-24.499,13.650
101,LRSS-1st leg-right.jpg:0835-1818,3.275,0.000,0.000
102,LUXM-1st leg-left.jpg:1185-2351,0.066,-18.232,12.664
103,LUXM-1st leg-left.jpg:1791-2294,0.072,-31.608,13.680
104,LUXM-1st leg-left.jpg:1552-1810,3.084,0.000,0.000
105,LUXM-1st leg-right.jpg:1535-2967,0.065,-7.322,12.460
106,LUXM-1st leg-right.jpg:2157-2751,0.070,8.910,13.401
107,LUXM-1st leg-right.jpg:2091-3295,2.666,0.000,0.000
108,MJSX-1st leg-left.jpg:0924-1779,0.055,-13.033,10.458
109,MJSX-1st leg-left.jpg:1683-1500,0.057,-43.946,10.875
110,MJSX-1st leg-left.jpg:1396-1200,2.575,0.000,0.000
111,MJSX-1st leg-right.jpg:1979-1905,0.053,-66.487,10.168
112,MJSX-1st leg-right.jpg:1923-2582,0.059,-61.434,11.279
113,MJSX-1st leg-right.jpg:1540-2425,2.302,0.000,0.000
114,MUVY-1st leg-left.jpg:1020-2591,0.071,-32.771,13.594
115,MUVY-1st leg-left.jpg:1659-2259,0.074,-49.440,14.073
116,MUVY-1st leg-left.jpg:1230-1888,3.052,0.000,0.000
117,MUVY-1st leg-right.jpg:1481-1541,0.070,-39.469,13.382
118,MUVY-1st leg-right.jpg:1065-1904,0.073,-18.211,13.987
119,MUVY-1st leg-right.jpg:0871-1371,3.150,0.000,0.000
120,NRDG-1st leg-left.jpg:1634-2355,0.060,23.395,11.444
121,NRDG-1st leg-left.jpg:2126-2561,0.063,-1.120,12.062
122,NRDG-1st leg-left.jpg:2130-2073,2.507,0.000,0.000
123,NRDG-1st leg-right.jpg:1532-2318,0.061,-62.143,11.542
124,NRDG-1st leg-right.jpg:0930-2907,0.064,-20.261,12.168
125,NRDG-1st leg-right.jpg:0757-2460,2.557,0.000,0.000
126,ONAU-1st leg-left.jpg:1200-2010,0.061,-12.729,11.703
127,ONAU-1st leg-left.jpg:1698-2036,0.066,-26.213,12.601
128,ONAU-1st leg-left.jpg:1513-1561,2.970,0.000,0.000
129,ONAU-1st leg-right.jpg:1782-1989,0.060,-59.789,11.499
130,ONAU-1st leg-right.jpg:0899-2748,0.067,-6.582,12.757
131,ONAU-1st leg-right.jpg:0780-2214,2.943,0.000,0.000
132,PIKP-1st leg-left.jpg:2486-2514,0.071,-3.934,13.522
133,PIKP-1st leg-left.jpg:1467-2918,0.074,-49.198,14.124
134,PIKP-1st leg-left.jpg:1893-3280,3.012,0.000,0.000
135,PIKP-1st leg-right.jpg:1751-3216,0.070,-48.656,13.424
136,PIKP-1st leg-right.jpg:2603-2612,0.075,-8.770,14.334
137,PIKP-1st leg-right.jpg:2715-3157,2.861,0.000,0.000
138,PTRO-1st leg-left.jpg:1428-1574,0.062,-21.349,11.834
139,PTRO-1st leg-left.jpg:1968-1416,0.063,-35.783,11.939
140,PTRO-1st leg-left.jpg:1707-1027,2.550,0.000,0.000
141,PZMO-1st leg-left.jpg:1056-1715,0.054,10.817,10.389
142,PZMO-1st leg-left.jpg:1956-1697,0.059,-30.021,11.313
143,PZMO-1st leg-left.jpg:1798-1281,2.263,0.000,0.000
144,PZMO-1st leg-right.jpg:1236-2952,0.055,-42.343,10.551
145,PZMO-1st leg-right.jpg:0978-3294,0.058,-26.200,11.040
146,PZMO-1st leg-right.jpg:0753-2899,2.162,0.000,0.000
147,PZMO-1st leg-right.jpg:1226-2993,0.054,-45.246,10.340
148,PZMO-1st leg-right.jpg:0977-3290,0.058,-25.873,11.062
149,PZMO-1st leg-right.jpg:0753-2907,2.198,0.000,0.000
150,QDVU-1st leg-left.jpg:1395-1943,0.063,-18.647,12.097
151,QDVU-1st leg-left.jpg:2031-1818,0.067,-35.717,12.820
152,QDVU-1st leg-left.jpg:1765-1413,3.015,0.000,0.000
153,QDVU-1st leg-right.jpg:1920-2154,0.063,-40.945,11.948
154,QDVU-1st leg-right.jpg:1565-2522,0.069,-19.176,13.068
155,QDVU-1st leg-right.jpg:1372-2064,3.079,0.000,0.000
156,QRKY-1st leg-left.jpg:1364-3353,0.060,68.272,11.425
157,QRKY-1st leg-left.jpg:1053-2780,0.064,37.031,12.270
158,QRKY-1st leg-left.jpg:0756-3126,2.897,0.000,0.000
159,QRKY-1st leg-right.jpg:1547-2069,0.059,-74.940,11.316
160,QRKY-1st leg-right.jpg:1416-2706,0.062,-53.494,11.893
161,QRKY-1st leg-right.jpg:1026-2446,2.655,0.000,0.000
162,QSRM-1st leg-left.jpg:1296-2877,0.068,-20.491,13.025
163,QSRM-1st leg-left.jpg:1959-2633,0.069,-40.409,13.195
164,QSRM-1st leg-left.jpg:1609-2238,3.260,0.000,0.000
165,QSRM-1st leg-right.jpg:1884-1800,0.068,-26.131,12.995
166,QSRM-1st leg-right.jpg:1383-2025,0.069,-3.687,13.203
167,QSRM-1st leg-right.jpg:1330-1477,3.156,0.000,0.000
168,RDRL-1st leg-left.jpg:0747-1607,0.062,-6.567,11.823
169,RDRL-1st leg-left.jpg:1653-1331,0.065,-42.264,12.344
170,RDRL-1st leg-left.jpg:1350-0955,2.631,0.000,0.000
