 ,Label,Area,Angle,Length
1,CVQJ-1st leg-left.jpg:1524-2274,0.06,-2.215,11.428
2,CVQJ-1st leg-left.jpg:1982-2265,0.063,-23.508,11.903
3,CVQJ-1st leg-left.jpg:1798-1839,2.73,0,0
4,CVQJ-1st leg-right.jpg:1662-1397,0.059,-21.089,11.31
5,CVQJ-1st leg-right.jpg:1268-1569,0.062,-0.993,11.831
6,CVQJ-1st leg-right.jpg:1231-1120,2.923,0,0
7,DOCI-1st leg-left.jpg:1779-3540,0.064,-175.361,12.09
8,DOCI-1st leg-left.jpg:1331-3420,0.068,-13.531,13.011
9,DOCI-1st leg-left.jpg:1426-3952,2.968,0,0
10,DOCI-1st leg-right.jpg:1355-1658,0.064,-38.095,12.246
11,DOCI-1st leg-right.jpg:1034-1946,0.068,-19.313,13.02
12,DOCI-1st leg-right.jpg:0817-1470,3.239,0,0
13,DYFV-1st leg-left.jpg:1970-1748,0.075,145.869,14.196
14,DYFV-1st leg-left.jpg:1814-3758,0.078,49.128,14.872
15,DYFV-1st leg-left.jpg:2263-3396,4.075,0,0
16,DYFV-1st leg-right.jpg:2019-1605,0.073,-54.689,13.917
17,DYFV-1st leg-right.jpg:1370-2198,0.079,-18.014,14.944
18,DYFV-1st leg-right.jpg:1171-1659,4.238,0,0
19,ECJN-1st leg-left.jpg:1461-1758,0.067,151.671,12.83
20,ECJN-1st leg-left.jpg:1390-2373,3.453,0,0
21,ECJN-1st leg-right.jpg:1805-2273,0.07,-40.109,13.343
22,ECJN-1st leg-right.jpg:1344-2592,0.071,-16.571,13.494
23,ECJN-1st leg-right.jpg:1165-2082,3.457,0,0
24,EWKB-1st leg-left.jpg:1794-3015,0.06,-146.923,11.445
25,EWKB-1st leg-left.jpg:1022-2793,0.063,-8.162,11.887
26,EWKB-1st leg-left.jpg:1059-3271,2.266,0,0
27,EWKB-1st leg-right.jpg:0794-3081,0.059,-3.959,11.194
28,EWKB-1st leg-right.jpg:1853-3341,0.062,43.917,11.802
29,EWKB-1st leg-right.jpg:1575-3697,2.353,0,0
1,GLXO-1st leg-left.jpg:1391-3243,0.071,-13.121,13.452
2,GLXO-1st leg-left.jpg:1827-3093,0.075,4.604,14.191
3,GLXO-1st leg-left.jpg:1839-3651,3.61,0,0
4,GLXO-1st leg-right.jpg:1463-2429,0.07,-23.217,13.205
5,GLXO-1st leg-right.jpg:1899-2282,0.074,-41.655,13.998
6,GLXO-1st leg-right.jpg:1584-1851,3.619,0,0
7,GWYL-1st leg-left.jpg:1304-1694,0.057,-12.357,10.869
8,GWYL-1st leg-left.jpg:1769-1595,0.061,-35.848,11.537
9,GWYL-1st leg-left.jpg:1530-1212,2.318,0,0
10,GWYL-1st leg-right.jpg:1409-1500,0.057,-37.104,10.832
11,GWYL-1st leg-right.jpg:1001-1829,0.062,-11.821,11.817
12,GWYL-1st leg-right.jpg:0886-1366,2.397,0,0
13,HDZC-1st leg-left.jpg:1305-2243,0.075,-11.072,14.172
14,HDZC-1st leg-left.jpg:1869-2093,0.076,-34.285,14.382
15,HDZC-1st leg-left.jpg:1525-1614,3.162,0,0
16,HDZC-1st leg-right.jpg:1554-2210,0.074,-29.825,14.062
17,HDZC-1st leg-right.jpg:1088-2441,0.075,-9.138,14.247
18,HDZC-1st leg-right.jpg:1005-1897,3.407,0,0
19,HNUV-1st leg-left.jpg:1871-2025,0.055,25.159,10.384
20,HNUV-1st leg-left.jpg:1010-1985,0.059,-23.791,11.257
21,HNUV-1st leg-left.jpg:1135-2406,2.504,0,0
22,HNUV-1st leg-right.jpg:1940-2132,0.055,-51.299,10.401
23,HNUV-1st leg-right.jpg:1484-2546,0.06,-17.273,11.35
24,HNUV-1st leg-right.jpg:1308-2127,2.634,0,0
25,ILNB-1st leg-left.jpg:1353-3096,0.079,50.693,14.887
26,ILNB-1st leg-left.jpg:0944-2640,0.08,27.425,15.081
27,ILNB-1st leg-left.jpg:0663-3180,3.983,0,0
28,ILNB-1st leg-right.jpg:1571-2742,0.078,-32.617,14.765
29,ILNB-1st leg-right.jpg:2471-2501,0.081,5.493,15.371
30,ILNB-1st leg-right.jpg:2457-3075,4.204,0,0
31,JDYH-1st leg-left.jpg:1391-1884,0.063,-9.986,11.953
32,JDYH-1st leg-left.jpg:1868-1791,0.068,-32.811,12.877
33,JDYH-1st leg-left.jpg:1644-1347,2.956,0,0
34,JUCL-1st leg-left.jpg:1277-1658,0.066,-4.298,12.456
35,JUCL-1st leg-left.jpg:2111-1242,0.066,-50.074,12.524
36,JUCL-1st leg-left.jpg:1717-0886,2.865,0,0
37,JUCL-1st leg-right.jpg:0959-2268,0.067,24.83,12.623
38,JUCL-1st leg-right.jpg:1473-3719,0.067,-71.453,12.784
39,JUCL-1st leg-right.jpg:1009-3606,3.309,0,0
40,JUJH-1st leg-left.jpg:2043-2729,0.07,-3.016,13.23
41,JUJH-1st leg-left.jpg:1479-2778,0.072,18.978,13.72
42,JUJH-1st leg-left.jpg:1653-2274,3.171,0,0
43,JUJH-1st leg-right.jpg:2073-2148,0.066,-8.027,12.464
44,JUJH-1st leg-right.jpg:1524-2297,0.075,15.384,14.195
45,JUJH-1st leg-right.jpg:1660-1801,3.975,0,0
46,JXVQ-1st leg-left.jpg:1628-1853,0.069,-1.18,13.057
47,JXVQ-1st leg-left.jpg:2187-1889,0.074,-23.36,14.047
48,JXVQ-1st leg-left.jpg:1959-1372,3.056,0,0
49,JXVQ-1st leg-right.jpg:1664-2207,0.069,-27.97,12.989
50,JXVQ-1st leg-right.jpg:1254-2508,0.075,-8.366,14.138
51,JXVQ-1st leg-right.jpg:1146-1956,3.192,0,0
52,LAZJ-1st leg-left.jpg:1358-1857,0.065,-16.118,12.254
53,LAZJ-1st leg-left.jpg:1805-1788,0.067,-35.18,12.661
54,LAZJ-1st leg-left.jpg:1531-1347,2.881,0,0
55,LAZJ-1st leg-right.jpg:1401-2162,0.065,-33.039,12.363
56,LAZJ-1st leg-right.jpg:1071-2436,0.066,-15.166,12.459
57,LAZJ-1st leg-right.jpg:0904-1939,2.661,0,0
58,LLJC-1st leg-left.jpg:1611-3128,0.071,-174.336,13.468
59,LLJC-1st leg-left.jpg:2075-3072,0.078,22.223,14.768
60,LLJC-1st leg-left.jpg:1930-3585,4.19,0,0
61,LLJC-1st leg-right.jpg:1838-3320,0.071,-1.015,13.404
62,LLJC-1st leg-right.jpg:1397-3227,0.078,-16.917,14.736
63,LLJC-1st leg-right.jpg:1479-3732,3.86,0,0
64,LRSS-1st leg-left.jpg:1067-2138,0.07,0.205,13.275
65,LRSS-1st leg-left.jpg:1844-1964,0.072,-34.846,13.708
66,LRSS-1st leg-left.jpg:1524-1543,3.445,0,0
67,LRSS-1st leg-right.jpg:1448-1923,0.069,-47.016,13.042
68,LRSS-1st leg-right.jpg:1080-2300,0.072,-24.701,13.707
69,LRSS-1st leg-right.jpg:0829-1819,3.38,0,0
70,LUXM-1st leg-left.jpg:1311-2336,0.066,-12.06,12.572
71,LUXM-1st leg-left.jpg:1833-2285,0.073,-33.038,13.873
72,LUXM-1st leg-left.jpg:1554-1815,3.402,0,0
73,LUXM-1st leg-right.jpg:1658-2940,0.066,-11.84,12.416
74,LUXM-1st leg-right.jpg:2156-2753,0.071,8.587,13.458
75,LUXM-1st leg-right.jpg:2086-3300,2.809,0,0
76,MJSX-1st leg-left.jpg:1046-1761,0.055,-6.331,10.475
77,MJSX-1st leg-left.jpg:1635-1509,0.06,-46.017,11.347
78,MJSX-1st leg-left.jpg:1405-1188,2.666,0,0
79,MJSX-1st leg-right.jpg:1968-1911,0.054,-66.074,10.144
80,MJSX-1st leg-right.jpg:1919-2582,0.06,-61.537,11.321
81,MJSX-1st leg-right.jpg:1546-2433,2.465,0,0
82,MUVY-1st leg-left.jpg:1134-2525,0.072,-25.939,13.601
83,MUVY-1st leg-left.jpg:1661-2256,0.075,-49.662,14.178
84,MUVY-1st leg-left.jpg:1233-1888,3.058,0,0
85,MUVY-1st leg-right.jpg:1475-1542,0.071,-39.598,13.43
86,MUVY-1st leg-right.jpg:1067-1904,0.074,-18.232,14.11
87,MUVY-1st leg-right.jpg:0873-1371,3.183,0,0
88,NRDG-1st leg-left.jpg:1634-2363,0.061,23.795,11.569
89,NRDG-1st leg-left.jpg:2133-2559,0.064,-1.492,12.156
90,NRDG-1st leg-left.jpg:2131-2079,2.609,0,0
91,NRDG-1st leg-right.jpg:1529-2312,0.062,-62.707,11.698
92,NRDG-1st leg-right.jpg:0941-2907,0.065,-20.937,12.265
93,NRDG-1st leg-right.jpg:0756-2460,2.772,0,0
94,ONAU-1st leg-left.jpg:1292-2012,0.061,-9.087,11.521
95,ONAU-1st leg-left.jpg:1697-2034,0.067,-26.437,12.688
96,ONAU-1st leg-left.jpg:1507-1567,3.011,0,0
97,ONAU-1st leg-right.jpg:1764-2061,0.06,-64.216,11.422
98,ONAU-1st leg-right.jpg:0903-2750,0.068,-6.767,12.89
99,ONAU-1st leg-right.jpg:0772-2223,3.025,0,0
100,PIKP-1st leg-left.jpg:2469-2490,0.071,-1.345,13.485
101,PIKP-1st leg-left.jpg:1481-2904,0.075,-48.187,14.287
102,PIKP-1st leg-left.jpg:1893-3279,3.095,0,0
103,PIKP-1st leg-right.jpg:1811-3144,0.071,-52.686,13.469
104,PIKP-1st leg-right.jpg:2598-2607,0.076,-9.462,14.437
105,PIKP-1st leg-right.jpg:2719-3162,2.86,0,0
106,PTRO-1st leg-left.jpg:1551-1527,0.062,-16.051,11.789
107,PTRO-1st leg-left.jpg:1971-1415,0.063,-35.95,12.02
108,PTRO-1st leg-left.jpg:1708-1027,2.637,0,0
109,PTRO-1st leg-right.jpg:1659-1742,0.063,-27.212,11.903
110,PTRO-1st leg-right.jpg:1223-1961,0.065,-5.088,12.311
111,PTRO-1st leg-right.jpg:1155-1495,2.929,0,0
112,PZMO-1st leg-left.jpg:1164-1734,0.055,15.777,10.359
113,PZMO-1st leg-left.jpg:1961-1697,0.06,-30.17,11.366
114,PZMO-1st leg-left.jpg:1795-1290,2.271,0,0
115,PZMO-1st leg-right.jpg:1230-2988,0.055,-45.862,10.406
116,PZMO-1st leg-right.jpg:0981-3294,0.059,-26.128,11.138
117,PZMO-1st leg-right.jpg:0748-2907,2.045,0,0
118,QDVU-1st leg-left.jpg:1391-1943,0.064,-18.907,12.159
119,QDVU-1st leg-left.jpg:2042-1814,0.068,-36.156,12.953
120,QDVU-1st leg-left.jpg:1767-1417,3.119,0,0
121,QDVU-1st leg-right.jpg:1922-2154,0.064,-41.44,12.073
122,QDVU-1st leg-right.jpg:1568-2519,0.069,-19.176,13.151
123,QDVU-1st leg-right.jpg:1371-2064,3.181,0,0
124,QRKY-1st leg-left.jpg:1365-3357,0.061,-111.537,11.465
125,QRKY-1st leg-left.jpg:1055-2778,0.065,36.929,12.351
126,QRKY-1st leg-left.jpg:0754-3135,2.939,0,0
127,QRKY-1st leg-right.jpg:1533-2145,0.06,-80.643,11.289
128,QRKY-1st leg-right.jpg:1415-2703,0.063,-53.726,11.874
129,QRKY-1st leg-right.jpg:1033-2449,2.74,0,0
130,QSRM-1st leg-left.jpg:1298-2880,0.069,-20.815,13.136
131,QSRM-1st leg-left.jpg:1943-2649,0.071,-39.285,13.369
132,QSRM-1st leg-left.jpg:1617-2241,3.299,0,0
133,QSRM-1st leg-right.jpg:1880-1800,0.069,-26.253,12.985
134,QSRM-1st leg-right.jpg:1385-2025,0.07,-3.755,13.288
135,QSRM-1st leg-right.jpg:1332-1480,2.983,0,0
136,RDRL-1st leg-left.jpg:0756-1604,0.062,-7.534,11.827
137,RDRL-1st leg-left.jpg:1646-1341,0.065,-41.835,12.36
138,RDRL-1st leg-left.jpg:1351-0958,2.699,0,0
139,RDRL-1st leg-right.jpg:2213-1647,0.063,-27.656,11.897
140,RDRL-1st leg-right.jpg:1094-1649,0.066,30.22,12.543
141,RDRL-1st leg-right.jpg:1302-1207,2.466,0,0
142,SEVZ-1st leg-left.jpg:1397-3813,0.071,-52.66,13.513
143,SEVZ-1st leg-left.jpg:1089-1794,0.075,30.311,14.296
144,SEVZ-1st leg-left.jpg:0759-2218,3.458,0,0
145,SMVB-1st leg-left.jpg:1935-1631,0.063,5.433,12.032
146,SMVB-1st leg-left.jpg:2357-1712,0.066,-13.038,12.555
147,SMVB-1st leg-left.jpg:2278-1192,2.567,0,0
