 ,Label,Length
1,ACGN-Head.jpg:1698-2669,13.957
2,ACGN-Head.jpg:1338-2691,8.778
3,ACGN-Head.jpg:2118-2133,2.505
4,ACGN-Head.jpg:2079-3296,2.555
5,ACIU-Head.jpg:1559-2190,12.783
6,ACIU-Head.jpg:1680-2511,7.883
7,ACIU-Head.jpg:0969-2006,2.351
8,ACIU-Head.jpg:1962-1703,2.422
9,AGNG-Head.jpg:1478-2580,12.019
10,AGNG-Head.jpg:1524-2976,7.477
11,AGNG-Head.jpg:0941-2369,2.666
12,AGNG-Head.jpg:1979-2276,2.685
13,AIZJ-Head.jpg:1626-2450,11.714
14,AIZJ-Head.jpg:1335-2496,7.889
15,AIZJ-Head.jpg:1941-1902,2.45
16,AIZJ-Head.jpg:2162-2904,2.571
17,AKPI-Head.jpg:1745-2699,25.798
18,AKPI-Head.jpg:1746-2651,12.47
19,AKPI-Head.jpg:0689-2021,3.119
20,AKPI-Head.jpg:1953-1341,2.912
21,AQZC-Head.jpg:1685-2402,18.409
22,AQZC-Head.jpg:1812-2507,9.902
23,AQZC-Head.jpg:0875-2184,2.483
24,AQZC-Head.jpg:1782-1485,2.556
25,ASOK-Head.jpg:1689-2141,12.089
26,ASOK-Head.jpg:2009-2339,7.749
27,ASOK-Head.jpg:1178-2261,2.682
28,ASOK-Head.jpg:1803-1502,2.691
29,ATEZ-Head.jpg:1581-2535,12.532
30,ATEZ-Head.jpg:1181-2508,7.886
31,ATEZ-Head.jpg:1820-3101,2.608
32,ATEZ-Head.jpg:1962-2061,2.655
33,AZJJ-Head.jpg:1586-2381,11.581
34,AZJJ-Head.jpg:1964-2435,7.535
35,AZJJ-Head.jpg:1373-1865,2.557
36,AZJJ-Head.jpg:1238-2834,2.512
37,BBRM-Head.jpg:1850-2430,20.034
38,BBRM-Head.jpg:1934-2544,10.194
39,BBRM-Head.jpg:1043-1947,2.915
40,BBRM-Head.jpg:2220-1410,2.953
41,BCSB-Head.jpg:1875-2621,12.352
42,BCSB-Head.jpg:1959-2966,7.683
43,BCSB-Head.jpg:1328-2456,2.59
44,BCSB-Head.jpg:2343-2156,2.689
45,BLLA-Head.jpg:1719-2543,20.491
46,BLLA-Head.jpg:1751-2594,10.363
47,BLLA-Head.jpg:1170-1785,2.473
48,BLLA-Head.jpg:2343-1760,2.609
49,BYLH-Head.jpg:1628-2832,12.501
50,BYLH-Head.jpg:1730-3239,8.167
51,BYLH-Head.jpg:1077-2655,2.778
52,BYLH-Head.jpg:2160-2462,2.795
53,BZCS-Head.jpg:1571-2729,19.498
54,BZCS-Head.jpg:1715-2891,9.905
55,BZCS-Head.jpg:0869-2229,2.843
56,BZCS-Head.jpg:2028-1880,2.988
57,CAPF-Head.jpg:1635-2673,24.737
58,CAPF-Head.jpg:1736-2688,12.276
59,CAPF-Head.jpg:0843-1791,2.958
60,CAPF-Head.jpg:2214-1559,3.228
61,CAXC-Head.jpg:1857-2672,16.148
62,CAXC-Head.jpg:2039-2754,8.853
63,CAXC-Head.jpg:1115-2937,2.399
64,CAXC-Head.jpg:1625-1932,2.427
65,CBMA-Head.jpg:1824-2450,11.914
66,CBMA-Head.jpg:2219-2433,7.763
67,CBMA-Head.jpg:1533-2928,2.588
68,CBMA-Head.jpg:1551-1904,2.587
69,CBRE-Head.jpg:1671-1899,16.408
70,CBRE-Head.jpg:1851-1983,8.671
71,CBRE-Head.jpg:0959-1712,2.516
72,CBRE-Head.jpg:1821-1028,2.561
73,CCQV-Head.jpg:1604-2642,13.475
74,CCQV-Head.jpg:1158-2582,8.41
75,CCQV-Head.jpg:2012-2226,2.634
76,CCQV-Head.jpg:1911-3279,2.853
77,CGRD-Head.jpg:1623-2688,17.017
78,CGRD-Head.jpg:1766-2858,9.461
79,CGRD-Head.jpg:1014-2238,2.648
80,CGRD-Head.jpg:2100-1970,2.739
81,CHCF-Head.jpg:1689-3068,12.676
82,CHCF-Head.jpg:1842-3464,7.885
83,CHCF-Head.jpg:1064-2988,2.659
84,CHCF-Head.jpg:2120-2697,2.791
85,CPWC-Head.jpg:1559-3039,11.588
86,CPWC-Head.jpg:1604-3371,7.5
87,CPWC-Head.jpg:1061-2789,2.296
88,CPWC-Head.jpg:1994-2712,2.063
89,CTFK-Head.jpg:1641-2726,26.838
90,CTFK-Head.jpg:1728-2601,12.826
91,CTFK-Head.jpg:0722-1890,3.14
92,CTFK-Head.jpg:1941-1209,3.445
93,CVHB-Head.jpg:1784-2621,11.795
94,CVHB-Head.jpg:2153-2568,7.468
95,CVHB-Head.jpg:1455-2162,2.452
96,CVHB-Head.jpg:1562-3135,2.352
97,CVLU-Head.jpg:1371-2663,13.811
98,CVLU-Head.jpg:1563-2774,7.781
99,CVLU-Head.jpg:0758-2573,2.41
100,CVLU-Head.jpg:1497-1952,2.5
101,CVQJ-Head.jpg:1733-2510,11.173
102,CVQJ-Head.jpg:1382-2468,7.326
103,CVQJ-Head.jpg:1943-3054,2.332
104,CVQJ-Head.jpg:2073-2105,2.213
105,CWPJ-Head.jpg:1646-2549,23.673
106,CWPJ-Head.jpg:1752-2697,12.241
107,CWPJ-Head.jpg:0711-1821,3.034
108,CWPJ-Head.jpg:2001-1382,3.188
109,CWRT-Head.jpg:1622-2444,13.646
110,CWRT-Head.jpg:1470-2487,8.33
111,CWRT-Head.jpg:2096-2955,2.319
112,CWRT-Head.jpg:2102-2009,2.414
113,DESX-Head.jpg:1692-2673,13.772
114,DESX-Head.jpg:1802-3075,8.405
115,DESX-Head.jpg:1151-2321,2.671
116,DESX-Head.jpg:2255-2195,2.928
117,DFDF-Head.jpg:1707-2439,19.521
118,DFDF-Head.jpg:1793-2564,10.133
119,DFDF-Head.jpg:0818-2031,2.52
120,DFDF-Head.jpg:1809-1481,2.683
121,DFME-Head.jpg:1956-2658,14.686
122,DFME-Head.jpg:2067-2852,8.208
123,DFME-Head.jpg:1436-2256,2.497
124,DFME-Head.jpg:2463-2058,2.568
125,DJFZ-Head.jpg:1587-2519,26.156
126,DJFZ-Head.jpg:1439-2337,12.783
127,DJFZ-Head.jpg:1442-3750,3.553
128,DJFZ-Head.jpg:2759-3111,3.492
129,DNHH-Head.jpg:1623-2627,24.24
130,DNHH-Head.jpg:1688-2634,11.685
131,DNHH-Head.jpg:0806-1797,2.839
132,DNHH-Head.jpg:2076-1445,3.036
133,DOCI-Head.jpg:1761-2355,19.216
134,DOCI-Head.jpg:1683-2256,10.791
135,DOCI-Head.jpg:1130-3135,2.788
136,DOCI-Head.jpg:2312-3036,2.718
137,DQAS-Head.jpg:1590-2633,15.589
138,DQAS-Head.jpg:1730-2759,8.733
139,DQAS-Head.jpg:0945-2336,2.357
140,DQAS-Head.jpg:1889-1899,2.49
141,DQAV-Head.jpg:1688-2477,16.318
142,DQAV-Head.jpg:1787-2583,9.046
143,DQAV-Head.jpg:0948-2202,NA
144,DQAV-Head.jpg:1970-1680,2.591
145,DSPJ-Head.jpg:1767-2445,16.443
146,DSPJ-Head.jpg:1814-2640,8.969
147,DSPJ-Head.jpg:1217-1905,2.346
148,DSPJ-Head.jpg:2271-1797,2.512
149,DUFU-Head.jpg:1358-2723,22.16
150,DUFU-Head.jpg:1418-2729,11.341
151,DUFU-Head.jpg:0663-1875,2.938
152,DUFU-Head.jpg:1928-1695,3.132
153,DYFV-Head.jpg:1767-2499,25.875
154,DYFV-Head.jpg:1943-2589,12.758
155,DYFV-Head.jpg:0785-1802,3.286
156,DYFV-Head.jpg:2030-1103,3.421
157,EAXA-Head.jpg:1676-2463,23.399
158,EAXA-Head.jpg:1698-2436,11.795
159,EAXA-Head.jpg:1464-3651,3.01
160,EAXA-Head.jpg:2678-3012,3.158
161,EAXN-Head.jpg:1647-2603,16.246
162,EAXN-Head.jpg:1893-2568,8.682
163,EAXN-Head.jpg:1061-2063,2.382
164,EAXN-Head.jpg:1097-3110,2.414
165,ECHF-Head.jpg:1761-2406,20.794
166,ECHF-Head.jpg:1818-2397,10.833
167,ECHF-Head.jpg:0894-1824,2.963
168,ECHF-Head.jpg:1980-1322,2.868
169,ECJN-Head.jpg:1658-2604,24.824
170,ECJN-Head.jpg:1668-2564,12.285
171,ECJN-Head.jpg:1187-3722,3.162
172,ECJN-Head.jpg:2492-3468,3.063
173,ECOO-Head.jpg:1638-2574,22.248
174,ECOO-Head.jpg:1719-2591,11.687
175,ECOO-Head.jpg:0920-1803,2.973
176,ECOO-Head.jpg:2169-1566,3.096
177,EDIK-Head.jpg:1587-2181,16.078
178,EDIK-Head.jpg:1658-2312,8.695
179,EDIK-Head.jpg:1241-1610,2.485
180,EDIK-Head.jpg:2274-1623,2.527
181,EFLR-Head.jpg:1785-2052,20.882
182,EFLR-Head.jpg:1875-2115,10.93
183,EFLR-Head.jpg:0872-1883,2.989
184,EFLR-Head.jpg:1760-0963,2.959
185,EJSA-Head.jpg:1935-2558,20.491
186,EJSA-Head.jpg:2001-2621,10.505
187,EJSA-Head.jpg:1298-1874,2.62
188,EJSA-Head.jpg:2517-1665,2.796
189,EMIY-Head.jpg:1695-2384,13.405
190,EMIY-Head.jpg:1833-2780,8.482
191,EMIY-Head.jpg:1062-2229,2.739
192,EMIY-Head.jpg:2150-1953,2.782
193,EMMR-Head.jpg:1671-2691,24.245
194,EMMR-Head.jpg:1764-2621,12.084
195,EMMR-Head.jpg:0720-2079,2.927
196,EMMR-Head.jpg:1962-1440,3.063
197,EWKB-Head.jpg:1614-2910,18.923
198,EWKB-Head.jpg:1652-2943,10.094
199,EWKB-Head.jpg:1260-1877,2.589
200,EWKB-Head.jpg:2397-2099,2.641
201,EXFC-Head.jpg:1541-2462,13.333
202,EXFC-Head.jpg:1503-2286,7.562
