 ,Label,Area,Angle,Length
1,CVQJ-Head.jpg:1730-2522,0.058,-80.284,11.087
2,CVQJ-Head.jpg:1379-2468,0.038,8.793,7.303
3,CVQJ-Head.jpg:1947-3051,0.012,-84.596,2.337
4,CVQJ-Head.jpg:2072-2106,0.011,-84.920,2.131
5,DOCI-Head.jpg:1749-2355,0.101,-0.845,19.184
6,DOCI-Head.jpg:1683-2253,0.056,-94.567,10.663
7,DOCI-Head.jpg:1121-3138,0.015,-9.989,2.810
8,DOCI-Head.jpg:2294-3039,0.014,0.333,2.704
9,DYFV-Head.jpg:1839-2475,0.136,-28.933,25.870
10,DYFV-Head.jpg:1878-2468,0.066,-117.457,12.651
11,DYFV-Head.jpg:2009-1109,0.018,152.832,3.340
12,DYFV-Head.jpg:0768-1806,0.017,150.186,3.226
13,ECJN-Head.jpg:1629-2613,0.129,-10.292,24.642
14,ECJN-Head.jpg:1661-2535,0.064,-101.614,12.183
15,ECJN-Head.jpg:1190-3719,0.016,-9.605,3.110
16,ECJN-Head.jpg:2492-3474,0.016,-8.589,3.053
17,EWKB-Head.jpg:1586-2894,0.099,14.025,18.880
18,EWKB-Head.jpg:1640-2996,0.053,-78.061,10.109
19,EWKB-Head.jpg:2406-2090,0.013,-176.489,2.568
20,EWKB-Head.jpg:1248-1869,0.013,-162.897,2.566
21,GLXO-Head.jpg:1743-2781,0.070,-81.603,13.351
22,GLXO-Head.jpg:1304-2790,0.044,6.328,8.416
23,GLXO-Head.jpg:2157-3440,0.015,-85.823,2.806
24,GLXO-Head.jpg:2256-2324,0.014,-82.204,2.666
25,GWYL-Head.jpg:1472-2714,0.088,-3.921,16.784
26,GWYL-Head.jpg:1545-2904,0.047,-96.474,8.925
27,GWYL-Head.jpg:2003-2072,0.015,171.870,2.779
28,GWYL-Head.jpg:0879-2192,0.014,176.614,2.662
29,HDZC-Head.jpg:1793-2675,0.137,-22.114,26.187
30,HDZC-Head.jpg:1884-2562,0.066,-110.707,12.540
31,HDZC-Head.jpg:2177-1308,0.017,162.678,3.327
32,HDZC-Head.jpg:0881-1817,0.017,155.086,3.173
33,HNUV-Head.jpg:1643-2943,0.075,-85.577,14.272
34,HNUV-Head.jpg:1824-2897,0.042,2.959,7.919
35,HNUV-Head.jpg:1193-2409,0.013,95.894,2.450
36,HNUV-Head.jpg:1163-3371,0.012,90.379,2.374
37,ILNB-Head.jpg:1422-2576,0.150,-24.264,28.543
38,ILNB-Head.jpg:1442-2598,0.070,-113.894,13.431
39,ILNB-Head.jpg:1221-4100,0.018,-27.883,3.362
40,ILNB-Head.jpg:2582-3461,0.018,-18.773,3.371
41,JDYH-Head.jpg:1554-2709,0.103,-23.378,19.733
42,JDYH-Head.jpg:1692-2810,0.054,-115.065,10.206
43,JDYH-Head.jpg:1844-1772,0.016,149.765,2.966
44,JDYH-Head.jpg:0767-2265,0.014,155.802,2.724
45,JUCL-Head.jpg:1899-2718,0.103,151.185,19.704
46,JUCL-Head.jpg:1635-2546,0.056,-123.946,10.728
47,JUCL-Head.jpg:1613-3666,0.014,-31.366,2.688
48,JUCL-Head.jpg:2690-2922,0.014,-32.144,2.748
49,JUJH-Head.jpg:2195-2558,0.118,-0.842,22.471
50,JUJH-Head.jpg:2040-2580,0.059,-87.289,11.302
51,JUJH-Head.jpg:2780-1692,0.016,-175.486,2.997
52,JUJH-Head.jpg:1530-1634,0.016,180.000,2.972
53,JXVQ-Head.jpg:1695-2556,0.128,-24.127,24.464
