 ,Label,Area,Angle,Length
1,CVQJ-Head.jpg:1736-2499,0.058,-79.855,11.034
2,CVQJ-Head.jpg:1380-2466,0.038,8.858,7.329
3,CVQJ-Head.jpg:1932-3044,0.012,-85.57,2.232
4,CVQJ-Head.jpg:2072-2109,0.012,-85.943,2.216
5,DOCI-Head.jpg:1778-2355,0.1,-0.611,19.123
6,DOCI-Head.jpg:1677-2250,0.055,-94.412,10.595
7,DOCI-Head.jpg:1128-3138,0.014,-8.696,2.696
8,DOCI-Head.jpg:2319-3042,0.014,0,2.665
9,DYFV-Head.jpg:1755-2502,0.134,-26.377,25.683
10,DYFV-Head.jpg:1895-2492,0.066,61.873,12.601
11,DYFV-Head.jpg:2018-1095,0.018,153.674,3.358
12,DYFV-Head.jpg:0783-1784,0.017,152.592,3.337
13,ECJN-Head.jpg:1647-2610,0.129,-9.738,24.649
14,ECJN-Head.jpg:1665-2562,0.063,-99.974,12.127
15,ECJN-Head.jpg:1184-3723,0.017,-10.585,3.157
16,ECJN-Head.jpg:2484-3476,0.016,-7.595,3.083
17,EWKB-Head.jpg:1622-2909,0.098,13.631,18.821
18,EWKB-Head.jpg:1638-3003,0.053,-78.341,10.082
19,EWKB-Head.jpg:2402-2097,0.013,-176.163,2.576
20,EWKB-Head.jpg:1248-1878,0.013,-164.438,2.571
21,GLXO-Head.jpg:1743-2786,0.07,-82.356,13.316
22,GLXO-Head.jpg:1325-2787,0.045,6.839,8.556
23,GLXO-Head.jpg:2150-3435,0.014,-86.077,2.749
24,GLXO-Head.jpg:2255-2334,0.014,-81.724,2.613
25,GWYL-Head.jpg:1461-2715,0.087,-4.316,16.661
26,GWYL-Head.jpg:1542-2904,0.047,-96.474,8.897
27,GWYL-Head.jpg:1997-2070,0.015,170.121,2.832
28,GWYL-Head.jpg:0875-2195,0.014,174.928,2.659
29,HDZC-Head.jpg:1781-2679,0.136,-21.693,26.078
30,HDZC-Head.jpg:1890-2597,0.065,-109.324,12.457
31,HDZC-Head.jpg:2181-1307,0.017,163.016,3.327
32,HDZC-Head.jpg:0872-1830,0.017,153.435,3.259
33,HNUV-Head.jpg:1643-2945,0.074,-84.885,14.241
34,HNUV-Head.jpg:1827-2897,0.041,2.732,7.893
35,HNUV-Head.jpg:1197-2403,0.012,97.595,2.372
36,HNUV-Head.jpg:1160-3366,0.012,91.517,2.368
37,ILNB-Head.jpg:1413-2577,0.149,-23.86,28.518
38,ILNB-Head.jpg:1430-2576,0.07,-114.377,13.405
39,ILNB-Head.jpg:1218-4100,0.018,-26.92,3.393
40,ILNB-Head.jpg:2579-3468,0.018,-19.017,3.415
41,JDYH-Head.jpg:1548-2712,0.103,-22.887,19.667
42,JDYH-Head.jpg:1697-2826,0.053,-114.627,10.156
43,JDYH-Head.jpg:1845-1772,0.016,148.471,2.997
44,JDYH-Head.jpg:0771-2274,0.015,154.29,2.818
45,JUCL-Head.jpg:1788-2754,0.104,146.661,19.849
46,JUCL-Head.jpg:1626-2523,0.055,-123.784,10.598
47,JUCL-Head.jpg:1616-3648,0.015,-30.025,2.788
48,JUCL-Head.jpg:2688-2919,0.014,-32.775,2.722
49,JUJH-Head.jpg:2195-2555,0.117,-1.002,22.401
50,JUJH-Head.jpg:2039-2583,0.059,-86.975,11.285
51,JUJH-Head.jpg:2772-1695,0.016,-175.786,2.986
52,JUJH-Head.jpg:1527-1631,0.015,180,2.931
53,JXVQ-Head.jpg:1694-2555,0.127,-23.547,24.364
54,JXVQ-Head.jpg:1670-2490,0.062,-112.989,11.799
55,JXVQ-Head.jpg:1890-1286,0.015,152.736,2.874
56,JXVQ-Head.jpg:0717-1779,0.015,159.007,2.888
57,LAZJ-Head.jpg:1733-2852,0.12,-18.212,22.919
58,LAZJ-Head.jpg:1823-2841,0.06,-110.474,11.561
59,LAZJ-Head.jpg:2112-1740,0.016,159.305,3.016
60,LAZJ-Head.jpg:0881-2220,0.016,159.584,3.01
61,LLJC-Head.jpg:1481-2565,0.14,177.355,26.831
62,LLJC-Head.jpg:1512-2360,0.069,-93.202,13.186
63,LLJC-Head.jpg:2091-0987,0.017,172.405,3.321
64,LLJC-Head.jpg:0663-1115,0.016,175.976,3.127
65,LRSS-Head.jpg:1644-2657,0.114,-12.011,21.841
66,LRSS-Head.jpg:1554-2628,0.059,-106.228,11.329
67,LRSS-Head.jpg:2403-3357,0.014,-8.797,2.665
68,LRSS-Head.jpg:1145-3726,0.014,-15.992,2.674
69,LUXM-Head.jpg:1716-2445,0.067,-108.435,12.788
70,LUXM-Head.jpg:2091-2285,0.043,-16.543,8.257
71,LUXM-Head.jpg:1241-2003,0.015,72.92,2.935
72,LUXM-Head.jpg:1613-3038,0.014,71.779,2.657
73,MJSX-Head.jpg:1730-2799,0.068,103.319,13.063
74,MJSX-Head.jpg:2061-2769,0.042,9.866,8.05
75,MJSX-Head.jpg:1478-2264,0.013,101.602,2.416
76,MJSX-Head.jpg:1322-3191,0.011,97.896,2.168
77,MUVY-Head.jpg:1916-2576,0.135,-17.008,25.881
78,MUVY-Head.jpg:1908-2505,0.066,-106.398,12.548
79,MUVY-Head.jpg:2318-1286,0.016,170.297,3.069
80,MUVY-Head.jpg:0977-1692,0.016,155.532,3.065
81,NRDG-Head.jpg:1775-2883,0.081,-81.403,15.519
82,NRDG-Head.jpg:1986-3033,0.046,14.879,8.79
83,NRDG-Head.jpg:1326-2396,0.014,105.043,2.597
84,NRDG-Head.jpg:1097-3411,0.013,104.121,2.57
85,ONAU-Head.jpg:1760-2682,0.059,-19.163,11.316
86,ONAU-Head.jpg:1898-2975,0.037,-110.928,7.065
87,ONAU-Head.jpg:2157-2217,0.013,156.114,2.4
88,ONAU-Head.jpg:1236-2571,0.012,158.791,2.253
89,PIKP-Head.jpg:1608-2549,0.134,-24.034,25.553
90,PIKP-Head.jpg:1679-2628,0.067,-112.69,12.758
91,PIKP-Head.jpg:1469-3981,0.015,-23.559,2.941
92,PIKP-Head.jpg:2732-3452,0.016,-22.286,3.1
93,PTRO-Head.jpg:1731-2634,0.061,1.225,11.727
94,PTRO-Head.jpg:1727-3047,0.038,-89.387,7.32
95,PTRO-Head.jpg:2229-2409,0.013,177.207,2.574
96,PTRO-Head.jpg:1229-2400,0.013,-176.698,2.449
97,PZMO-Head.jpg:1706-2795,0.074,-67.017,14.25
98,PZMO-Head.jpg:1508-2679,0.042,24.846,7.945
99,PZMO-Head.jpg:2001-3431,0.012,-68.99,2.317
100,PZMO-Head.jpg:2402-2537,0.012,-61.239,2.378
101,QDVU-Head.jpg:1766-2508,0.063,-23.502,12.067
102,QDVU-Head.jpg:1937-2789,0.042,-116.011,7.97
103,QDVU-Head.jpg:2130-1989,0.012,153.094,2.355
104,QDVU-Head.jpg:1208-2427,0.012,152.712,2.222
105,QRKY-Head.jpg:1692-2333,0.062,-16.385,11.779
106,QRKY-Head.jpg:1821-2691,0.04,-106.429,7.648
107,QRKY-Head.jpg:2103-1884,0.014,163.101,2.588
108,QRKY-Head.jpg:1158-2180,0.013,162.793,2.543
109,QSRM-Head.jpg:1931-2622,0.119,-13.807,22.79
110,QSRM-Head.jpg:1974-2600,0.059,-103.3,11.242
111,QSRM-Head.jpg:2300-1509,0.014,166.441,2.741
112,QSRM-Head.jpg:1121-1811,0.015,165.42,2.802
113,RDRL-Head.jpg:1121-1811,0.015,165.42,17.446
114,RDRL-Head.jpg:1979-2379,0.091,-2.523,9.366
115,RDRL-Head.jpg:1989-2504,0.049,-94.127,2.802
116,RDRL-Head.jpg:1371-1746,0.014,177.979,2.666
117,SEVZ-Head.jpg:1640-2625,0.072,-23.276,13.684
118,SEVZ-Head.jpg:1809-2966,0.046,-111.481,8.86
119,SEVZ-Head.jpg:2087-2066,0.015,154.683,2.896
120,SEVZ-Head.jpg:1013-2504,0.014,157.405,2.733
121,SMVB-Head.jpg:1761-2396,0.094,12.931,17.931
122,SMVB-Head.jpg:1770-2246,0.05,-77.154,9.517
123,SMVB-Head.jpg:1206-2955,0.015,10.192,2.835
124,SMVB-Head.jpg:2321-3146,0.013,10.211,2.564
125,SMXT-Head.jpg:1592-2354,0.063,1.704,12.121
126,SMXT-Head.jpg:1581-2696,0.041,-88.282,7.84
127,SMXT-Head.jpg:2067-1902,0.012,173.746,2.302
128,SMXT-Head.jpg:1100-1901,0.012,-173.22,2.257
