 ,Label,Length
1,NACP-3rd leg-left.jpg:2118-2897,17.898
2,NACP-3rd leg-left.jpg:1643-2768,19.361
3,NACP-3rd leg-right.jpg:1668-3461,18.449
4,NACP-3rd leg-right.jpg:2181-2975,19.476
5,NAPZ-3rd leg-left.jpg:0723-2279,17.142
6,NAPZ-3rd leg-left.jpg:1853-2004,19.362
7,NAPZ-3rd leg-right.jpg:1218-1899,17.875
8,NAPZ-3rd leg-right.jpg:0975-2312,18.88
9,NBFT-3rd leg-left.jpg:1206-2082,18.608
10,NBFT-3rd leg-left.jpg:1826-2103,20.477
11,NBFT-3rd leg-right.jpg:1778-1740,18.173
12,NBFT-3rd leg-right.jpg:1452-2267,20.076
13,NDWV-3rd leg-left.jpg:0677-2415,18.079
14,NDWV-3rd leg-left.jpg:1952-2087,20.384
15,NDWV-3rd leg-right.jpg:1533-1892,18.192
16,NDWV-3rd leg-right.jpg:1212-2258,20.767
17,NFQJ-3rd leg-left.jpg:1272-1970,20.487
18,NFQJ-3rd leg-left.jpg:1811-1872,22.05
19,NFQJ-3rd leg-right.jpg:1710-3155,20.585
20,NFQJ-3rd leg-right.jpg:2130-2754,21.987
21,NFZB-3rd leg-left.jpg:2427-2948,20.426
22,NFZB-3rd leg-left.jpg:1470-3147,21.258
23,NFZB-3rd leg-right.jpg:1716-3564,20.679
24,NFZB-3rd leg-right.jpg:3059-2783,21.473
25,NLMH-3rd leg-left.jpg:2327-2816,20.907
26,NLMH-3rd leg-left.jpg:1496-2931,23.3
27,NLMH-3rd leg-right.jpg:1550-3522,21.225
28,NLMH-3rd leg-right.jpg:2645-2517,23.416
29,NMCP-3rd leg-left.jpg:1445-1965,18.799
30,NMCP-3rd leg-left.jpg:2073-2012,20.421
31,NMCP-3rd leg-right.jpg:1415-1976,19.211
32,NMCP-3rd leg-right.jpg:1085-2375,20.436
33,NRDG-3rd leg-left.jpg:1076-2276,16.379
34,NRDG-3rd leg-left.jpg:1626-2220,18.078
35,NRDG-3rd leg-right.jpg:1811-2084,16.357
36,NRDG-3rd leg-right.jpg:0806-2756,18.158
37,NRVV-3rd leg-left.jpg:1311-1979,16.705
38,NRVV-3rd leg-left.jpg:2177-1989,18.389
39,NRVV-3rd leg-right.jpg:1598-1931,16.944
40,NRVV-3rd leg-right.jpg:0986-2502,18.582
41,NSFR-3rd leg-left.jpg:1131-2174,18.096
42,NSFR-3rd leg-left.jpg:1791-2105,19.703
43,NSFR-3rd leg-right.jpg:1550-1914,18.46
44,NSFR-3rd leg-right.jpg:1224-2255,19.648
45,NUDB-3rd leg-left.jpg:0818-2309,21.421
46,NUDB-3rd leg-left.jpg:1872-2232,24.028
47,NUDB-3rd leg-right.jpg:1520-2030,21.929
48,NUDB-3rd leg-right.jpg:1179-2573,24.203
49,NVHP-3rd leg-left.jpg:0704-2309,16.895
50,NVHP-3rd leg-left.jpg:1982-1950,18.86
51,NVHP-3rd leg-right.jpg:1884-1601,16.625
52,NVHP-3rd leg-right.jpg:1127-2208,18.703
53,OCGB-3rd leg-left.jpg:1556-2205,19.66
54,OCGB-3rd leg-left.jpg:1901-2333,21.037
55,OCGB-3rd leg-right.jpg:1740-2103,19.011
56,OCGB-3rd leg-right.jpg:1443-2438,20.75
57,ODLJ-3rd leg-left.jpg:1575-2055,17.636
58,ODLJ-3rd leg-left.jpg:2046-2018,18.485
59,ODLJ-3rd leg-right.jpg:1904-2324,17.206
60,ODLJ-3rd leg-right.jpg:1079-2672,19.233
61,OHRS-3rd leg-left.jpg:2465-3060,21.163
62,OHRS-3rd leg-left.jpg:1560-3341,22.408
63,OHRS-3rd leg-right.jpg:1338-1907,21.03
64,OHRS-3rd leg-right.jpg:1061-2324,22.354
65,OHZZ-3rd leg-left.jpg:2240-2943,17.46
66,OHZZ-3rd leg-left.jpg:1223-2861,18.515
67,OHZZ-3rd leg-right.jpg:1470-3359,NA
68,OHZZ-3rd leg-right.jpg:2303-2828,17.95
69,OLFY-3rd leg-left.jpg:0746-2358,19.339
70,OLFY-3rd leg-left.jpg:1994-2142,21.064
71,OLFY-3rd leg-right.jpg:2252-2474,20.967
72,OLFY-3rd leg-right.jpg:1953-2948,19.702
73,ONAU-3rd leg-left.jpg:1313-2162,19.174
74,ONAU-3rd leg-left.jpg:1962-2138,20.636
75,ONAU-3rd leg-right.jpg:1532-2340,19.128
76,ONAU-3rd leg-right.jpg:1152-2723,20.506
77,OQDA-3rd leg-left.jpg:2178-3239,18.048
78,OQDA-3rd leg-left.jpg:1241-3375,19.271
79,OQDA-3rd leg-right.jpg:1509-3261,18.526
80,OQDA-3rd leg-right.jpg:1961-3032,19.213
81,OTIL-3rd leg-left.jpg:2307-2915,21.825
82,OTIL-3rd leg-left.jpg:1596-3138,23.653
83,OTIL-3rd leg-right.jpg:1713-3269,21.689
84,OTIL-3rd leg-right.jpg:2090-2753,22.962
85,OVOZ-3rd leg-left.jpg:2679-2891,18.286
86,OVOZ-3rd leg-left.jpg:1821-3006,20.063
87,OVOZ-3rd leg-right.jpg:2028-1962,18.328
88,OVOZ-3rd leg-right.jpg:1550-2172,NA
89,OWAU-3rd leg-left.jpg:2358-3191,19.32
90,OWAU-3rd leg-left.jpg:1799-3138,20.766
91,OWAU-3rd leg-right.jpg:1659-3276,18.868
92,OWAU-3rd leg-right.jpg:2130-2889,20.608
93,OZHE-3rd leg-left.jpg:1892-3353,18.298
94,OZHE-3rd leg-left.jpg:0990-3141,19.433
95,OZHE-3rd leg-right.jpg:1851-1292,18.13
96,OZHE-3rd leg-right.jpg:1268-1881,19.132
97,PAQJ-3rd leg-left.jpg:2150-2949,16.563
98,PAQJ-3rd leg-left.jpg:1617-2948,18.506
99,PAQJ-3rd leg-right.jpg:1314-2054,16.734
100,PAQJ-3rd leg-right.jpg:1028-2417,18.275
101,PBXK-3rd leg-left.jpg:1452-2414,16.629
102,PBXK-3rd leg-left.jpg:1982-2334,17.707
103,PBXK-3rd leg-right.jpg:1169-2430,16.483
104,PBXK-3rd leg-right.jpg:1040-2793,17.808
105,PFPR-3rd leg-left.jpg:1526-1803,15.93
106,PFPR-3rd leg-left.jpg:2463-1799,16.869
107,PFPR-3rd leg-right.jpg:2214-1587,15.707
108,PFPR-3rd leg-right.jpg:1299-2234,16.867
109,PIKP-3rd leg-left.jpg:2372-3135,18.928
110,PIKP-3rd leg-left.jpg:1469-2877,21.948
111,PIKP-3rd leg-right.jpg:1640-1871,19.396
112,PIKP-3rd leg-right.jpg:0924-2520,21.577
113,PMTK-3rd leg-left.jpg:1280-2873,15.139
114,PMTK-3rd leg-left.jpg:1881-2466,17.452
115,PMTK-3rd leg-right.jpg:1659-2000,15.357
116,PMTK-3rd leg-right.jpg:1221-3036,17.019
117,PQXQ-3rd leg-left.jpg:1436-2025,19.59
118,PQXQ-3rd leg-left.jpg:2028-2027,21.305
119,PQXQ-3rd leg-right.jpg:1584-3287,20.292
120,PQXQ-3rd leg-right.jpg:1935-2819,21.827
121,PTRO-3rd leg-left.jpg:1233-2163,19.054
122,PTRO-3rd leg-left.jpg:1944-2045,19.735
123,PTRO-3rd leg-right.jpg:1733-3057,18.844
124,PTRO-3rd leg-right.jpg:2165-2673,19.821
125,PVUO-3rd leg-left.jpg:2531-3345,19.01
126,PVUO-3rd leg-left.jpg:1928-3308,20.435
127,PVUO-3rd leg-right.jpg:1967-3366,18.802
128,PVUO-3rd leg-right.jpg:2408-2936,19.678
129,PVXU-3rd leg-left.jpg:1065-2427,20.837
130,PVXU-3rd leg-left.jpg:2022-2105,22.164
131,PVXU-3rd leg-right.jpg:1743-1911,20.886
132,PVXU-3rd leg-right.jpg:0533-2438,22.236
133,PWML-3rd leg-left.jpg:1322-1613,14.747
134,PWML-3rd leg-left.jpg:1722-1587,16.599
135,PWML-3rd leg-right.jpg:2088-3276,14.912
136,PWML-3rd leg-right.jpg:2280-2927,16.492
137,PXBQ-3rd leg-left.jpg:1281-2027,16.746
138,PXBQ-3rd leg-left.jpg:1934-1793,18.828
139,PXBQ-3rd leg-right.jpg:1727-1956,16.761
140,PXBQ-3rd leg-right.jpg:1091-2438,19.322
141,PXBW-3rd leg-left.jpg:1305-1983,17.294
142,PXBW-3rd leg-left.jpg:1764-1958,17.879
143,PXBW-3rd leg-right.jpg:1745-1737,17.434
144,PXBW-3rd leg-right.jpg:0875-2112,17.832
145,PZFT-3rd leg-left.jpg:1236-1844,19.642
146,PZFT-3rd leg-left.jpg:1772-1890,21.232
147,PZFT-3rd leg-right.jpg:1971-3402,19.484
148,PZFT-3rd leg-right.jpg:2078-3000,20.738
149,PZMO-3rd leg-left.jpg:2597-2751,15.954
150,PZMO-3rd leg-left.jpg:1496-2843,16.965
151,PZMO-3rd leg-right.jpg:2030-1856,15.211
152,PZMO-3rd leg-right.jpg:1218-2871,16.379
153,PZWX-3rd leg-left.jpg:0779-2321,17.571
154,PZWX-3rd leg-left.jpg:1763-1970,18.643
155,PZWX-3rd leg-right.jpg:1461-1859,18.381
156,PZWX-3rd leg-right.jpg:1119-2105,18.625
157,QDVU-3rd leg-left.jpg:2400-3149,19.598
158,QDVU-3rd leg-left.jpg:1857-3137,22.067
159,QDVU-3rd leg-right.jpg:1778-3449,19.364
160,QDVU-3rd leg-right.jpg:2195-2978,21.122
161,QDXY-3rd leg-left.jpg:2514-3224,19.864
162,QDXY-3rd leg-left.jpg:1796-3213,21.536
163,QDXY-3rd leg-right.jpg:1553-3483,19.554
164,QDXY-3rd leg-right.jpg:2381-2808,20.908
165,QIIV-3rd leg-left.jpg:0995-1841,15.208
166,QIIV-3rd leg-left.jpg:1650-1872,17.043
167,QIIV-3rd leg-right.jpg:1500-2198,15.863
168,QIIV-3rd leg-right.jpg:1380-2541,17.002
169,QMKN-3rd leg-left.jpg:0906-2558,21.064
170,QMKN-3rd leg-left.jpg:1761-2358,23.016
171,QMKN-3rd leg-right.jpg:1710-3174,21.269
172,QMKN-3rd leg-right.jpg:2042-2699,22.665
173,QOGZ-3rd leg-left.jpg:0884-2039,19.403
174,QOGZ-3rd leg-left.jpg:1670-1892,20.531
175,QOGZ-3rd leg-right.jpg:1721-3347,19.271
176,QOGZ-3rd leg-right.jpg:2321-2823,19.878
177,QQJU-3rd leg-left.jpg:1341-3438,17.441
178,QQJU-3rd leg-left.jpg:1730-3237,19.508
179,QQJU-3rd leg-right.jpg:1365-3008,17.537
180,QQJU-3rd leg-right.jpg:1950-3093,19.332
181,QRKY-3rd leg-left.jpg:1127-2456,20.069
182,QRKY-3rd leg-left.jpg:1850-2120,20.558
183,QRKY-3rd leg-right.jpg:1572-1815,20.607
184,QRKY-3rd leg-right.jpg:1115-2150,20.448
185,QSRM-3rd leg-left.jpg:1286-2643,17.514
186,QSRM-3rd leg-left.jpg:1797-2273,20.258
187,QSRM-3rd leg-right.jpg:1940-2402,18.071
188,QSRM-3rd leg-right.jpg:1463-2025,20.408
189,QXSG-3rd leg-left.jpg:1100-2450,21.018
190,QXSG-3rd leg-left.jpg:1775-2406,23.534
191,QXSG-3rd leg-right.jpg:1436-1832,21.332
192,QXSG-3rd leg-right.jpg:1085-2406,23.482
193,QYFB-3rd leg-left.jpg:1215-2175,17.792
194,QYFB-3rd leg-left.jpg:1769-2108,18.768
195,QYFB-3rd leg-right.jpg:1665-1730,18.045
196,QYFB-3rd leg-right.jpg:0977-2138,18.634
197,QZHA-3rd leg-left.jpg:2166-3240,17.047
198,QZHA-3rd leg-left.jpg:1803-3392,17.694
199,QZHA-3rd leg-right.jpg:1689-1832,16.576
200,QZHA-3rd leg-right.jpg:1545-2139,17.659
201,RBAX-3rd leg-left.jpg:1284-1977,17.605
202,RBAX-3rd leg-left.jpg:1973-2183,20.688
203,RBAX-3rd leg-right.jpg:1368-1943,17.452
204,RBAX-3rd leg-right.jpg:1263-2331,21.248
205,RBFY-3rd leg-left.jpg:1158-2105,20.895
206,RBFY-3rd leg-left.jpg:1823-2061,22.576
207,RBFY-3rd leg-right.jpg:1635-3461,20.541
208,RBFY-3rd leg-right.jpg:2108-2909,22.066
209,RCMK-3rd leg-left.jpg:1589-2375,16.768
210,RCMK-3rd leg-left.jpg:2144-2117,17.673
211,RCMK-3rd leg-right.jpg:1769-2811,16.684
212,RCMK-3rd leg-right.jpg:2547-2583,17.477
213,RDRL-3rd leg-left.jpg:1326-2015,17.387
214,RDRL-3rd leg-left.jpg:1884-1859,17.451
215,RDRL-3rd leg-right.jpg:1235-1758,17.462
216,RDRL-3rd leg-right.jpg:0887-2039,17.396
217,RIJE-3rd leg-left.jpg:1271-2033,18.091
218,RIJE-3rd leg-left.jpg:1982-2093,19.755
219,RIJE-3rd leg-right.jpg:1973-1812,18.987
220,RIJE-3rd leg-right.jpg:1542-2121,19.536
221,RIWP-3rd leg-left.jpg:1451-3287,18.823
222,RIWP-3rd leg-left.jpg:1232-2880,20.797
223,RIWP-3rd leg-right.jpg:1451-2099,18.326
224,RIWP-3rd leg-right.jpg:1152-2463,20.202
225,RJGO-3rd leg-left.jpg:1061-2280,19.779
226,RJGO-3rd leg-left.jpg:1662-2318,21.691
227,RJGO-3rd leg-right.jpg:1545-3180,19.542
228,RJGO-3rd leg-right.jpg:1908-2804,21.725
229,RJVU-3rd leg-left.jpg:1485-1794,19.357
230,RJVU-3rd leg-left.jpg:2189-1865,20.674
231,RJVU-3rd leg-right.jpg:1983-3264,19.385
232,RJVU-3rd leg-right.jpg:2312-2859,20.421
233,RMQE-3rd leg-left.jpg:1464-2147,20.838
234,RMQE-3rd leg-left.jpg:1992-2117,21.79
235,RMQE-3rd leg-right.jpg:1808-3252,20.011
236,RMQE-3rd leg-right.jpg:2804-2700,20.861
237,RNCJ-3rd leg-left.jpg:2664-2714,19.407
238,RNCJ-3rd leg-left.jpg:1815-2799,20.176
239,RNCJ-3rd leg-right.jpg:2357-2153,19.006
240,RNCJ-3rd leg-right.jpg:1799-2216,19.991
241,RNFD-3rd leg-left.jpg:2724-2810,22.105
242,RNFD-3rd leg-left.jpg:1622-2844,23.704
243,RNFD-3rd leg-right.jpg:0818-2354,22.383
244,RNFD-3rd leg-right.jpg:1755-2510,23.976
245,RPNA-3rd leg-left.jpg:1149-2252,16.556
246,RPNA-3rd leg-left.jpg:2004-2102,18.058
247,RPNA-3rd leg-right.jpg:1697-1650,16.836
248,RPNA-3rd leg-right.jpg:1020-2141,18.292
249,RQME-3rd leg-left.jpg:0861-2268,17.684
250,RQME-3rd leg-left.jpg:1683-2217,19.635
251,RQME-3rd leg-right.jpg:1395-1673,18.157
252,RQME-3rd leg-right.jpg:1086-2037,19.572
253,RSFE-3rd leg-left.jpg:1025-2238,21.503
254,RSFE-3rd leg-left.jpg:1908-2022,22.407
255,RSFE-3rd leg-right.jpg:1757-1592,20.496
256,RSFE-3rd leg-right.jpg:1038-2297,21.941
257,RTXD-3rd leg-left.jpg:2142-3135,18.441
258,RTXD-3rd leg-left.jpg:1571-2675,20.313
259,RTXD-3rd leg-right.jpg:1763-1830,18.729
260,RTXD-3rd leg-right.jpg:1371-2192,20.278
261,RWGW-3rd leg-left.jpg:1143-2126,16.277
262,RWGW-3rd leg-left.jpg:1575-2147,17.494
263,RWGW-3rd leg-right.jpg:2211-3167,16.095
264,RWGW-3rd leg-right.jpg:2423-2820,17.377
265,SBJV-3rd leg-left.jpg:0867-1949,18.863
266,SBJV-3rd leg-left.jpg:1503-1874,20.608
267,SBJV-3rd leg-right.jpg:1257-2181,19.496
268,SBJV-3rd leg-right.jpg:1746-2103,20.848
269,SBJVC-3rd leg-left.jpg:2219-3171,19.42
270,SBJVC-3rd leg-left.jpg:1641-3167,21.221
271,SBJVC-3rd leg-right.jpg:1671-2138,18.94
272,SBJVC-3rd leg-right.jpg:1359-2630,21.277
273,SCBI-3rd leg-left.jpg:0795-2234,19.649
274,SCBI-3rd leg-left.jpg:1862-2064,22.131
275,SCBI-3rd leg-right.jpg:1505-1800,19.463
276,SCBI-3rd leg-right.jpg:1236-2292,21.946
277,SCXD-3rd leg-left.jpg:0699-2037,17.261
278,SCXD-3rd leg-left.jpg:1824-1560,18.091
279,SCXD-3rd leg-right.jpg:2174-2103,17.69
280,SCXD-3rd leg-right.jpg:1893-2355,18.426
281,SDBA-3rd leg-left.jpg:1163-2109,18.536
282,SDBA-3rd leg-left.jpg:1605-2094,19.846
283,SDBA-3rd leg-right.jpg:1599-1856,18.587
284,SDBA-3rd leg-right.jpg:0930-2163,19.431
285,SDVC-3rd leg-left.jpg:0903-2537,19.62
286,SDVC-3rd leg-left.jpg:1938-2283,21.594
287,SDVC-3rd leg-right.jpg:1652-1791,19.979
288,SDVC-3rd leg-right.jpg:0924-2559,21.704
289,SEVZ-3rd leg-left.jpg:0786-2399,21.585
290,SEVZ-3rd leg-left.jpg:1946-2241,24.393
291,SEVZ-3rd leg-right.jpg:1743-1965,21.436
292,SEVZ-3rd leg-right.jpg:0767-2607,24.646
293,SFBL-3rd leg-left.jpg:0977-2310,20.864
294,SFBL-3rd leg-left.jpg:1643-2328,23.204
295,SFBL-3rd leg-right.jpg:1551-1872,20.938
296,SFBL-3rd leg-right.jpg:1335-2381,22.783
297,SGBK-3rd leg-left.jpg:1320-1932,19.243
298,SGBK-3rd leg-left.jpg:1844-1983,20.535
299,SGBK-3rd leg-right.jpg:1230-1857,19.202
300,SGBK-3rd leg-right.jpg:0857-2339,20.514
301,SMVB-3rd leg-left.jpg:0942-2244,15.811
302,SMVB-3rd leg-left.jpg:1802-1970,16.378
303,SMVB-3rd leg-right.jpg:1533-1625,15.239
304,SMVB-3rd leg-right.jpg:0824-2177,16.248
305,SMXT-3rd leg-left.jpg:1128-2259,15.566
306,SMXT-3rd leg-left.jpg:1746-2088,16.372
307,SMXT-3rd leg-right.jpg:1491-1787,15.3
308,SMXT-3rd leg-right.jpg:1179-1949,15.818
309,SNCY-3rd leg-left.jpg:0732-2150,21.163
310,SNCY-3rd leg-left.jpg:1931-1802,23.086
311,SNCY-3rd leg-right.jpg:1856-1866,21.374
312,SNCY-3rd leg-right.jpg:0636-2585,23.36
313,SNDZ-3rd leg-left.jpg:0971-2252,18.617
314,SNDZ-3rd leg-left.jpg:1692-2294,21.502
315,SNDZ-3rd leg-right.jpg:1860-1982,18.658
316,SNDZ-3rd leg-right.jpg:1283-2637,21.215
317,SQCA-3rd leg-left.jpg:1362-1965,19.977
318,SQCA-3rd leg-left.jpg:1953-2060,21.431
319,SQCA-3rd leg-right.jpg:1532-1905,19.682
320,SQCA-3rd leg-right.jpg:1190-2379,21.814
321,SSQG-3rd leg-left.jpg:0966-2286,19.884
322,SSQG-3rd leg-left.jpg:1746-2267,21.978
323,SSQG-3rd leg-right.jpg:1751-1883,19.725
324,SSQG-3rd leg-right.jpg:1419-2304,21.444
325,SVLP-3rd leg-left.jpg:2648-2871,18.028
326,SVLP-3rd leg-left.jpg:1799-3150,20.443
327,SVLP-3rd leg-right.jpg:1857-1682,18.099
328,SVLP-3rd leg-right.jpg:1017-2252,20.42
329,SXDN-3rd leg-left.jpg:1322-2022,19.564
330,SXDN-3rd leg-left.jpg:1910-2063,20.886
331,SXDN-3rd leg-right.jpg:1616-3459,19.666
332,SXDN-3rd leg-right.jpg:2129-2907,21.393
333,SYKW-3rd leg-left.jpg:0662-2519,19.842
334,SYKW-3rd leg-left.jpg:2165-2357,22.464
