 ,Label,Area,Angle,Length
1,CVQJ-3rd leg-left.jpg:1425-2081,0.099,-28.201,18.965
2,CVQJ-3rd leg-left.jpg:1884-2076,0.106,-30.857,20.294
3,CVQJ-3rd leg-right.jpg:1616-1892,0.097,-34.916,18.542
4,CVQJ-3rd leg-right.jpg:0815-2097,0.084,-10.259,15.979
5,DOCI-3rd leg-left.jpg:1080-1731,0.092,-33.491,17.609
6,DOCI-3rd leg-left.jpg:1643-1802,0.110,-36.157,20.973
7,DOCI-3rd leg-right.jpg:2480-1800,0.097,21.720,18.482
8,DOCI-3rd leg-right.jpg:1682-1758,0.112,37.072,21.362
9,DYFV-3rd leg-left.jpg:1005-2352,0.107,-18.212,20.426
10,DYFV-3rd leg-left.jpg:1677-2402,0.118,-27.833,22.563
11,DYFV-3rd leg-right.jpg:1809-1760,0.108,-39.015,20.580
12,DYFV-3rd leg-right.jpg:1338-2349,0.119,-21.152,22.659
13,ECJN-3rd leg-left.jpg:1220-2097,0.104,-31.408,19.823
14,ECJN-3rd leg-left.jpg:1766-2024,0.110,-35.220,21.075
15,ECJN-3rd leg-right.jpg:1805-3008,0.102,-38.840,19.480
16,ECJN-3rd leg-right.jpg:2315-2426,0.112,-18.835,21.381
17,EWKB-3rd leg-left.jpg:1119-2459,0.090,-21.704,17.177
18,EWKB-3rd leg-left.jpg:2024-2018,0.094,-47.197,17.980
19,EWKB-3rd leg-right.jpg:1376-1920,0.090,-12.809,17.092
20,EWKB-3rd leg-right.jpg:1017-2126,0.095,-1.097,18.069
21,GLXO-3rd leg-left.jpg:2054-2855,0.117,3.933,22.238
22,GLXO-3rd leg-left.jpg:1538-2585,0.124,2.012,23.741
23,GLXO-3rd leg-right.jpg:1745-3159,0.118,-30.695,22.454
24,GLXO-3rd leg-right.jpg:2235-2427,0.124,-26.633,23.570
25,GWYL-3rd leg-left.jpg:1883-3087,0.086,-1.159,16.324
26,GWYL-3rd leg-left.jpg:1004-3027,0.095,-17.883,18.074
27,GWYL-3rd leg-right.jpg:2094-1935,0.087,-29.934,16.511
28,GWYL-3rd leg-right.jpg:1193-2282,0.096,3.586,18.353
29,HDZC-3rd leg-left.jpg:1187-2255,0.098,-17.615,18.757
30,HDZC-3rd leg-left.jpg:1962-2393,0.113,-25.166,21.594
31,HDZC-3rd leg-right.jpg:1455-1721,0.102,-30.240,19.419
32,HDZC-3rd leg-right.jpg:1109-2249,0.115,-18.227,21.967
33,HNUV-3rd leg-left.jpg:0824-1925,0.081,-21.682,15.448
34,HNUV-3rd leg-left.jpg:1502-1742,0.087,-37.400,16.645
35,HNUV-3rd leg-right.jpg:1704-2036,0.083,-23.548,15.899
36,HNUV-3rd leg-right.jpg:1307-2319,0.087,-10.513,16.631
37,ILNB-3rd leg-left.jpg:0899-2312,0.114,-14.929,21.789
38,ILNB-3rd leg-left.jpg:1797-2234,0.121,-29.157,23.172
39,ILNB-3rd leg-right.jpg:1706-2159,0.118,-34.213,22.455
40,ILNB-3rd leg-right.jpg:1344-2555,0.121,-22.425,23.082
41,JDYH-3rd leg-left.jpg:1260-2078,0.093,-34.170,17.693
