 ,Label,Area,Angle,Length
1,CVQJ-3rd leg-left.jpg:1556-2040,0.099,-23.734,18.790
2,CVQJ-3rd leg-left.jpg:1883-2078,0.106,-30.964,20.262
3,DOCI-3rd leg-left.jpg:1134-1676,0.094,-27.219,17.876
4,DOCI-3rd leg-left.jpg:1641-1797,0.110,-36.097,20.977
5,DOCI-3rd leg-right.jpg:2529-1827,0.096,23.803,18.388
6,DOCI-3rd leg-right.jpg:1688-1760,0.112,36.811,21.387
7,CVQJ-3rd leg-right.jpg:1608-1935,0.095,-35.641,18.186
8,CVQJ-3rd leg-right.jpg:0815-2096,0.084,-10.290,15.932
9,DYFV-3rd leg-left.jpg:0969-2384,0.106,-19.968,20.259
10,DYFV-3rd leg-left.jpg:1667-2408,0.118,-27.514,22.497
11,DYFV-3rd leg-right.jpg:1809-1764,0.108,-39.111,20.588
12,DYFV-3rd leg-right.jpg:1334-2349,0.118,-20.920,22.590
13,ECJN-3rd leg-left.jpg:1229-2088,0.104,-31.754,19.748
14,ECJN-3rd leg-left.jpg:1761-2027,0.110,-35.045,21.029
15,ECJN-3rd leg-right.jpg:1692-3071,0.101,-34.545,19.299
16,ECJN-3rd leg-right.jpg:2315-2424,0.112,-18.768,21.356
17,EWKB-3rd leg-left.jpg:1133-2426,0.089,-22.583,16.910
18,EWKB-3rd leg-left.jpg:2027-2018,0.094,-47.124,18.001
19,EWKB-3rd leg-right.jpg:1514-1892,0.089,-6.775,16.926
20,EWKB-3rd leg-right.jpg:1019-2126,0.095,-1.147,18.070
21,GLXO-3rd leg-left.jpg:2151-2843,0.116,1.227,22.033
22,GLXO-3rd leg-left.jpg:1551-2580,0.125,2.348,23.793
23,GLXO-3rd leg-right.jpg:1728-3170,0.118,-30.502,22.428
24,GLXO-3rd leg-right.jpg:2232-2460,0.122,-26.911,23.275
25,GWYL-3rd leg-left.jpg:1890-3087,0.086,-1.655,16.327
26,GWYL-3rd leg-left.jpg:1008-3026,0.095,-17.790,18.115
27,GWYL-3rd leg-right.jpg:2093-1940,0.087,-29.616,16.513
28,GWYL-3rd leg-right.jpg:1197-2288,0.096,3.456,18.256
29,HDZC-3rd leg-left.jpg:1215-2247,0.098,-17.979,18.745
30,HDZC-3rd leg-left.jpg:1961-2397,0.113,-24.999,21.616
31,HDZC-3rd leg-right.jpg:1455-1719,0.102,-30.216,19.433
32,HDZC-3rd leg-right.jpg:1110-2249,0.115,-18.318,21.912
33,HNUV-3rd leg-left.jpg:0833-1917,0.081,-22.008,15.399
34,HNUV-3rd leg-left.jpg:1503-1748,0.087,-37.206,16.642
35,HNUV-3rd leg-right.jpg:1755-1979,0.080,-19.872,15.264
36,HNUV-3rd leg-right.jpg:1337-2331,0.089,-11.279,16.963
37,ILNB-3rd leg-left.jpg:0855-2340,0.113,-16.003,21.559
38,ILNB-3rd leg-left.jpg:1793-2238,0.121,-29.036,23.163
39,ILNB-3rd leg-right.jpg:1641-2103,0.113,-33.205,21.648
40,ILNB-3rd leg-right.jpg:1341-2549,0.121,-22.425,23.082
41,JDYH-3rd leg-left.jpg:1266-2069,0.093,-33.803,17.692
42,JDYH-3rd leg-left.jpg:1724-1989,0.099,-37.629,18.980
43,JDYH-3rd leg-right.jpg:1497-2076,0.090,-15.715,17.183
44,JDYH-3rd leg-right.jpg:1205-2415,0.101,-12.331,19.217
45,JUCL-3rd leg-left.jpg:1055-2238,0.097,-10.135,18.496
46,JUCL-3rd leg-left.jpg:2165-1941,0.104,-35.185,19.892
47,JUCL-3rd leg-right.jpg:1367-2168,0.099,-30.783,18.832
48,JUCL-3rd leg-right.jpg:1227-2418,0.104,-25.346,19.834
49,JUJH-3rd leg-left.jpg:1653-3380,0.098,-10.123,18.607
50,JUJH-3rd leg-left.jpg:2333-3081,0.107,2.342,20.394
51,JUJH-3rd leg-Right.jpg:1863-3011,0.100,-0.472,19.104
52,JUJH-3rd leg-Right.jpg:1320-2799,0.110,-6.880,21.000
53,JXVQ-3rd leg-left.jpg:1371-2246,0.098,-32.143,18.737
54,JXVQ-3rd leg-left.jpg:1742-2010,0.110,-35.961,21.018
55,JXVQ-3rd leg-right.jpg:1322-1875,0.096,-35.145,18.382
56,JXVQ-3rd leg-right.jpg:1083-2342,0.109,-25.072,20.778
57,LAZJ-3rd leg-left.jpg:1632-2144,0.098,-19.211,18.732
58,LAZJ-3rd leg-left.jpg:2064-2220,0.105,-24.392,20.026
59,LAZJ-3rd leg-right.jpg:2070-2112,0.097,-29.083,18.567
60,LAZJ-3rd leg-right.jpg:1128-2393,0.092,-7.284,17.611
61,LLJC-3rd leg-left.jpg:2363-3227,0.097,-30.863,18.482
62,LLJC-3rd leg-left.jpg:1689-3261,0.112,-41.584,21.273
63,LLJC-3rd leg-right.jpg:1785-3116,0.102,-24.310,19.479
64,LLJC-3rd leg-right.jpg:2193-2586,0.114,-17.359,21.712
65,LRSS-3rd leg-left.jpg:1919-3186,0.109,-22.147,20.812
66,LRSS-3rd leg-left.jpg:1547-3303,0.109,-26.604,20.750
67,LRSS-3rd leg-right.jpg:2025-1931,0.102,-13.416,19.381
68,LRSS-3rd leg-right.jpg:1757-2294,0.115,-9.280,21.938
69,LUXM-3rd leg-left.jpg:2348-3218,0.105,-19.292,19.940
70,LUXM-3rd leg-left.jpg:1643-3110,0.120,-26.898,22.973
71,LUXM-3rd leg-right.jpg:1914-3288,0.105,-35.007,20.117
72,LUXM-3rd leg-right.jpg:2357-2703,0.116,-25.143,22.093
