 ,Label,Area,Angle,Length
1,CVQJ-2nd leg-left.jpg:1293-2385,0.059,-7.363,11.288
2,CVQJ-2nd leg-left.jpg:1905-2321,0.063,-25.858,11.969
3,CVQJ-2nd leg-right.jpg:1878-1536,0.059,-50.666,11.262
4,CVQJ-2nd leg-right.jpg:1190-2159,0.065,-13.245,12.422
5,DOCI-2nd leg-left.jpg:1952-2673,0.061,0.699,11.605
6,DOCI-2nd leg-left.jpg:1403-2549,0.067,-14.088,12.725
7,DOCI-2nd leg-right.jpg:1139-1962,0.061,-30.023,11.659
8,DOCI-2nd leg-right.jpg:0782-2339,0.068,-15.206,12.888
9,DYFV-2nd leg-left.jpg:2571-2420,0.068,37.637,12.926
10,DYFV-2nd leg-left.jpg:1245-2292,0.077,-28.924,14.694
11,DYFV-2nd leg-right.jpg:2087-1709,0.067,-42.316,12.822
12,DYFV-2nd leg-right.jpg:1346-2195,0.077,-3.504,14.666
13,ECJN-2nd leg- left.jpg:0996-1463,0.064,-23.828,12.221
14,ECJN-2nd leg- left.jpg:1515-1337,0.070,-36.775,13.289
15,ECJN-2nd leg-right.jpg:1568-1893,0.065,-24.102,12.436
16,ECJN-2nd leg-right.jpg:1185-2129,0.069,-6.045,13.139
17,EWKB-2nd leg-left.jpg:2228-3068,0.055,2.332,10.433
18,EWKB-2nd leg-left.jpg:1502-3275,0.059,-39.651,11.211
19,EWKB-2nd leg-right.jpg:1704-1704,0.055,-30.466,10.544
20,EWKB-2nd leg-right.jpg:1412-1923,0.059,-12.520,11.242
21,GLXO-2nd leg-left.jpg:2361-3155,0.066,-47.375,12.608
22,GLXO-2nd leg-left.jpg:1865-3507,0.072,-58.710,13.744
23,GLXO-2nd leg-right.jpg:2049-2598,0.065,24.360,12.427
24,GLXO-2nd leg-right.jpg:1593-2457,0.071,42.470,13.599
25,GWYL-2nd leg-left.jpg:1934-2561,0.055,-39.750,10.450
26,GWYL-2nd leg-left.jpg:1544-2840,0.062,-62.989,11.736
27,GWYL-2nd leg-right.jpg:1358-1844,0.055,-27.602,10.486
28,GWYL-2nd leg-right.jpg:1013-2103,0.061,-7.182,11.695
29,HDZC-2nd leg-left.jpg:1298-2177,0.066,-7.788,12.648
30,HDZC-2nd leg-left.jpg:1872-2132,0.073,-31.599,13.864
31,HDZC-2nd leg-right.jpg:1625-2204,0.067,-31.686,12.842
32,HDZC-2nd leg-right.jpg:1217-2531,0.074,-10.584,14.124
33,HNUV-2nd leg-left.jpg:0884-2468,0.051,-20.719,9.733
34,HNUV-2nd leg-left.jpg:1565-2132,0.058,-55.015,10.996
35,HNUV-2nd leg-right.jpg:1707-1077,0.051,-49.764,9.639
36,HNUV-2nd leg-right.jpg:1335-1460,0.057,-18.148,10.904
37,ILNB-2nd leg-left.jpg:0680-2409,0.071,9.199,13.475
38,ILNB-2nd leg-left.jpg:1844-2051,0.079,-48.719,15.086
39,ILNB-2nd leg-right.jpg:1190-3264,0.071,-20.680,13.579
40,ILNB-2nd leg-right.jpg:2337-3114,0.078,22.545,14.845
41,JDYH-2nd leg-left.jpg:1065-1793,0.058,-17.271,11.015
42,JDYH-2nd leg-left.jpg:1649-1746,0.064,-31.027,12.293
43,JDYH-2nd leg-right.jpg:1724-1881,0.058,-41.926,10.989
44,JDYH-2nd leg-right.jpg:1416-2223,0.065,-19.996,12.415
45,JUCL-2nd leg-left.jpg:1244-2666,0.062,-13.097,11.865
46,JUCL-2nd leg-left.jpg:1814-2345,0.067,-49.590,12.782
47,JUCL-2nd leg-right.jpg:1145-1758,0.062,-50.341,11.825
48,JUCL-2nd leg-right.jpg:0686-2162,0.065,-20.683,12.420
49,JUJH-2nd leg-Right.jpg:1908-2414,0.064,-19.958,12.161
50,JUJH-2nd leg-Right.jpg:2364-2177,0.071,0.535,13.475
51,JUJH-2nd leg-left.jpg:2664-3638,0.064,-9.790,12.206
