 ,Label,Area,Angle,Length
1,CVQJ-2nd leg-left.jpg:1463-2354,0.060,-5.151,11.382
2,CVQJ-2nd leg-left.jpg:1893-2319,0.063,-25.625,11.998
3,CVQJ-2nd leg-right.jpg:1886-1526,0.059,-49.773,11.224
4,CVQJ-2nd leg-right.jpg:1191-2153,0.065,-13.174,12.418
5,DOCI-2nd leg-left.jpg:1853-2645,0.060,6.079,11.432
6,DOCI-2nd leg-left.jpg:1401-2547,0.066,-13.829,12.630
7,DOCI-2nd leg-right.jpg:1097-2021,0.061,-34.360,11.561
8,DYFV-2nd leg-left.jpg:2573-2417,0.068,36.884,12.915
9,DYFV-2nd leg-left.jpg:1257-2289,0.077,-28.542,14.677
10,DYFV-2nd leg-right.jpg:2088-1706,0.067,-42.765,12.829
11,DYFV-2nd leg-right.jpg:1338-2195,0.077,-3.572,14.635
12,ECJN-2nd leg- left.jpg:1094-1400,0.064,-18.858,12.112
13,ECJN-2nd leg- left.jpg:1514-1331,0.070,-36.911,13.274
14,ECJN-2nd leg-right.jpg:1562-1886,0.065,-24.059,12.380
15,ECJN-2nd leg-right.jpg:1188-2132,0.069,-6.045,13.139
16,EWKB-2nd leg-left.jpg:2247-3069,0.055,2.931,10.454
17,EWKB-2nd leg-left.jpg:1505-3270,0.059,-39.396,11.272
18,EWKB-2nd leg-right.jpg:1721-1697,0.055,-31.815,10.528
19,EWKB-2nd leg-right.jpg:1409-1922,0.059,-12.468,11.288
20,GLXO-2nd leg-left.jpg:2267-3258,0.067,-40.532,12.702
21,GLXO-2nd leg-left.jpg:1868-3503,0.072,-58.543,13.769
22,GLXO-2nd leg-right.jpg:2051-2586,0.066,23.999,12.564
23,GLXO-2nd leg-right.jpg:1605-2459,0.072,42.628,13.698
24,GWYL-2nd leg-left.jpg:1923-2585,0.054,-40.507,10.360
25,GWYL-2nd leg-left.jpg:1545-2849,0.062,-62.887,11.764
26,GWYL-2nd leg-right.jpg:1359-1836,0.055,-28.032,10.438
27,GWYL-2nd leg-right.jpg:1005-2100,0.061,-7.125,11.662
28,HDZC-2nd leg-left.jpg:1311-2171,0.066,-8.181,12.597
29,HDZC-2nd leg-left.jpg:1862-2132,0.073,-31.408,13.909
30,HDZC-2nd leg-right.jpg:1625-2189,0.067,-32.058,12.708
31,HDZC-2nd leg-right.jpg:1214-2531,0.074,-10.608,14.093
32,HNUV-2nd leg-left.jpg:0999-2430,0.051,-13.947,9.785
33,HNUV-2nd leg-left.jpg:1563-2136,0.058,-54.955,11.062
34,HNUV-2nd leg-right.jpg:1703-1089,0.050,-49.439,9.624
35,HNUV-2nd leg-right.jpg:1320-1458,0.057,-17.700,10.860
36,ILNB-2nd leg-left.jpg:0684-2406,0.071,9.111,13.504
37,ILNB-2nd leg-left.jpg:1841-2048,0.079,-48.560,15.038
38,ILNB-2nd leg-right.jpg:1302-3213,0.071,-25.130,13.477
39,ILNB-2nd leg-right.jpg:2343-3084,0.079,22.309,15.160
40,JDYH-2nd leg-left.jpg:1212-1773,0.057,-10.084,10.955
41,JDYH-2nd leg-left.jpg:1653-1746,0.064,-31.115,12.231
42,JDYH-2nd leg-right.jpg:1718-1886,0.058,-41.872,11.001
43,JDYH-2nd leg-right.jpg:1418-2214,0.065,-19.556,12.448
44,JUCL-2nd leg-left.jpg:1250-2661,0.062,-13.481,11.803
45,JUCL-2nd leg-left.jpg:1817-2345,0.067,-49.422,12.690
46,JUCL-2nd leg-right.jpg:1133-1767,0.062,-50.028,11.797
47,JUCL-2nd leg-right.jpg:0692-2157,0.065,-20.845,12.416
48,JUJH-2nd leg-Right.jpg:1920-2414,0.064,-19.539,12.129
49,JUJH-2nd leg-Right.jpg:2366-2178,0.070,0.470,13.428
50,JUJH-2nd leg-left.jpg:2586-3632,0.062,-4.405,11.875
51,JUJH-2nd leg-left.jpg:1946-3672,0.070,151.503,13.347
52,JXVQ-2nd leg-left.jpg:1652-2496,0.064,-11.991,12.184
53,JXVQ-2nd leg-left.jpg:1980-2391,0.073,-18.844,13.922
54,JXVQ-2nd leg-right.jpg:1442-2166,0.063,-23.169,12.109
55,JXVQ-2nd leg-right.jpg:1113-2445,0.071,-6.895,13.620
56,LAZJ-2nd leg-left.jpg:1173-1926,0.059,14.695,11.281
57,LAZJ-2nd leg-left.jpg:2040-1859,0.064,-31.733,12.257
58,LAZJ-2nd leg-right.jpg:1548-1683,0.059,-34.624,11.235
59,LAZJ-2nd leg-right.jpg:1200-1994,0.064,-13.334,12.135
60,LLJC-2nd leg-left.jpg:2268-2168,0.068,7.290,12.887
61,LLJC-2nd leg-left.jpg:2699-2300,0.073,-9.642,13.987
62,LLJC-2nd leg-right.jpg:1770-1776,0.069,103.107,13.173
63,LLJC-2nd leg-right.jpg:2463-3375,0.074,22.982,14.175
64,LRSS-2nd leg-left.jpg:1469-2024,0.064,-10.850,12.279
65,LRSS-2nd leg-left.jpg:2046-1907,0.070,-36.641,13.384
66,LRSS-2nd leg-right.jpg:2046-1907,0.070,-36.641,13.384
67,LRSS-2nd leg-right.jpg:1469-1823,0.065,-42.101,12.312
68,LRSS-2nd leg-right.jpg:0996-2168,0.071,-12.630,13.519
69,LUXM-2nd leg-left.jpg:1385-1869,0.064,-19.724,12.160
70,LUXM-2nd leg-left.jpg:1859-1788,0.072,-39.872,13.808
71,LUXM-2nd leg-right.jpg:1521-2051,0.064,-29.434,12.222
72,LUXM-2nd leg-right.jpg:1146-2387,0.072,-10.012,13.747
73,MJSX-2nd leg-left.jpg:1392-2300,0.053,-22.102,10.029
74,MJSX-2nd leg-left.jpg:1782-2162,0.058,-44.364,11.019
75,MJSX-2nd leg-right.jpg:2250-3006,0.053,25.440,10.029
