 ,Label,Length
1,GDWH-2nd leg-left.jpg:1301-2276,12.302
2,GDWH-2nd leg-left.jpg:1823-2144,13.584
3,GDWH-2nd leg-right.jpg:1776-1691,12.27
4,GDWH-2nd leg-right.jpg:1382-2030,13.435
5,GLXO-2nd leg-left.jpg:2268-3255,12.76
6,GLXO-2nd leg-left.jpg:1866-3518,13.793
7,GLXO-2nd leg-right.jpg:2054-2601,12.424
8,GLXO-2nd leg-right.jpg:1601-2451,13.715
9,GMLX-2nd leg-left.jpg:1661-2096,10.594
10,GMLX-2nd leg-left.jpg:2028-2132,11.997
11,GMLX-2nd leg-right.jpg:1839-1593,10.806
12,GMLX-2nd leg-right.jpg:1581-1890,12.148
13,GRAC-2nd leg-left.jpg:1389-2598,10.913
14,GRAC-2nd leg-left.jpg:2132-2442,12.436
15,GRAC-2nd leg-right.jpg:1098-3638,10.703
16,GRAC-2nd leg-right.jpg:1622-3486,12.159
17,GRRD-2nd leg-left.jpg:1850-1710,13.098
18,GRRD-2nd leg-left.jpg:2328-1665,14.211
19,GRRD-2nd leg-right.jpg:1958-2289,13.144
20,GRRD-2nd leg-right.jpg:1562-2634,14.306
21,GVKA-2nd leg-right.jpg:1019-1727,9.719
22,GVKA-2nd leg-right.jpg:0858-2057,10.623
23,GWYL-2nd leg-left.jpg:1920-2595,10.203
24,GWYL-2nd leg-left.jpg:1545-2852,11.834
25,GWYL-2nd leg-right.jpg:1365-1842,10.443
26,GWYL-2nd leg-right.jpg:1007-2103,11.668
27,GXQD-2nd leg-left.jpg:1478-2169,11.475
28,GXQD-2nd leg-left.jpg:2967-2931,12.53
29,GXQD-2nd leg-right.jpg:1401-1446,11.322
30,GXQD-2nd leg-right.jpg:0990-2361,12.568
31,GYFU-2nd leg-left.jpg:1073-2034,11.992
32,GYFU-2nd leg-left.jpg:1898-1908,12.638
33,GYFU-2nd leg-right.jpg:1548-1935,11.972
34,GYFU-2nd leg-right.jpg:1026-2381,12.678
35,HDAF-2nd leg-left.jpg:1317-1916,13.025
36,HDAF-2nd leg-left.jpg:1812-1833,13.937
37,HDAI-2nd leg-left.jpg:1443-2768,12.367
38,HDAI-2nd leg-left.jpg:2007-2726,13.58
39,HDAI-2nd leg-right.jpg:1913-1898,12.586
40,HDAI-2nd leg-right.jpg:1451-2181,13.79
41,HDZC-2nd leg-left.jpg:1302-2171,12.623
42,HDZC-2nd leg-left.jpg:1866-2130,13.861
43,HDZC-2nd leg-right.jpg:1632-2192,12.758
44,HDZC-2nd leg-right.jpg:1214-2535,14.083
45,HEDP-2nd leg-left.jpg:1425-2054,10.807
46,HEDP-2nd leg-left.jpg:1872-2034,12.361
47,HEDP-2nd leg-right.jpg:1506-1808,10.811
48,HEDP-2nd leg-right.jpg:1110-2142,12.335
49,HIHW-2nd leg-left.jpg:1908-2022,10.38
50,HIHW-2nd leg-left.jpg:2331-2018,11.25
51,HIHW-2nd leg-right.jpg:1640-2754,10.444
52,HIHW-2nd leg-right.jpg:2000-2552,11.26
53,HKWK-2nd leg-left.jpg:1752-2133,9.46
54,HKWK-2nd leg-left.jpg:2097-2342,10.614
55,HKWK-2nd leg-right.jpg:2397-3350,9.523
56,HKWK-2nd leg-right.jpg:1596-3131,10.869
57,HNNH-2nd leg-left.jpg:1572-3236,12.309
58,HNNH-2nd leg-left.jpg:1203-2964,13.511
59,HNNH-2nd leg-right.jpg:1494-1952,12.264
60,HNNH-2nd leg-right.jpg:1119-2246,13.526
61,HNUV-2nd leg-left.jpg:0989-2432,9.759
62,HNUV-2nd leg-left.jpg:1566-2136,11.055
63,HNUV-2nd leg-right.jpg:1697-1083,9.668
64,HNUV-2nd leg-right.jpg:1331-1454,10.919
65,HOHH-2nd leg-left.jpg:1035-2177,12.051
66,HOHH-2nd leg-left.jpg:1493-2111,13.228
67,HOHH-2nd leg-right.jpg:1626-2549,11.771
68,HOHH-2nd leg-right.jpg:1352-2897,13.168
69,HRBI-2nd leg-left.jpg:1194-1676,10.152
70,HRBI-2nd leg-left.jpg:1550-1524,11.217
71,HRBI-2nd leg-right.jpg:1766-1157,9.98
72,HRBI-2nd leg-right.jpg:1521-1595,11.486
73,HTCT-2nd leg-left.jpg:1806-2198,11.034
74,HTCT-2nd leg-left.jpg:2223-2060,11.435
75,HTCT-2nd leg-right.jpg:1439-1952,11.088
76,HTCT-2nd leg-right.jpg:1002-2138,12.25
77,HZFK-2nd leg-left.jpg:1178-1887,10.239
78,HZFK-2nd leg-left.jpg:1514-1803,11.153
79,HZFK-2nd leg-right.jpg:1638-1317,10.286
80,HZFK-2nd leg-right.jpg:1338-1557,11.255
81,IEAL-2nd leg-left.jpg:1079-2336,12.101
82,IEAL-2nd leg-left.jpg:1458-2360,13.236
83,IEAL-2nd leg-right.jpg:1902-1922,12.031
84,IEAL-2nd leg-right.jpg:1449-2210,13.24
