"scenario","analysis_tier","primary_analysis","analysis_reason","analysis_space","trait_set","vector","trait","component"
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D8","foreleg",0.968125956305741
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D8","midleg",0.465643741141861
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D8","hindleg",-1.5254254299067
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D8","ear",0.0901204030953036
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D8","eye",1.06940244670692
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D9","foreleg",1.78129665461339
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D9","midleg",1.47761473598165
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D9","hindleg",-0.108974293215937
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D9","ear",0.881081405169907
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D9","eye",1.68093416159005
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D10","foreleg",2.59079125863998
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D10","midleg",2.33416367411574
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D10","hindleg",0.920000448349427
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D10","ear",1.42157436678598
"standardized_head_excluded","primary",TRUE,"Head size is excluded because head length contributes to archived male morph assignment.","standardized_size_adjusted_SD","head_excluded_five_traits","D10","eye",2.61066520246112
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D8","head",1.72659032590221
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D8","foreleg",0.968125956305741
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D8","midleg",0.465643741141861
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D8","hindleg",-1.5254254299067
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D8","ear",0.0901204030953036
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D8","eye",1.06940244670692
