term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
logP_c,NA,NA,1,301.96,309.078,3.892173789011106e-48
group,NA,NA,3,301.97,87.24,1.1207059643214523e-40
leg,NA,NA,2,301.08,14866.698,1.2087074276977915e-301
relative_head_size,NA,NA,1,301.95,109.422,4.671604199275645e-22
logP_c:group,NA,NA,3,301.87,5.783,7.423506768176716e-4
logP_c:leg,NA,NA,2,300.87,0.268,0.7647880028114886
group:leg,NA,NA,6,300.84,75.274,5.390844530263442e-57
group:relative_head_size,NA,NA,3,301.86,1.165,0.32314175695577296
leg:relative_head_size,NA,NA,2,300.86,3.604,0.028397615980025936
logP_c:group:leg,NA,NA,6,300.76,1.866,0.08644268965114234
group:leg:relative_head_size,NA,NA,6,300.76,3.625,0.0017339217492292301
