contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,Holm_family
Female - Eighth instar,Foreleg,-0.039175225914091436,0.09032962431617843,355.6004314178225,-0.2788287488820712,0.20047829705388837,-0.4336918946653361,1,Six group slope contrasts within Foreleg
Female - Ninth instar,Foreleg,0.09651225228346039,0.08882441550477217,355.6004314176025,-0.13914780124205575,0.3321723058089765,1.0865509413712402,0.9981744071874916,Six group slope contrasts within Foreleg
Female - Tenth instar,Foreleg,0.1851315180795577,0.16051709011084825,355.6004314176735,-0.240736367820015,0.6109994039791304,1.153344593723394,0.9981744071874916,Six group slope contrasts within Foreleg
Eighth instar - Ninth instar,Foreleg,0.13568747819755184,0.07872590560688673,355.60043141780056,-0.07318021908740072,0.34455517548250436,1.7235429322985425,0.5139575789017721,Six group slope contrasts within Foreleg
Eighth instar - Tenth instar,Foreleg,0.22430674399364908,0.15515710631973714,355.6004314178667,-0.18734056910585395,0.6359540570931521,1.4456749633588364,0.7457455353466809,Six group slope contrasts within Foreleg
Ninth instar - Tenth instar,Foreleg,0.08861926579609726,0.15428565520545548,355.6004314176279,-0.3207160003839941,0.4979545319761886,0.5743843501075122,1,Six group slope contrasts within Foreleg
Female - Eighth instar,Midleg,-0.050634544252163106,0.08730198573867193,305.6305329685964,-0.28246859748710484,0.18119950898277862,-0.5799930416672487,1,Six group slope contrasts within Midleg
Female - Ninth instar,Midleg,0.061027187959247386,0.08582838474527005,305.4510067474329,-0.16689453381429087,0.28894890973278564,0.7110373583327928,1,Six group slope contrasts within Midleg
Female - Tenth instar,Midleg,0.05455630998926379,0.15510287897683817,305.4510067475801,-0.35732741977394555,0.46644003975247317,0.3517427294009855,1,Six group slope contrasts within Midleg
Eighth instar - Ninth instar,Midleg,0.1116617322114105,0.07609248195536575,305.6873341331406,-0.09040477174285318,0.3137282361656742,1.4674476287540328,0.8596945228726243,Six group slope contrasts within Midleg
Eighth instar - Tenth instar,Midleg,0.10519085424142688,0.1499348433455322,305.51186594120884,-0.2929683694756885,0.5033500779585423,0.7015771110588978,1,Six group slope contrasts within Midleg
Ninth instar - Tenth instar,Midleg,-0.006470877969983621,0.14908162919392887,305.45100674745584,-0.40236486702186297,0.3894231110818957,-0.04340493194883289,1,Six group slope contrasts within Midleg
Female - Eighth instar,Hindleg,0.28470293299988086,0.09456253839941108,315.54926202555936,0.03363986107177325,0.5357660049279884,3.0107369981689702,0.01689917347719896,Six group slope contrasts within Hindleg
Female - Ninth instar,Hindleg,0.2677089622014429,0.09278244421419102,314.5041508043422,0.02136684021448773,0.5140510841883981,2.8853406963867956,0.020900385384628642,Six group slope contrasts within Hindleg
Female - Tenth instar,Hindleg,0.09936491699481854,0.16766975469524933,314.5041508044082,-0.3458068341320231,0.5445366681216602,0.5926227850420652,1,Six group slope contrasts within Hindleg
Eighth instar - Ninth instar,Hindleg,-0.01699397079843794,0.08247230382554342,315.8777220003256,-0.2359560858107642,0.20196814421388828,-0.20605670037284138,1,Six group slope contrasts within Hindleg
Eighth instar - Tenth instar,Hindleg,-0.1853380160050624,0.1621920022180452,314.85963193320214,-0.6159629613904489,0.24528692938032415,-1.1427074915562143,1,Six group slope contrasts within Hindleg
Ninth instar - Tenth instar,Hindleg,-0.16834404520662444,0.16116064615568446,314.50415080455446,-0.5962337811477237,0.25954569073447487,-1.0445729104610357,1,Six group slope contrasts within Hindleg
