group,leg,log_head_size.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
Female,Foreleg,0.4193938406226277,0.07018350805215638,345.78019590605186,0.2813535280573407,0.5574341531879147,5.975675087528513,5.701269600479402e-9
Eighth instar,Foreleg,0.45856906653667573,0.05686577376951883,345.78019594004974,0.3467227168276377,0.5704154162457138,8.064060965657303,1.221717769025626e-14
Ninth instar,Foreleg,0.3228815883391319,0.05444310780139963,345.7801959401842,0.21580025503867561,0.42996292163958816,5.930623753459408,7.318768482350128e-9
Tenth instar,Foreleg,0.23426232254300328,0.1443606989957818,345.78019593997755,-0.04967327094008556,0.5181979160260921,1.6227569149540373,0.10555270298135655
Female,Midleg,0.4215815629175599,0.06781623158199881,313.2021029020109,0.28814857738793176,0.555014548447188,6.216528891137395,1.6210340647814764e-9
Eighth instar,Midleg,0.4722161071697931,0.05497813609149472,313.66030280459404,0.3640435487932918,0.5803886655462944,8.589161814870009,4.1738251061586537e-16
Ninth instar,Midleg,0.36055437495828624,0.05260675205861286,313.2021029312721,0.25704706081760587,0.4640616890989666,6.8537661202989195,3.8290181678485584e-11
Tenth instar,Midleg,0.3670252529282586,0.13949143988587456,313.2021029311151,0.09256648626430902,0.6414840195922082,2.6311668531670596,0.008930208762649355
Female,Hindleg,0.6327578886356644,0.07331089525132674,324.9474236919753,0.4885340046452728,0.7769817726260559,8.631157571687314,2.7548116473719274e-16
Eighth instar,Hindleg,0.3480549556358573,0.0597292751203301,327.7084220529488,0.230553775032906,0.46555613623880865,5.8272087671358594,1.347868696270836e-8
Ninth instar,Hindleg,0.3650489264342176,0.05686910050462376,324.9474237018297,0.2531708416598073,0.4769270112086279,6.419108499958377,4.853816849385579e-10
Tenth instar,Hindleg,0.533392971640815,0.15079343247737542,324.94742370322973,0.236738368834917,0.8300475744467131,3.537242722562494,4.6317076676344386e-4
