term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
logP_c,NA,NA,1,301.49,30.477,7.291599774056635e-8
group,NA,NA,3,301.12,26.231,4.21426591853924e-15
leg,NA,NA,2,301.61,636.114,6.23403211036149e-109
log_head_size,NA,NA,1,301.22,109.422,4.7475845970221e-22
logP_c:group,NA,NA,3,301.2,0.626,0.5990009930850048
logP_c:leg,NA,NA,2,301.67,1.481,0.22906779954038492
group:leg,NA,NA,6,301.6,12.97,4.753992010507976e-13
group:log_head_size,NA,NA,3,301.13,1.165,0.3231462551677947
leg:log_head_size,NA,NA,2,301.61,3.604,0.028394654032532315
logP_c:group:leg,NA,NA,6,301.61,1.065,0.38379930338292745
group:leg:log_head_size,NA,NA,6,301.6,3.625,0.001732759452549069
