contrast,leg,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,outcome,ratio,ratio_lower,ratio_upper,percent_difference,Holm_family
Female - Eighth instar,Foreleg,-0.05670900689244167,0.010801097026277205,330.97393501819533,-0.08537739309209655,-0.028040620692786785,-5.250300664319415,8.163865571369127e-7,Leg length,0.9448689797267196,0.9181657096118976,0.972348868514359,-5.513102027328043,Six all-pairwise group contrasts within Foreleg
Female - Ninth instar,Foreleg,-0.107639731797603,0.007534995765032572,330.97393502064756,-0.1276391974147693,-0.0876402661804367,-14.285307537546798,1.0666855966485438e-35,Leg length,0.897951041370988,0.8801708897943504,0.9160903661420062,-10.204895862901198,Six all-pairwise group contrasts within Foreleg
Female - Tenth instar,Foreleg,-0.156555661574579,0.009849656000548854,330.9739350206392,-0.18269872292015377,-0.13041260022900425,-15.894530891825585,6.851000463543107e-42,Leg length,0.8550839210608266,0.8330190874933356,0.877733203277419,-14.491607893917335,Six all-pairwise group contrasts within Foreleg
Eighth instar - Ninth instar,Foreleg,-0.05093072490516134,0.010461159326020326,330.9739350188417,-0.07869684485805617,-0.023164604952266507,-4.868554556709595,1.7440501229915567e-6,Leg length,0.9503445034577159,0.924320094364874,0.9771016347674184,-4.965549654228408,Six all-pairwise group contrasts within Foreleg
Eighth instar - Tenth instar,Foreleg,-0.09984665468213735,0.012234190475649434,330.97393501979417,-0.13231877270336895,-0.06737453666090575,-8.161280052069579,2.802503794362388e-14,Leg length,0.9049761812565155,0.8760616860117173,0.9348450020341053,-9.502381874348453,Six all-pairwise group contrasts within Foreleg
Ninth instar - Tenth instar,Foreleg,-0.04891592977697601,0.009475646722122777,330.97393501998664,-0.07406629173191628,-0.023765567822035736,-5.162278756422194,8.435055428720759e-7,Leg length,0.9522611831434462,0.9286101326268431,0.9765146093728325,-4.773881685655379,Six all-pairwise group contrasts within Foreleg
Female - Eighth instar,Midleg,-0.02095973626938268,0.010773504431295555,314.99302057716375,-0.04956365759498167,0.007644185056216311,-1.945489176994026,0.05260548763059988,Leg length,0.9792583923718142,0.951644576803215,1.0076734764274553,-2.0741607628185776,Six all-pairwise group contrasts within Midleg
Female - Ninth instar,Midleg,-0.07259683537074714,0.007509138774016888,314.1579649200071,-0.09253412162904781,-0.052659549112446476,-9.667797806846586,7.9392351543217895e-19,Leg length,0.9299756877593953,0.9116181045389674,0.9487029442673731,-7.002431224060468,Six all-pairwise group contrasts within Midleg
Female - Tenth instar,Midleg,-0.11468002575487513,0.009815856052326499,314.1579649200678,-0.1407418069890524,-0.08861824452069786,-11.683140537466858,1.1856357420602565e-25,Leg length,0.8916514037513257,0.868713578518848,0.9151948875569004,-10.834859624867432,Six all-pairwise group contrasts within Midleg
Eighth instar - Ninth instar,Midleg,-0.051637099101364464,0.010435040777450442,315.0481195638205,-0.07934236025351203,-0.023931837949216897,-4.948432900516253,3.66114928338733e-6,Leg length,0.9496734416612415,0.9237236240497299,0.9763522576620317,-5.032655833875854,Six all-pairwise group contrasts within Midleg
Eighth instar - Tenth instar,Midleg,-0.09372028948549245,0.012200571336605693,314.80897488728425,-0.12611322913004297,-0.06132734984094192,-7.681631203966737,8.022801978926192e-13,Leg length,0.9105374135131996,0.8815150279525882,0.9405153118409446,-8.94625864868004,Six all-pairwise group contrasts within Midleg
Ninth instar - Tenth instar,Midleg,-0.042083190384127986,0.00944313021915422,314.1579649196941,-0.06715535858071817,-0.01701102218753781,-4.456487351912975,2.3208217551177497e-5,Leg length,0.9587900151450143,0.9350499220230887,0.9831328483005611,-4.120998485498573,Six all-pairwise group contrasts within Midleg
Female - Eighth instar,Hindleg,0.0654022122838811,0.01162691401145239,314.03945928228603,0.0345318718714907,0.0962725526962715,5.625070609403372,2.0522998188513768e-7,Leg length,1.0675883351839055,1.0351350195406848,1.1010591197334587,6.75883351839055,Six all-pairwise group contrasts within Hindleg
Female - Ninth instar,Hindleg,0.004562979159243884,0.008092831553356682,312.60139935250976,-0.016924733619077745,0.026050691937565512,0.5638297460116153,0.5732742649584482,Leg length,1.0045734054008568,0.9832176850868168,1.0263929770034255,0.45734054008568226,Six all-pairwise group contrasts within Hindleg
Female - Tenth instar,Hindleg,-0.03852232254440098,0.010578852245792358,312.6013993520283,-0.0666108027114702,-0.010433842377331762,-3.6414463166099025,6.344257753883225e-4,Leg length,0.9622102255196008,0.9355592476116992,0.9896204013353427,-3.778977448039922,Six all-pairwise group contrasts within Hindleg
Eighth instar - Ninth instar,Hindleg,-0.060839233124637224,0.011262658631864911,314.134014646846,-0.0907423904617429,-0.03093607578753155,-5.401853604308634,5.218925211072381e-7,Leg length,0.940974505147442,0.9132529432679412,0.9695375480193709,-5.902549485255804,Six all-pairwise group contrasts within Hindleg
Eighth instar - Tenth instar,Hindleg,-0.10392453482828208,0.01316304188799921,313.72332090137087,-0.13887363592881252,-0.06897543372775164,-7.895176184391728,2.944112731472762e-13,Leg length,0.9012933111093313,0.8703380009629293,0.9333496087171559,-9.87066888906687,Six all-pairwise group contrasts within Hindleg
Ninth instar - Tenth instar,Hindleg,-0.04308530170364486,0.010177154065185394,312.6013993519128,-0.07010721140380793,-0.01606339200348178,-4.233531439897681,9.084298403483099e-5,Leg length,0.957829682078482,0.932293862014023,0.9840649362301244,-4.217031792151804,Six all-pairwise group contrasts within Hindleg
