matrix_type,group_1,group_2,element_correlation,random_skewers_similarity,trait_set,analysis_role
covariance,Female,Eighth instar,0.8836873290743751,0.9688497804684938,five_non_head_traits,supporting_similarity
covariance,Female,Ninth instar,0.9016345625576695,0.9749292660533222,five_non_head_traits,supporting_similarity
covariance,Female,Tenth instar,0.8169679235439697,0.9554044034154917,five_non_head_traits,supporting_similarity
covariance,Eighth instar,Ninth instar,0.9555938797134794,0.9805152931893314,five_non_head_traits,supporting_similarity
covariance,Eighth instar,Tenth instar,0.7169636527814244,0.9345955225150095,five_non_head_traits,supporting_similarity
covariance,Ninth instar,Tenth instar,0.8345467610399998,0.9645561278603914,five_non_head_traits,supporting_similarity
correlation,Female,Eighth instar,0.9873988530626021,0.9933441430410327,five_non_head_traits,supporting_similarity
correlation,Female,Ninth instar,0.9928213855876059,0.993924484669871,five_non_head_traits,supporting_similarity
correlation,Female,Tenth instar,0.9474900757616246,0.9723987652084832,five_non_head_traits,supporting_similarity
correlation,Eighth instar,Ninth instar,0.9841010029474477,0.9872943508659858,five_non_head_traits,supporting_similarity
correlation,Eighth instar,Tenth instar,0.9580298746172197,0.9741556858360599,five_non_head_traits,supporting_similarity
correlation,Ninth instar,Tenth instar,0.9515118583671967,0.9807507972975757,five_non_head_traits,supporting_similarity
