group,leg,relative_head_size.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
Female,Foreleg,0.4193938406226163,0.0701835080529675,355.6004314177486,0.281366915811318,0.5574207654339146,5.975675087459289,5.56808758203005e-9
Eighth instar,Foreleg,0.45856906653670776,0.05686577377017724,355.6004314175652,0.34673356417639656,0.570404568897019,8.064060965564497,1.139849926457321e-14
Ninth instar,Foreleg,0.3228815883391559,0.054443107802029996,355.60043141806204,0.21581064025527136,0.4299525364230405,5.930623753391183,7.152404597554693e-9
Tenth instar,Foreleg,0.23426232254305873,0.14436069899745302,355.6004314176974,-0.04964573362292857,0.518170378709046,1.6227569149356353,0.10552754414400789
Female,Midleg,0.421581562917558,0.06781623158127308,305.45100674763165,0.28813544214516984,0.5550276836899461,6.216528891203894,1.6657483412547002e-9
Eighth instar,Midleg,0.4722161071697211,0.05497813609090813,305.90379900041086,0.3640329241530411,0.5803992901864011,8.589161814960342,4.543694674245191e-16
Ninth instar,Midleg,0.3605543749583106,0.05260675205805092,305.45100674770856,0.25703687148027454,0.4640718784363467,6.853766120372594,3.9797413221357965e-11
Tenth instar,Midleg,0.36702525292829435,0.13949143988438448,305.4510067475691,0.09253946833824961,0.641511037518339,2.6311668531954227,0.008941003581727664
Female,Hindleg,0.6327578886356857,0.07331089524963809,314.5041508042547,0.48851610004004364,0.7769996772313278,8.631157571886417,3.075221305163826e-16
Eighth instar,Hindleg,0.34805495563580485,0.05972927511896224,317.1197666449555,0.23053923085263583,0.46557068041897387,5.82720876726843,1.3850739688172848e-8
Ninth instar,Hindleg,0.3650489264342428,0.05686910050331428,314.50415080480866,0.25315695260837656,0.47694090026010905,6.419108500106628,5.045407815031499e-10
Tenth instar,Hindleg,0.5333929716408673,0.15079343247390342,314.5041508044383,0.2367015407908351,0.8300844024908995,3.5372427226442853,4.6521291874139547e-4
