contrast,group,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,Holm_family
Foreleg - Midleg,Female,-0.0021877222949416714,0.04278509581036663,301.4082336906169,-0.10518928649012964,0.1008138419002463,-0.05113281280561247,0.9592535589159437,Three leg slope contrasts within Female
Foreleg - Hindleg,Female,-0.2133640480130694,0.067369403028502,302.1193626933267,-0.3755481476075723,-0.05117994841856649,-3.167076423740929,0.0033944346665049524,Three leg slope contrasts within Female
Midleg - Hindleg,Female,-0.21117632571812772,0.06344994252227022,302.3022372383569,-0.36392425706380693,-0.05842839437244854,-3.3282350987789657,0.0029461579556219726,Three leg slope contrasts within Female
Foreleg - Midleg,Eighth instar,-0.013647040633013335,0.03471459096418181,301.58912695330747,-0.09721925351530729,0.06992517224928062,-0.39312117049266765,0.6945077280288314,Three leg slope contrasts within Eighth instar
Foreleg - Hindleg,Eighth instar,0.1105141109009029,0.05494409834583441,303.89312456636355,-0.021753173072556198,0.242781394874362,2.0113918369411468,0.09033341205509365,Three leg slope contrasts within Eighth instar
Midleg - Hindleg,Eighth instar,0.12416115153391624,0.05179333294880425,303.6766378932051,-5.217691445912609e-4,0.24884407221242374,2.397241970441347,0.05136912383139218,Three leg slope contrasts within Eighth instar
Foreleg - Midleg,Ninth instar,-0.03767278661915467,0.03318947211595648,301.40823369068147,-0.11757368383597905,0.042228110597669705,-1.1350824287754415,0.771727853067137,Three leg slope contrasts within Ninth instar
Foreleg - Hindleg,Ninth instar,-0.04216733809508688,0.05226013594064081,302.11936269334205,-0.16797761265894642,0.08364293646877266,-0.8068738692716426,0.8407477683287425,Three leg slope contrasts within Ninth instar
Midleg - Hindleg,Ninth instar,-0.004494551475932203,0.04921971210338359,302.30223723844654,-0.12298495361590123,0.11399585066403684,-0.0913160862560841,0.9273019148108589,Three leg slope contrasts within Ninth instar
Foreleg - Midleg,Tenth instar,-0.13276293038523554,0.08800481066287152,301.40823369066226,-0.34462720188654644,0.07910134111607536,-1.5085871941003683,0.26490357479720994,Three leg slope contrasts within Tenth instar
Foreleg - Hindleg,Tenth instar,-0.2991306490978085,0.1385723566980414,302.1193626932235,-0.632727681125122,0.03446638292950499,-2.158660328983468,0.09499144577060725,Three leg slope contrasts within Tenth instar
Midleg - Hindleg,Tenth instar,-0.16636771871257303,0.13051040490809232,302.30223723838543,-0.48055546382835523,0.14782002640320915,-1.27474678229473,0.26490357479720994,Three leg slope contrasts within Tenth instar
