group,leg,logP_c.trend,SE,df,lower.CL,upper.CL,t.ratio,p.value
Female,Foreleg,0.7106991384514858,0.05899436827248399,331.4186953539203,0.5946485037748606,0.826749773128111,12.046898022009472,5.749541057750386e-28
Eighth instar,Foreleg,0.7408490867964592,0.06722882018244675,331.41869534645474,0.6086000691495788,0.8730981044433397,11.019813895081455,2.860968023546863e-24
Ninth instar,Foreleg,0.6038046861202968,0.08267120193538562,331.4186953528009,0.44117822303541454,0.7664311492051791,7.303688249170735,2.0996450439730536e-12
Tenth instar,Foreleg,0.33170581239734126,0.13704016307475955,331.4186953506469,0.06212757354649212,0.6012840512481904,2.420500712746421,0.01603622685327334
Female,Midleg,0.7273851783184482,0.058791923984794194,314.6822834715535,0.6117102339793324,0.8430601226575639,12.372195516285151,6.41198716159607e-29
Eighth instar,Midleg,0.6896354090278702,0.06702526501845452,315.0663936733158,0.5577617300626461,0.8215090879930944,10.289185859063569,1.3446909453671973e-21
Ninth instar,Midleg,0.6545514409432984,0.08238750854094214,314.6822834711323,0.4924514479718689,0.8166514339147279,7.944789841751578,3.491436418765464e-14
Tenth instar,Midleg,0.3286954990814161,0.1365698978780814,314.6822834686411,0.05998996497553716,0.597401033187295,2.4067931820147432,0.01666908746867233
Female,Hindleg,0.8092826541358756,0.06336187834922279,313.4088180202728,0.6846142263956312,0.9339510818761201,12.772390516510034,2.317225616657981e-30
Eighth instar,Hindleg,0.6462808277714059,0.07244608061462751,315.68622719787163,0.5037426543613552,0.7888190011814566,8.920852892087527,3.833513011815467e-17
Ninth instar,Hindleg,0.5694827585690638,0.08879157101606125,313.4088180203169,0.3947798324002977,0.74418568473783,6.413702923062953,5.228069578863545e-10
Tenth instar,Hindleg,0.27262179218649524,0.14718561103315564,313.4088180187412,-0.01697503151177382,0.5622186158847643,1.8522312763649385,0.06493277532756578
