group_pairwise,leg_pairwise,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,Holm_family
Female - Eighth instar,Foreleg - Midleg,-0.06789971763555136,0.04544122850972596,305.11183452928555,-0.20494512625993816,0.06914569098883544,-1.4942315571644045,1,All group-by-leg slope difference-in-differences
Female - Ninth instar,Foreleg - Midleg,0.03406071495603928,0.051552830604291194,305.0485517327444,-0.1214168325569701,0.18953826246904865,0.6606953402322803,1,All group-by-leg slope difference-in-differences
Female - Tenth instar,Foreleg - Midleg,-0.01969635318288749,0.07573326763524942,305.0485517327141,-0.24809938322125813,0.20870667685548316,-0.2600753116549798,1,All group-by-leg slope difference-in-differences
Eighth instar - Ninth instar,Foreleg - Midleg,0.10196043259159064,0.05412148899677505,305.0931839832055,-0.06126370415264494,0.26518456933582624,1.8839177280888593,0.9684299865609473,All group-by-leg slope difference-in-differences
Eighth instar - Tenth instar,Foreleg - Midleg,0.04820336445266386,0.07750463892326458,305.0703278540854,-0.18554178549615746,0.2819485144014852,0.621941668554689,1,All group-by-leg slope difference-in-differences
Ninth instar - Tenth instar,Foreleg - Midleg,-0.05375706813892677,0.08123889554558966,305.0485517327223,-0.29876445365079923,0.19125031737294568,-0.6617158908660861,1,All group-by-leg slope difference-in-differences
Female - Eighth instar,Foreleg - Hindleg,-0.19315177470944297,0.07355596205293602,307.2682464154572,-0.41497514149797565,0.028671592079089675,-2.625915960020174,0.1633382363646616,All group-by-leg slope difference-in-differences
Female - Ninth instar,Foreleg - Hindleg,-0.1329054432356228,0.0832539176580866,306.516553766709,-0.3839800383025113,0.1181691518312657,-1.5963866563186708,1,All group-by-leg slope difference-in-differences
Female - Tenth instar,Foreleg - Hindleg,-0.15766753589523563,0.12230349243244193,306.51655376681447,-0.5265066332197912,0.21117156142931992,-1.2891499070014547,1,All group-by-leg slope difference-in-differences
Eighth instar - Ninth instar,Foreleg - Hindleg,0.06024633147382015,0.08754641804353269,307.0475872674026,-0.20376972361835433,0.3242623865659946,0.6881644368803587,1,All group-by-leg slope difference-in-differences
Eighth instar - Tenth instar,Foreleg - Hindleg,0.03548423881420731,0.1252649383028064,306.77617104110413,-0.3422832839054289,0.4132517615338435,0.28327351048886695,1,All group-by-leg slope difference-in-differences
Ninth instar - Tenth instar,Foreleg - Hindleg,-0.02476209265961285,0.13119466460147072,306.5165537667085,-0.42041491256689356,0.3708907272476679,-0.18874313780085886,1,All group-by-leg slope difference-in-differences
Female - Eighth instar,Midleg - Hindleg,-0.1252520570738916,0.06917699566406886,306.2628514807717,-0.33387531709650775,0.08337120294872455,-1.8106027281399937,1,All group-by-leg slope difference-in-differences
Female - Ninth instar,Midleg - Hindleg,-0.1669661581916621,0.07826793191328911,305.81916644546357,-0.4030085685578846,0.0690762521745604,-2.1332639576658208,0.5728808398117786,All group-by-leg slope difference-in-differences
Female - Tenth instar,Midleg - Hindleg,-0.13797118271234818,0.11497887051721285,305.8191664454749,-0.48472737103397456,0.20878500560927818,-1.199969890917421,1,All group-by-leg slope difference-in-differences
Eighth instar - Ninth instar,Midleg - Hindleg,-0.04171410111777049,0.08232538980215379,306.1327666412736,-0.28999101323469967,0.20656281099915869,-0.5066978877114187,1,All group-by-leg slope difference-in-differences
Eighth instar - Tenth instar,Midleg - Hindleg,-0.012719125638456563,0.11777835669386502,305.9725782197356,-0.36791661702819434,0.3424783657512812,-0.10799204535954518,1,All group-by-leg slope difference-in-differences
Ninth instar - Tenth instar,Midleg - Hindleg,0.028994975479313928,0.12333756014444244,305.81916644545106,-0.3429695606149388,0.4009595115735667,0.2350863390305231,1,All group-by-leg slope difference-in-differences
