group,emmean,SE,df,lower.CL,upper.CL,predicted_length,lower_CL,upper_CL,leg
female,3.172811996067331,0.004369051975428811,308,3.1642150299513174,3.181408962183345,23.874525123823055,23.670156374606343,24.080658398165642,Foreleg
eighth,3.2058966784936627,0.006129274769685442,308,3.1938361290181554,3.21795722796917,24.677617987944217,24.381779926018357,24.977045622048546,Foreleg
ninth,3.272854481797356,0.004225781115519066,308,3.264539429179965,3.281169534414747,26.38655187782099,26.16805597194337,26.606872163046337,Foreleg
tenth,3.3085919469323857,0.005943846550635572,308,3.296896263822646,3.3202876300421256,27.34659289629741,27.028618897816866,27.668307650607613,Foreleg
female,3.1630890085922854,0.004366612386200733,307,3.154496732442835,3.171681284741736,23.643518273307013,23.441236908319635,23.847545184008602,Midleg
eighth,3.165356488514393,0.006150618098185598,307,3.1532537863472787,3.1774591906815073,23.69719030340897,23.412118814288824,23.98573289032055,Midleg
ninth,3.224259197712071,0.0042230719385422735,307,3.2159493691571894,3.232569026266953,25.134947230820323,24.92694555466149,25.344684566777108,Midleg
tenth,3.255285172768826,0.005939969056222007,307,3.243596969205913,3.2669733763317392,25.927007156279785,25.625731136455858,26.231825211241663,Midleg
female,3.695157854154099,0.004827898731107802,306,3.6856577721765493,3.7046579361316487,40.25192602023339,39.87134008445012,40.636144782357825,Hindleg
eighth,3.605771415014406,0.006799366319199243,306,3.5923919841221257,3.619150845906686,36.81006874728435,36.320851001699296,37.30587593105697,Hindleg
ninth,3.673825287744936,0.004666827611001449,306,3.6646421529384954,3.683008422551377,39.40234324445466,39.04216253989878,39.7658467705833,Hindleg
tenth,3.7016003545163736,0.006563681481286266,306,3.688684691694996,3.7145160173377514,40.5120862094115,39.99221026184113,41.03872024809743,Hindleg
