leg,contrast,estimate,SE,df,t.ratio,p.value,ratio,ratio_lower,ratio_upper,percent_difference
Foreleg,female - eighth,-0.03308468242633144,0.0091572926178664,308,-3.6129327528292956,3.534321534296662e-4,0.9674566295453032,0.9502473347001846,0.9849775904359358,-3.2543370454696796
Foreleg,female - ninth,-0.1000424857300247,0.0067423007334469,308,-14.838033734351015,2.9809728869256584e-37,0.9047989761743217,0.8929207970362723,0.9168351661237487,-9.52010238256783
Foreleg,female - tenth,-0.13577995086505465,0.006705990407997075,308,-20.247561151166185,8.976768461577042e-58,0.8730347218887199,0.8616348619676892,0.8845854076548452,-12.69652781112801
Foreleg,eighth - ninth,-0.06695780330369325,0.006472048322635779,308,-10.345689643495167,2.9978572685785374e-21,0.9352346643172728,0.9234459411175672,0.9471738825145642,-6.476533568272725
Foreleg,eighth - tenth,-0.1026952684387232,0.009376663612024978,308,-10.952218474279382,3.4210100864572924e-23,0.9024019219332232,0.8859688126921762,0.9191398354466774,-9.759807806677678
Foreleg,ninth - tenth,-0.035737465135029955,0.007608472821155951,308,-4.697061549021921,7.963289676988847e-6,0.9648935784389283,0.950611257963272,0.9793904815596571,-3.510642156107169
Midleg,female - eighth,-0.0022674799221076088,0.009172434907283587,307,-0.24720588862473836,0.8049141245380267,0.9977350888685638,0.9799581107728776,1.015834551105909,-0.22649111314362314
Midleg,female - ninth,-0.06117018911978564,0.006738491922290274,307,-9.077726860136261,5.5118615272155144e-17,0.940663135521346,0.9283210627057183,0.9531692967838543,-5.933686447865405
Midleg,female - tenth,-0.09219616417654074,0.006701555494235377,307,-13.757427548849982,4.2334103867932384e-33,0.9119262447374421,0.9000263728277216,0.9239834530938968,-8.80737552625579
Midleg,eighth - ninth,-0.05890270919767803,0.006489091742015994,307,-9.077188540314653,5.5118615272155144e-17,0.9427984903167657,0.9308833275884931,0.9548661652865121,-5.720150968323434
Midleg,eighth - tenth,-0.08992868425443312,0.00938925699591517,307,-9.577827542004327,1.746655019478623e-18,0.9139963652792554,0.8973299673698097,0.9309723135540925,-8.600363472074458
Midleg,ninth - tenth,-0.031025975056755098,0.007603679573983973,307,-4.080389600176028,1.1474181929247584e-4,0.9694503912200441,0.955109593950973,0.984006512958281,-3.054960877995594
Hindleg,female - eighth,0.0893864391396934,0.010134509790623763,306,8.820006195306247,3.5530207296130677e-16,1.0935031471030048,1.0719965023928715,1.1154412631525086,9.350314710300477
Hindleg,female - ninth,0.021332566409162933,0.007450044034031959,306,2.8634148082501687,0.008960972972027638,1.0215617322682529,1.0067531806836911,1.036588106060124,2.1561732268252864
Hindleg,female - tenth,-0.006442500362274535,0.0074048284578835215,306,-0.8700404606153371,0.3849602684102075,0.9935782080480056,0.9792620862684044,1.0081036214418562,-0.6421791951994438
Hindleg,eighth - ninth,-0.06805387273053046,0.007176486247060005,306,-9.482896000589442,4.311374643052948e-18,0.9342101437701895,0.9211616100302363,0.9474435139502513,-6.578985622981048
Hindleg,eighth - tenth,-0.09582893950196793,0.010374725504041083,306,-9.236768670616044,2.1971172728094516e-17,0.908619431668095,0.8903297302064946,0.9272848514374249,-9.1380568331905
Hindleg,ninth - tenth,-0.02777506677143747,0.008403238730643314,306,-3.3052811733353122,0.0031848261297492,0.9726071138568265,0.9567191357359807,0.9887589393695972,-2.739288614317348
