blind_code,ID,sex,morph,size_stratum,remeasurement_round_1_order,remeasurement_round_2_order
R008,CVQJ,f,female,1,12,8
R033,DOCI,m,ninth,3,5,26
R048,DYFV,m,tenth,8,45,39
R021,ECJN,m,tenth,3,22,38
R038,EWKB,m,ninth,1,44,7
R034,GLXO,f,female,11,40,2
R039,GWYL,m,eighth,2,33,13
R009,HDZC,m,tenth,1,34,48
R041,HNUV,m,eighth,5,24,19
R002,ILNB,m,tenth,12,31,47
R011,JDYH,m,ninth,4,38,3
R012,JUCL,m,ninth,5,27,22
R028,JUJH,m,ninth,7,6,40
R014,JXVQ,m,tenth,7,39,16
R022,LAZJ,m,ninth,6,18,46
R035,LLJC,m,tenth,9,20,35
R007,LRSS,m,ninth,11,16,4
R004,LUXM,f,female,8,23,37
R026,MJSX,m,eighth,9,9,32
R019,MUVY,m,tenth,4,4,10
R043,NRDG,m,eighth,7,1,1
R005,ONAU,f,female,3,25,44
R047,PIKP,m,tenth,10,35,15
R018,PTRO,f,female,2,14,14
R010,PZMO,m,eighth,3,42,17
R040,QDVU,f,female,5,29,18
R001,QRKY,f,female,6,10,9
R030,QSRM,m,ninth,9,26,28
R024,RDRL,m,eighth,10,36,11
R036,SEVZ,f,female,12,15,45
R029,SMVB,m,eighth,12,3,23
R042,SMXT,m,eighth,1,30,24
R013,TKSH,m,ninth,10,19,41
R037,UKOQ,m,tenth,6,2,34
R044,UNBX,m,eighth,8,41,43
R046,UQVJ,m,ninth,2,28,12
R006,UWVR,f,female,4,47,21
R027,UYSP,m,tenth,11,46,5
R015,VFPH,m,ninth,12,17,42
R017,WHVM,m,tenth,5,8,33
R020,WJST,f,female,10,7,29
R025,WWFJ,m,eighth,11,21,30
R032,XQBJ,m,tenth,2,32,20
R023,XWCJ,m,eighth,4,43,27
R016,YNZS,f,female,7,11,31
R045,YRUH,f,female,9,13,25
R003,YZUH,m,eighth,6,48,36
R031,ZFXN,m,ninth,8,37,6
